gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.302879,-.2645509,.0391501,.001557,-.9162734,-.1137844,4.36e-08,.0086474,.0019915,.2355597,5.86e-06,.0332444,3,3,3,0,3,2
2,10,.3670954,.2617321,.026927,-.0072611,-2.037133,.1603785,1.16e-13,.0357185,.1192361,.1047037,9.00e-10,.1292168,3,2,0,0,3,0
3,10,.2269531,-.0015874,.0461553,-.0021157,-.334719,.0002943,3.93e-07,.9678323,.0001285,.5498202,.2311163,.9973094,3,0,3,0,0,0
1,20,.3277009,-.2467925,.0186642,.0003629,-.653741,-.0538528,1.32e-17,.0005202,.0296027,.6583073,2.11e-07,.1060682,3,3,2,0,3,0
2,20,.3539123,.231152,.0072695,-.0087867,-1.719844,.1702123,2.75e-23,.0209246,.5472817,.0050163,6.95e-15,.0157947,3,2,0,3,3,2
3,20,.2451391,.0339516,.0442001,.0012812,-.6135622,-.0785296,2.02e-12,.3705265,2.92e-06,.5989298,.001442,.1964349,3,0,3,0,3,0
1,30,.2969495,-.2039635,.0116047,.0002035,-.3521907,-.0392522,1.37e-21,.0003502,.0891249,.731645,.0001238,.0973419,3,3,1,0,3,1
2,30,.2986311,.3411412,.0002418,-.0083703,-1.413021,.1488805,1.81e-27,.0006103,.9824859,.0021804,2.60e-14,.0182859,3,3,0,3,3,2
3,30,.2639522,.033082,.0269067,-.0004374,-.3996872,-.032671,1.57e-19,.4119482,.001419,.8123859,.0108193,.475474,3,0,3,0,2,0
1,60,.0214287,-.3451069,.0486206,-.0005412,.0312231,-.0019055,.0063187,1.77e-12,2.65e-25,.0913103,.608747,.8887174,3,3,3,1,0,0
2,60,.241631,.5259078,-.0290915,-.0075412,-.8150901,.1014959,6.94e-26,1.48e-07,.0023484,5.47e-06,1.00e-09,.0054176,3,3,3,3,3,3
3,60,.2718692,.0932205,-7.11e-06,.0013338,-.22939,-.0645882,6.50e-33,.0091398,.9991049,.2372151,.0117029,.0219815,3,3,0,0,2,2
1,90,.0143038,-.3256306,.0401852,-.0005859,.054822,-.002085,.0111962,3.09e-15,1.71e-29,.0036425,.1937882,.7931298,2,3,3,3,0,0
2,90,.234147,.7549054,-.0676889,-.0015437,-.2866398,-.0091566,1.62e-21,4.02e-12,8.10e-12,.2086871,.0037861,.7543068,3,3,3,0,3,0
3,90,.2625701,.1007037,-.0133889,.0011033,-.1038343,-.0563583,1.10e-38,.0021527,.0066703,.1654577,.1052543,.0059718,3,3,3,0,0,3
1,120,.0091039,-.333111,.0366388,-.0005965,.0341667,.0022465,.0138545,2.09e-17,7.85e-34,.0003727,.3071698,.7210265,2,3,3,3,0,0
2,120,.2339479,.847443,-.0810586,-.0017207,-.1801304,.0048153,2.30e-13,1.55e-11,5.04e-14,.0873937,.0305267,.8358381,3,3,3,1,2,0
3,120,.2270042,.026222,-.009748,.0006639,-.0123952,-.0431531,1.12e-34,.4017186,.0282682,.3431482,.8255644,.0202875,3,0,2,0,0,2
1,150,.007532,-.3170201,.0326479,-.0006663,.0371142,.0050545,.0174879,1.84e-16,1.48e-33,7.02e-06,.1867287,.3316512,2,3,3,3,0,0
2,150,.1595017,1.036681,-.0680535,-.0035833,-.2096704,.0419844,.0026772,4.31e-13,.0000116,.0002018,.0050396,.0467142,3,3,3,3,3,2
3,150,.202766,-.0073545,-.0061108,.0000366,-.029632,-.0238488,2.29e-35,.8344022,.129232,.9535399,.5835587,.1530283,3,0,0,0,0,0
1,180,.0069584,-.3057706,.0289974,-.0006811,.0459918,.0050202,.0196847,1.63e-16,6.74e-34,4.34e-07,.0636259,.2670121,2,3,3,3,1,0
2,180,.1156636,1.19982,-.0636468,-.0035131,-.1775457,.0309181,.0282676,1.18e-19,.0002256,.0000268,.0073428,.0982307,2,3,3,3,3,1
3,180,.1794263,-.0755117,-.0016351,.0006277,-.0203317,-.0340056,4.24e-34,.0539743,.6422563,.2441219,.6536441,.0189417,3,1,0,0,0,2
