gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0946607,-.1801653,.0514993,-.0004785,5.490722,-.7896659,2.28e-08,.0184409,1.34e-10,.2246472,.1293583,.2288032,3,2,3,0,0,0
2,10,.1246506,.1798973,.0392492,-.0016087,-48.19526,16.25617,1.58e-08,.1391199,.0014576,.3036485,.0054946,.0058555,3,0,3,0,3,3
3,10,.018785,-.0565722,.0764637,-.0002402,-27.68352,-.0666507,.2810442,.1762493,9.21e-14,.8169174,.0414614,.9824468,0,0,3,0,2,0
1,20,.0806967,-.1339644,.0447808,-.0002623,2.103808,-.434628,3.68e-10,.0161645,1.65e-12,.4519645,.2852988,.3320625,3,2,3,0,0,0
2,20,.0733571,-.0024771,.0525583,-.0004185,-17.37734,6.433334,1.48e-07,.9803571,6.93e-09,.6163591,.0353936,.0216096,3,0,3,0,2,2
3,20,.0439925,-.0523609,.0610802,.0000627,-29.56079,1.99205,.0006127,.035993,2.62e-15,.8979746,.0077119,.1506754,3,2,3,0,3,0
1,30,.0630787,-.093782,.0428621,-.0001334,1.160659,-.6074609,1.34e-08,.0529035,8.18e-15,.6730146,.5308517,.1282345,3,1,3,0,0,0
2,30,.0684298,-.066414,.0537274,-.0011198,-20.96692,7.153327,1.83e-11,.5550148,3.78e-11,.0900588,.001638,.0017207,3,0,3,1,3,3
3,30,.062132,-.087781,.0504841,-.0001163,-22.56899,2.077574,4.61e-08,.0023328,1.35e-13,.7521135,.0078033,.0249835,3,3,3,0,3,2
1,60,.038094,-.0556754,.0394611,-.0001491,.6371389,-.3049095,3.50e-08,.067992,4.96e-28,.4606614,.4831632,.2252284,3,1,3,0,0,0
2,60,.0866712,-.2663705,.041209,-.0003626,-13.37439,4.070638,1.72e-19,.0009891,1.07e-15,.3484839,.0009746,.0023809,3,3,3,0,3,3
3,60,.1092289,.0048552,.0141463,-.0000942,-12.08092,1.443208,4.17e-25,.8395585,.0018924,.6743284,.0168253,.0120501,3,0,3,0,2,2
1,90,.0287924,.0202983,.0322255,-.0001058,.5437485,-.4215792,1.17e-09,.3538531,1.86e-35,.4475454,.3847292,.0276613,3,0,3,0,0,2
2,90,.1039529,-.3915674,.0279237,-.0002973,-1.657486,1.791457,8.54e-35,2.81e-07,2.29e-11,.3417245,.6367515,.1196606,3,3,3,0,0,0
3,90,.0987985,-.0063711,.0116366,-.0002359,-5.910405,1.192343,3.41e-30,.7918932,.0017968,.1636182,.0271372,.000539,3,0,3,0,2,3
1,120,.0148595,.0814981,.0298725,.0000136,-.0382085,-.4543311,.0000103,.0000814,0,.888063,.9349969,.0010657,3,3,3,0,0,3
2,120,.1096701,-.3506634,.0144607,-.00015,1.791866,.2865641,9.55e-39,1.10e-07,.0000371,.5506129,.4920699,.7426694,3,3,3,0,0,0
3,120,.088338,-.0449525,.0143759,-.0002903,-6.564811,.9871191,1.84e-30,.1170065,.0000354,.0647209,.0117514,.0020882,3,0,3,1,2,3
1,150,.0068857,.111635,.0284753,.0001057,-.4846464,-.4422498,.0138004,1.44e-06,0,.1423589,.2986791,.0000578,2,3,3,0,0,3
2,150,.1117237,-.1208125,-.0044575,-.000326,1.093942,.2650806,0,.0210319,.1561782,.1209067,.5702193,.6908312,3,2,0,0,0,0
3,150,.0861536,-.0670863,.0125761,-.000209,-5.393821,.7765307,1.05e-31,.0288448,.0000712,.1257896,.0179397,.0058397,3,2,3,0,2,3
1,180,.0048443,.1258413,.0265069,.0001941,-.6025316,-.4500681,.0840029,8.65e-07,0,.0034191,.1940468,2.18e-06,1,3,3,3,0,3
2,180,.1100077,.1872201,-.0223003,.0002434,1.999339,-.6777343,0,.0002514,2.95e-11,.1632516,.2538857,.2636844,3,3,3,0,0,0
3,180,.0831893,-.0719569,.0105353,-.0000903,-4.367581,.4777357,2.73e-35,.0410324,.0002272,.437782,.0194042,.0475581,3,2,3,0,2,2
