gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0560428,-.3667117,.0280924,-.000997,.5611388,-.1738254,2.05e-06,.0000262,.0012254,.1952081,.0733646,.000499,3,3,3,0,1,3
2,10,.3692925,.1102283,-.075803,-.0048891,-2.834755,.2431443,3.08e-13,.588625,.0001579,.1795571,6.39e-09,.0541652,3,0,3,0,3,1
3,10,.0270608,-.0522776,.0292735,-.0006129,.2931415,-.1970931,.3285553,.052912,.0050323,.7274327,.1672417,.0002376,0,1,3,0,0,3
1,20,.0615985,-.2355424,.0146303,-.0006636,.3599338,-.1322844,4.04e-10,.0001003,.0152315,.1491374,.0756512,.0000569,3,3,2,0,1,3
2,20,.2990077,.0943298,-.0813908,-.0020049,-1.6955,.181549,1.21e-21,.5632681,5.21e-10,.3487599,8.41e-10,.0164172,3,0,3,0,3,2
3,20,.0580114,-.0252234,.0105721,-.0036716,.2005639,-.0967465,.0091804,.3937754,.1818256,.0028524,.2591487,.0119135,3,0,0,3,0,2
1,30,.0702368,-.2476603,.0082989,-.0004314,.2135758,-.1008183,9.70e-11,.0000268,.1641855,.2583571,.2355013,.000547,3,3,0,0,0,3
2,30,.2795088,.1980156,-.0862335,-.0039677,-1.370067,.2121178,4.95e-20,.1174366,1.13e-09,.0194723,4.91e-09,.000282,3,0,3,2,3,3
3,30,.1004379,-.0010163,-.0060774,-.0034818,-.0293148,-.0727335,6.73e-08,.9759046,.3532289,.0001483,.8310164,.0102765,3,0,0,3,0,2
1,60,.0692488,-.4172578,.0149604,-.0007569,.0364855,-.0611503,3.09e-14,1.19e-15,.000477,.0292988,.7819993,.0063663,3,3,3,2,0,3
2,60,.2029229,.186959,-.0706978,-.0016288,-.5710427,.0273641,1.81e-27,.0140386,5.95e-20,.0568019,8.77e-08,.4502506,3,2,3,1,3,0
3,60,.1616929,.0650069,-.0383007,-.0020934,-.2151057,-.0504847,7.05e-20,.0473315,6.99e-09,.0003905,.0072531,.0016549,3,2,3,3,3,3
1,90,.0575928,-.466734,.0164648,-.0004793,.0529668,-.0523345,2.51e-15,1.75e-20,3.12e-06,.0970471,.5853131,.0033775,3,3,3,1,0,3
2,90,.1802923,.2935096,-.0745527,-.0012534,-.2921735,.0271318,1.73e-31,.0000234,1.21e-31,.0388495,9.99e-06,.1948935,3,3,3,2,3,0
3,90,.2101026,.126474,-.0639665,-.0017264,-.3372065,-.0246745,5.97e-33,.0000856,5.60e-23,.0000376,1.16e-09,.0182772,3,3,3,3,3,2
1,120,.048339,-.4721693,.0166041,-.0003863,.0938985,-.0464171,5.81e-15,3.26e-22,2.34e-07,.1298052,.2379498,.0028833,3,3,3,0,0,3
2,120,.1686699,.4441979,-.0853539,.0005538,-.1364709,.0088646,1.82e-30,5.02e-08,1.08e-31,.386308,.0396259,.6964869,3,3,3,0,2,0
3,120,.2011097,.0969039,-.0601073,-.0018786,-.3217275,.006487,3.91e-36,.0008994,1.29e-27,1.56e-08,1.06e-11,.4200737,3,3,3,3,3,0
1,150,.041067,-.475861,.0170488,-.0003618,.1146642,-.0388537,1.37e-13,1.24e-20,1.77e-08,.1236873,.1057947,.0058775,3,3,3,0,0,3
2,150,.1469962,.6306792,-.0808825,-.0006891,-.3963706,.0813858,8.78e-17,4.14e-10,9.75e-22,.326327,4.94e-07,.0037129,3,3,3,0,3,3
3,150,.205298,.0971259,-.0643168,-.0014896,-.279848,.0155052,0,.0000334,9.57e-37,6.42e-07,2.27e-14,.0432475,3,3,3,3,3,2
1,180,.0372066,-.4583776,.0159747,-.0003041,.1001222,-.033989,3.15e-12,3.39e-18,1.03e-07,.1755175,.1204894,.009694,3,3,3,0,0,3
2,180,.1223306,.8819947,-.0820279,-.0009249,-.3753723,.0948321,6.41e-09,2.36e-14,1.15e-12,.2256636,1.20e-07,.0005401,3,3,3,0,3,3
3,180,.191561,.0687276,-.0581757,-.001162,-.2695347,.0090587,0,.0028504,3.37e-38,.0000467,1.20e-13,.205754,3,3,3,3,3,0
