gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1943342,.3504401,-.0008488,-.000799,.0216058,-.0510511,1.30e-18,8.53e-06,.88993,.5549903,.9131779,.3864495,3,3,0,0,0,0
2,10,.2181239,-.0372799,.0251652,.0044615,-3.862257,.7136638,.0008872,.7542245,.1821754,.6058241,6.73e-07,.2536123,3,0,0,0,3,0
3,10,.1533351,.034977,.0470982,-.0003509,-1.120895,.0217499,7.36e-14,.2509269,1.20e-09,.877692,9.55e-07,.810982,3,0,3,0,3,0
1,20,.1257662,.2394162,.0136754,.0010138,.1452109,-.1122642,1.72e-20,.0000387,.0019637,.2168068,.2075711,.0018106,3,3,3,0,0,3
2,20,.2088022,.0565694,-.0018957,.0094704,-2.327551,.1331643,.0000479,.5149667,.8919562,.082207,.0000176,.7332892,3,0,0,1,3,0
3,20,.1554402,.0276567,.036982,-.0010518,-.8086661,.0276306,7.81e-20,.4076572,6.38e-09,.5202675,3.68e-06,.6670631,3,0,3,0,3,0
1,30,.0886267,.1665102,.0230243,.0008604,.1162699,-.0963383,1.53e-20,.0006816,1.23e-09,.1491337,.1523741,.0001776,3,3,3,0,0,3
2,30,.1479511,.0881628,-.002086,.0086647,-1.374815,.2347026,.0000783,.2979256,.8551238,.0366139,.0018676,.4351297,3,0,0,2,3,0
3,30,.146878,.0187687,.0310668,-.0007368,-.5456581,.0068978,2.43e-22,.5135079,1.31e-08,.5389112,.0000344,.881999,3,0,3,0,3,0
1,60,.0526399,-.0125635,.0324472,.0008394,.0260982,-.0658933,2.14e-19,.7230417,4.03e-24,.0202673,.5797132,.0000537,3,0,3,2,0,3
2,60,.0312855,.2925409,.0022736,.0074631,-.3683949,.2389322,.3328183,.0015808,.7877035,.0142199,.3306185,.3126009,0,3,0,2,0,0
3,60,.1285793,.0233504,.02044,.0000322,-.2904602,-.0005375,3.66e-24,.2617808,3.82e-07,.9662458,.0008001,.9851344,3,0,3,0,3,0
1,90,.0433163,-.0889607,.0313975,.0008232,-.0100605,-.0482831,1.36e-20,.0025801,1.23e-32,.0055391,.7714036,.0001912,3,3,3,3,0,3
2,90,-.0426245,.4246494,.0082063,.0039878,.0511935,.2763761,.1259345,6.08e-06,.2150735,.1035812,.8561177,.1488813,0,3,0,0,0,0
3,90,.1142288,.0343204,.0135238,.0005397,-.1450994,-.021418,9.96e-28,.0924309,.0000121,.2962617,.0148702,.2641486,3,1,3,0,2,0
1,120,.0376423,-.1244456,.0295599,.0008374,-.0305161,-.0414419,5.06e-18,.0000365,2.59e-35,.0007713,.2727121,.0000792,3,3,3,3,0,3
2,120,-.109821,.5046129,.0197985,.0010253,.3062283,.2690944,.0015658,2.00e-08,.0084227,.6284287,.2164978,.0776137,3,3,3,0,0,1
3,120,.0955785,.0074261,.0149541,.0003058,-.0995415,-.0117627,2.09e-26,.7220666,1.28e-08,.4537578,.0461704,.4456584,3,0,3,0,2,0
1,150,.0386771,-.1248181,.0265083,.0008259,-.0609245,-.036423,3.52e-19,.0000511,1.98e-36,.0001002,.0117762,.0000589,3,3,3,3,2,3
2,150,-.1891256,.426779,.0461289,-.0005158,.4056328,.2220267,2.52e-08,1.62e-07,9.95e-07,.7760997,.0278786,.068228,3,3,3,0,2,1
3,150,.0940249,-.0230623,.0137636,.0004452,-.0799501,-.0150294,1.21e-30,.2767081,1.88e-10,.1768126,.0956399,.2312367,3,0,3,0,1,0
1,180,.0472286,-.1603269,.0240869,.0006196,-.0992072,-.0265787,1.73e-24,2.74e-07,7.65e-39,.0005076,4.93e-06,.0004076,3,3,3,3,3,3
2,180,-.2091142,.3350276,.0582374,-.0013897,.2261358,.2072365,1.27e-09,.0000212,5.68e-08,.3320241,.0834713,.0319415,3,3,3,0,1,2
3,180,.088066,-.0266924,.0122324,.0003029,-.1107154,-.0063447,8.62e-30,.1404933,1.52e-11,.2908538,.0110007,.56965,3,0,3,0,2,0
