gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2134484,.0489183,.0270216,-.0047347,-1.986747,.1741577,1.81e-19,.5480124,.0000785,4.28e-06,9.27e-08,.0239096,3,0,3,3,3,2
2,10,.4495759,.2923245,-.0818385,-.0022954,-1.163307,-.3037536,3.81e-09,.1813143,.0001533,.3472611,.0492442,.1340259,3,0,3,0,2,0
3,10,-.0459565,-.0925679,.0650202,-.0025167,1.27903,-.1540542,.0061577,.0056678,3.45e-14,.0405109,.0289526,.396771,3,3,3,2,2,0
1,20,.1773987,-.0261063,.0251888,-.0032269,-1.538716,.1473207,1.84e-24,.6335847,3.81e-08,1.62e-06,5.73e-10,.0054087,3,0,3,3,3,3
2,20,.3491748,.2382372,-.066934,-.0016889,-.2367179,-.1475106,2.26e-12,.1245675,7.24e-06,.2890341,.4239821,.2818469,3,0,3,0,0,0
3,20,-.0211357,-.0767278,.0540821,-.0020928,.9477078,-.0608363,.0925103,.015587,3.99e-14,.0125646,.0182939,.6158168,1,2,3,2,2,0
1,30,.1627935,.0078625,.0198455,-.0023091,-1.39929,.090709,9.69e-29,.8529387,2.32e-08,2.96e-06,2.07e-13,.0219556,3,0,3,3,3,2
2,30,.3252261,.2583043,-.0660091,-.0014599,.0921444,-.0389647,2.65e-12,.0489286,.0000137,.2633887,.5912341,.7098911,3,2,3,0,0,0
3,30,-.0096041,-.0502872,.0466673,-.0019218,.7738879,-.0288742,.3584988,.0936531,2.82e-13,.0026113,.0116439,.7476398,0,1,3,3,2,0
1,60,.1349064,-.0484793,.0159774,-.0006536,-1.044822,.0308936,7.90e-32,.1672967,7.65e-10,.0559786,1.73e-13,.3293763,3,0,3,1,3,0
2,60,.4004243,.2653852,-.0941269,-.0024055,.1380532,.1683207,2.03e-14,.0012646,5.93e-14,.0141157,.1937128,.0237496,3,3,3,2,0,2
3,60,-.0213987,-.0140089,.0440924,-.0018358,.727001,.0237189,.0061421,.5795304,1.41e-16,.0000624,.000512,.6934714,3,0,3,3,3,0
1,90,.1176429,-.1868642,.0197086,-.0000268,-.9296715,.0245935,4.06e-31,4.17e-07,3.67e-17,.9236357,2.27e-14,.3668829,3,3,3,0,3,0
2,90,.10987,.609348,-.0344491,-.0012185,.1228042,.1417104,.0889925,7.08e-07,.0195126,.1847479,.12862,.0236703,1,3,2,0,0,2
3,90,-.0323551,-.0300469,.0464876,-.0015417,.5907214,.0160097,2.66e-06,.2478794,1.18e-21,.0000154,.0001245,.7202861,3,0,3,3,3,0
1,120,.1242027,-.3314172,.0193066,.0002499,-.850859,.0297735,9.30e-32,8.32e-13,4.16e-17,.2838402,6.90e-15,.1972891,3,3,3,0,3,0
2,120,-.1516721,.8407816,.0266911,-.0014029,.1074446,.1242689,.02662,8.65e-13,.1156524,.0319513,.0962379,.0107121,2,3,0,2,1,2
3,120,-.0412088,-.0602982,.0496802,-.0013487,.4711267,.0151441,3.61e-12,.0181426,4.16e-28,3.47e-06,.0000725,.6635455,3,2,3,3,3,0
1,150,.1361609,-.489688,.0186119,.0002624,-.7434975,.0317479,1.68e-35,2.75e-18,1.18e-17,.176936,1.30e-14,.0985709,3,3,3,0,3,1
2,150,-.3331062,.7618738,.0826488,-.0013223,.0552164,.0940852,2.69e-10,9.10e-17,1.34e-08,.0034323,.3048199,.019186,3,3,3,3,0,2
3,150,-.0382672,-.0810099,.0481418,-.0012187,.3776769,.0235617,2.97e-13,.0007683,2.59e-34,8.43e-07,.0001185,.4139007,3,3,3,3,3,0
1,180,.1401947,-.6372247,.0199579,2.08e-06,-.6759146,.0427701,0,7.36e-24,8.31e-22,.9899876,1.84e-14,.010619,3,3,3,0,3,2
2,180,-.3513875,.5656126,.0978163,-.0008323,.0591746,.0788969,1.37e-11,2.18e-09,6.54e-09,.0277147,.2043497,.0212313,3,3,3,2,0,2
3,180,-.0399527,-.0957049,.047768,-.001011,.3086906,.0212033,1.83e-17,.0000996,0,1.76e-06,.0002636,.3846283,3,3,3,3,3,0
