gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.3053665,-.3488628,.0243266,-.0010983,-.7383872,.0152112,1.74e-07,.0004853,.0541918,.1404379,.2833531,.8696126,3,3,1,0,0,0
2,10,.3883695,.0075459,-.04214,-.0029775,-5.856353,1.32387,2.64e-18,.966333,.0058133,.2057578,.0393342,.0108982,3,0,3,0,2,2
3,10,.406804,-.0137533,-.0108179,.0007777,-2.06666,.1182192,6.09e-16,.6935446,.3101873,.5340709,.2827535,.7238032,3,0,0,0,0,0
1,20,.2485631,-.2715384,.016628,-.0000883,-.2288837,-.0132511,1.94e-08,.0005493,.0959749,.872247,.6767601,.842615,3,3,1,0,0,0
2,20,.280049,.0622721,-.0264787,.0007557,-3.925916,.2432554,1.32e-18,.6570787,.0046932,.6115457,.0394473,.4884351,3,0,3,0,2,0
3,20,.3854155,-.026993,-.0151648,.0006502,-.2643985,.1557275,9.05e-24,.3429336,.0517483,.3801375,.8003079,.4199756,3,0,1,0,0,0
1,30,.2221385,-.3176939,.0226023,.0003272,-.3920874,-.0536941,2.35e-11,.0000125,.0037626,.4486585,.3116009,.3201492,3,3,3,0,0,0
2,30,.2744736,.111193,-.023856,.004329,-4.533669,-.9268432,9.20e-29,.336972,.0014572,.0016274,.0077968,.0063096,3,0,3,3,3,3
3,30,.343711,-.0341838,-.0147255,.0002234,1.522965,.1718007,4.10e-19,.2839231,.0986348,.7519272,.1051691,.3786579,3,0,1,0,0,0
1,60,.1204296,-.442909,.0489296,.0008567,-.6403702,-.0752898,6.98e-12,1.07e-15,1.69e-19,.00053,.0008544,.0083118,3,3,3,3,3,3
2,60,.1912098,-.0269324,-.0190678,.0018127,1.591001,-.6293662,3.42e-32,.6886793,.0001011,.0264195,.1300243,.0050583,3,0,3,2,0,3
3,60,.377721,.1090462,-.0349794,-.0008163,-.5880307,.3330415,4.88e-32,.0001266,3.44e-06,.1510386,.4299692,.0387596,3,3,3,0,0,2
1,90,.112769,-.423227,.0407563,.0005063,-.6074765,-.043602,1.32e-18,4.10e-20,1.58e-22,.0015218,6.97e-06,.020377,3,3,3,3,3,2
2,90,.1435248,.0770649,-.0233298,.0002433,3.102244,-.1238035,9.78e-18,.3562417,7.90e-06,.7414458,.0189061,.5562454,3,0,3,0,2,0
3,90,.400002,.1226638,-.0527636,-.0004508,-.2839589,.2278846,0,2.80e-06,2.21e-15,.3095467,.6348336,.0742946,3,3,3,0,0,1
1,120,.0896273,-.4167264,.0396677,.0004964,-.6023638,-.0398751,1.53e-16,4.23e-19,2.27e-23,.0003263,6.50e-07,.0154892,3,3,3,3,3,2
2,120,.0880287,.3000311,-.0301092,-.0003015,5.680266,.0590014,3.51e-09,.0016494,1.38e-08,.6542767,8.97e-07,.7570656,3,3,3,0,3,0
3,120,.3156458,.0597776,-.032082,-.0002513,-.4927966,.1721974,8.69e-39,.0258264,1.90e-09,.5025494,.307068,.1076563,3,2,3,0,0,0
1,150,.0825243,-.4178608,.0357458,.000428,-.4387186,-.0332061,1.74e-16,6.85e-17,2.87e-21,.0004551,.0000257,.0190618,3,3,3,3,3,2
2,150,.0632097,.4036801,-.0301582,-.0001884,6.023744,.0941636,6.23e-06,.0001497,4.54e-07,.7536631,1.08e-08,.5829242,3,3,3,0,3,0
3,150,.3196003,.0294945,-.0344317,.0000755,-.5282058,.1043917,1.81e-38,.2844923,3.95e-12,.8112525,.2233609,.2442096,3,0,3,0,0,0
1,180,.0738282,-.4042876,.032836,.0004038,-.3736326,-.0323715,3.94e-14,5.82e-15,3.44e-19,.0003255,.0001532,.0133494,3,3,3,3,3,2
2,180,.0559948,.5647309,-.0381285,.000091,6.322716,-.0100655,.0001439,.000036,8.74e-07,.8771608,8.55e-08,.9522541,3,3,3,0,3,0
3,180,.3038559,-.0189356,-.0302159,.0003832,-.9864073,.0503229,6.64e-35,.5732052,1.01e-10,.179034,.008735,.5220843,3,0,3,0,3,0
