gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2863259,-.0280172,.0290205,-.0004353,-64.70935,1.247022,.0058437,.7335361,.0185949,.4908909,.0429507,.7783327,3,0,2,0,2,0
2,10,.3332607,-.1959453,.0206784,-.0009985,127.5484,-8.533642,.0000154,.2470321,.2438497,.025906,.0968041,.2138866,3,0,0,2,1,0
3,10,.2610371,.0286317,.0459391,.0002072,-63.51477,-14.5389,.000307,.7478718,.0001984,.6687927,.2577316,.0057476,3,0,3,0,0,3
1,20,.3233543,-.0278048,.0240717,-.000465,-64.1936,.800606,.0000288,.7370028,.0138196,.4245275,.0307204,.8365378,3,0,2,0,2,0
2,20,.2546366,-.186673,.0292972,-.0008847,133.0407,-5.958983,2.34e-12,.1980388,.0082189,.0335973,.0250023,.3054738,3,0,3,2,2,0
3,20,.2558897,.0294268,.0434782,.0002708,-63.83995,-14.413,.0009651,.7475221,.0007089,.5505463,.2259132,.0033505,3,0,3,0,0,3
1,30,.3205666,-.0283231,.0225522,-.0002794,-55.94767,-.8038242,1.63e-07,.7482967,.0081784,.6143569,.0456903,.8207402,3,0,3,0,2,0
2,30,.15949,-.2511615,.0450866,-.0010245,145.0497,-1.458276,2.30e-14,.03502,1.38e-07,.0093701,.002693,.7492034,3,2,3,3,3,0
3,30,.2168637,-.0025324,.049157,.0001823,-75.27575,-11.32977,.0179658,.9758407,.0003301,.6656972,.128028,.0115228,2,0,3,0,0,2
1,60,.2280542,.0116705,.0193822,.0002192,-16.891,-3.158755,.0000545,.913249,.0332027,.6610851,.4932149,.3077827,3,0,2,0,0,0
2,60,.1386306,-.3194907,.0474164,-.0008412,70.188,2.370795,1.22e-18,.0010318,6.23e-11,.1457264,.1281244,.6806104,3,3,3,0,0,0
3,60,.1645548,.0371281,.0414631,.0001258,-3.10366,-5.422988,.0180414,.5518188,8.40e-06,.6909018,.9241569,.1124118,2,0,3,0,0,0
1,90,.1485242,-.0501245,.0203295,.0004155,11.5495,-4.227157,.0015711,.6601517,.0155924,.3129838,.5606092,.1012094,3,0,2,0,0,0
2,90,.1278805,-.1055415,.0343823,-.0003899,45.2718,-1.567734,2.04e-14,.2852137,2.42e-07,.3215543,.2276188,.6979681,3,0,3,0,0,0
3,90,.1459033,.0790788,.0286302,.0003689,35.28832,-5.591703,.0001444,.1591835,6.96e-08,.1641003,.1209791,.039971,3,0,3,0,0,2
1,120,.0683706,-.1296708,.0244559,.0004288,32.48154,-4.56519,.026982,.2215958,.0004333,.1870946,.0408132,.0317562,2,0,3,0,2,2
2,120,.1136866,.0028489,.0256605,-.0000573,55.21026,-3.597628,7.50e-13,.9801043,.0002248,.8147327,.053056,.1897552,3,0,3,0,1,0
3,120,.1336527,.0897449,.0184597,.0004487,73.76665,-5.194201,.0013462,.2457542,.0007935,.083057,.0007747,.0406726,3,0,3,1,3,2
1,150,.0478157,-.1541692,.0227909,.0004103,37.15057,-4.670228,.0623471,.1560374,.0004819,.1228071,.0082295,.0118582,1,0,3,0,3,2
2,150,.1025959,.06191,.02099,.000071,54.32543,-4.747682,1.17e-11,.6434731,.0049844,.7929136,.057323,.1081517,3,0,3,0,1,0
3,150,.1440996,.0597704,.0124235,.0004185,78.69981,-4.302337,.0005549,.5312153,.0218023,.103697,.0002329,.0907766,3,0,2,0,3,1
1,180,.0442547,-.0735414,.0172121,.000695,37.97419,-5.953712,.1184006,.7197009,.1005535,.0441519,.0106905,.0026376,0,0,0,2,2,3
2,180,.1070878,.1430274,.0122744,.0001242,49.99894,-5.292843,2.39e-10,.3595766,.1448584,.6461123,.0958447,.0812927,3,0,0,0,1,1
3,180,.1295836,.0273675,.0117558,.0004082,77.14007,-3.938843,.0005777,.7906971,.0402018,.1208103,.000323,.1288904,3,0,2,0,3,0
