gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2690563,.035597,.023058,-.0002409,-8.656908,.0954045,.0024473,.6673765,.0113734,.5726913,.854915,.9775839,3,0,2,0,0,0
2,10,.0773467,.549033,.0493569,-.0003911,-84.47637,-9.587678,.0420851,.0752909,.0230992,.7232371,.5463646,.3953057,2,1,2,0,0,0
3,10,.1740579,-.0395611,.046631,.0000928,-64.95087,-9.584797,.0058805,.5635571,.0002065,.8887509,.4539856,.1001957,3,0,3,0,0,0
1,20,.2616537,.0473747,.0225217,-.0001827,-7.573545,-.0446956,.000101,.5886645,.0117891,.6526905,.8597718,.9890546,3,0,2,0,0,0
2,20,.1124829,.540869,.03391,.0000227,-88.80946,-8.726533,.0021497,.0462909,.08119,.9834602,.4872351,.4356741,3,2,1,0,0,0
3,20,.1644733,-.0308586,.0437863,.0002134,-44.19394,-10.13981,.0146066,.6385345,.0004896,.7438802,.605581,.0833981,2,0,3,0,0,1
1,30,.2214645,.0678627,.0245308,-.0000981,.6472515,-.8643684,.0000315,.4793086,.0071308,.7994737,.9870538,.7809189,3,0,3,0,0,0
2,30,.1427463,.5262108,.0176921,.000558,-77.4874,-8.687695,1.49e-07,.0242203,.2835715,.587062,.500881,.4071777,3,2,0,0,0,0
3,30,.1189864,-.0398058,.0462351,.0000893,-10.82478,-8.345511,.0664453,.5081937,.0001089,.8789929,.8846719,.1073185,1,0,3,0,0,0
1,60,.1115818,-.04538,.0391934,.0000845,5.419222,-1.514897,.0060756,.7040591,.000083,.7898681,.8717344,.5492996,3,0,3,0,0,0
2,60,.1912913,.3278637,.0040144,.0006339,-104.0304,-2.783617,3.89e-11,.3119312,.7291138,.3338743,.1998759,.6743903,3,0,0,0,0,0
3,60,.1635804,-.1534036,.0313535,-.0000811,77.90392,-3.944322,.0013827,.0120156,.0004384,.8305101,.0565801,.1861449,3,2,3,0,1,0
1,90,.0497303,-.1403709,.0439585,.0001446,4.951016,-1.57319,.1198334,.2234994,2.50e-06,.5829375,.8565843,.4512301,0,0,3,0,0,0
2,90,.1882094,.2434496,-.0077616,.0006684,-17.27751,-3.937915,.00002,.605363,.4655701,.2354153,.7674938,.4670628,3,0,0,0,0,0
3,90,.0616134,.0043648,.0295341,-.0002015,101.6512,-2.958999,.1535411,.9447662,.0000377,.4287582,.0009015,.1105202,0,0,3,0,3,0
1,120,.0068872,-.2437519,.0468732,.0002015,.9073639,-1.516694,.7941188,.0351797,4.32e-08,.3724367,.9680873,.3953536,0,2,3,0,0,0
2,120,.2138545,.0330266,-.020341,.0008364,66.03155,-6.935436,.0000652,.9492412,.0555165,.1236988,.2808068,.1857057,3,0,1,0,0,0
3,120,.048853,.1829103,.0111278,-.000144,118.6011,-2.564801,.1719035,.0124508,.0721455,.5487088,.0000569,.1662867,0,2,1,0,3,0
1,150,-.0081767,-.2715473,.0429037,.0002823,9.84831,-1.442421,.7454636,.0383689,1.07e-06,.177452,.6455293,.3645,0,2,3,0,0,0
2,150,.2238864,-.0877598,-.0201573,.0001321,51.03309,-1.80922,.0000935,.8583791,.0693981,.7871042,.4358341,.7229609,3,0,1,0,0,0
3,150,.0707374,.3527383,-.009597,-.0001261,127.5057,-1.603523,.0632986,.0000533,.1511599,.6059244,.0000433,.4139026,1,3,0,0,3,0
1,180,-.0277827,-.2829263,.0412196,.0003029,21.61418,-1.607837,.358187,.1119455,.0002795,.1320717,.376935,.2706391,0,0,3,0,0,0
2,180,.2580305,-.3726349,-.0199753,-.0000553,33.83226,.0796716,.0001447,.4958704,.0914054,.9159335,.6163522,.9881563,3,0,1,0,0,0
3,180,.0890292,.4091624,-.0209576,-.000111,136.9339,-.9732385,.0258988,.0000387,.0047919,.6459178,.000018,.6142346,2,3,3,0,3,0
