gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.277411,-.3654569,.0718677,-.0016524,-8.78872,.1486972,1.38e-07,.0014326,2.49e-09,.0451327,.001048,.5556747,3,3,3,2,3,0
2,10,.2004082,-.0112859,.0031772,-.0113368,-6.357563,2.631369,.0000136,.9469003,.8412957,.0052668,.3698626,.0712472,3,0,0,3,0,1
3,10,.1402256,.1184477,.0150996,-.0006532,5.568039,-.8596262,.0079174,.0199912,.3170723,.6416918,.2973878,.1945903,3,2,0,0,0,0
1,20,.2510727,-.2435504,.0469347,-.0014475,-5.985097,.1874521,4.35e-09,.0055446,1.41e-06,.0182569,.000541,.2926466,3,3,3,2,3,0
2,20,.2107288,-.0397307,-.0126015,-.0102885,-4.094038,2.281974,2.99e-21,.7217109,.3113132,.0013333,.3720078,.0845743,3,0,0,3,0,1
3,20,.1318661,.0880732,.0263327,-.0013985,.6532164,-.6460225,.0039481,.0634231,.0572307,.1880847,.8721864,.1891128,3,1,1,0,0,0
1,30,.1965383,-.1274429,.0479461,-.0013338,-7.997459,.3385338,8.84e-09,.102878,1.42e-08,.0033646,6.15e-09,.0084413,3,0,3,3,3,3
2,30,.1462266,.156301,-.0112529,-.0071983,-1.494802,1.498959,7.20e-13,.1797486,.2982964,.0011221,.6780381,.0911723,3,0,0,3,0,1
3,30,.1299011,.102312,.0261401,-.0004521,-.921549,-.8391126,.0020018,.0082716,.0480513,.6395074,.7793477,.0781724,3,3,2,0,0,1
1,60,.1682988,-.1774236,.0350557,-.0003961,-3.975991,.1417404,8.38e-17,.0019436,2.28e-11,.1077203,1.31e-07,.0423042,3,3,3,0,3,2
2,60,.1444564,-.0015578,-.01899,-.0004202,2.590449,-.5826297,6.69e-28,.9873727,.0164615,.7987142,.3619512,.4125051,3,0,2,0,0,0
3,60,.2602584,.0617746,-.0072268,.0013664,-4.285026,-.9016575,3.10e-19,.0351373,.2648897,.0018223,.0001876,3.16e-06,3,2,0,3,3,3
1,90,.1174655,-.4068109,.0413635,.000123,-1.484608,.007111,4.09e-15,1.76e-12,1.41e-19,.5300632,.015188,.9015027,3,3,3,0,2,0
2,90,.1394844,.1824979,-.0326044,.001244,2.866256,-1.378414,9.73e-22,.0649088,.0000528,.3820195,.3129416,.0534586,3,1,3,0,0,1
3,90,.2584424,-.031912,-.0140058,.0014294,-2.728953,-.688243,8.07e-25,.2989857,.0068671,.0000993,.0010832,8.41e-06,3,0,3,3,3,3
1,120,.1013382,-.5456683,.0408267,.0002094,-.2572062,-.0312946,8.59e-13,1.63e-18,1.79e-20,.2301661,.6376802,.5607324,3,3,3,0,0,0
2,120,.0688751,.6724243,-.0420522,.0001144,4.433303,-.6548605,3.09e-07,1.31e-06,3.21e-08,.9078307,.029657,.1539057,3,3,3,0,2,0
3,120,.2241617,-.1007583,-.0096863,.0013234,-1.606576,-.6584689,2.22e-21,.0106564,.0689908,.0000549,.0923555,3.97e-06,3,2,1,3,1,3
1,150,.1130823,-.7014315,.0395017,.0002041,.056924,-.0417588,2.33e-16,1.92e-23,2.24e-19,.2114498,.9032943,.397244,3,3,3,0,0,0
2,150,.044274,.8373758,-.0473047,.0002092,6.060758,-.6408314,.0000101,1.45e-08,7.75e-10,.813468,.0000991,.0909754,3,3,3,0,3,1
3,150,.1811779,-.1424935,-.0011275,.0013735,-1.640089,-.6540396,1.46e-14,.0010183,.8406104,4.68e-06,.0421652,4.54e-07,3,3,0,3,2,3
1,180,.1375494,-.8502637,.0355373,.0001964,.1628541,-.0307681,1.14e-22,1.74e-27,1.73e-17,.1966467,.692415,.486865,3,3,3,0,0,0
2,180,.0521615,.9967909,-.0573867,.000578,5.352328,-.6669238,2.61e-09,1.51e-10,1.20e-12,.4656484,.0000202,.0321893,3,3,3,0,3,2
3,180,.1455736,-.1982685,.0070263,.001384,-1.997496,-.5944922,1.91e-09,.000128,.2208725,9.67e-07,.0017772,2.80e-07,3,3,0,3,3,3
