gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1854543,-.2395034,.0488486,-.001026,-8.580239,.5891791,.0000269,.0244628,.0000428,.3127991,.0478676,.4107388,3,2,3,0,2,0
2,10,.228213,.162249,-.0638573,-.0026358,-5.79772,-.033662,.0000239,.4243933,.0003584,.2050058,.0074008,.9103301,3,0,3,0,3,0
3,10,.2144842,.0226027,.0192101,-.0025768,-9.04961,.8658375,1.40e-20,.3472117,.0075066,.0010115,.0008516,.0802931,3,0,3,3,3,1
1,20,.2163503,-.1914602,.0216326,-.0004938,-4.450475,.2920415,.0000412,.025799,.091008,.6064398,.1723587,.6229334,3,2,1,0,0,0
2,20,.164103,.0941556,-.0379575,-.0034613,-3.901521,.6636724,4.45e-15,.363775,.0005985,.015614,.0000552,.0026905,3,0,3,2,3,3
3,20,.1728392,.0131153,.0209926,-.0019638,-6.569109,.6420425,1.53e-21,.5048102,.0003891,.0000896,.0011687,.0465935,3,0,3,3,3,2
1,30,.1476898,-.0984994,.0266308,-.0015111,-4.633161,.6482893,.0002559,.1529659,.0066364,.0549806,.075165,.200362,3,0,3,1,1,0
2,30,.1506014,.1513966,-.0374303,-.0004461,-4.044591,-.0275995,4.75e-09,.3724852,.0053045,.7207641,.0001165,.9216973,3,0,3,0,3,0
3,30,.154731,.0291853,.0179971,-.0023072,-6.73805,.9726513,1.36e-17,.2871288,.006311,.0000898,.0004545,.0141106,3,0,3,3,3,2
1,60,.1956349,-.2749685,.0151723,-.0013622,-3.487918,.4435701,6.52e-09,2.46e-07,.0299307,.0000367,.0056103,.053515,3,3,2,3,3,1
2,60,.0855568,.2408874,-.0191547,-.0014173,-2.003055,-.0674663,3.13e-12,.0565959,.0092457,.0894866,.0017736,.7120385,3,1,3,1,3,0
3,60,.1153661,.0087121,.0205693,-.0015605,-5.765388,.3671064,2.31e-14,.7589575,.0004452,.0000108,.0000166,.0906352,3,0,3,3,3,1
1,90,.1706514,-.3075982,.0113524,-.0009545,-1.628703,.217088,1.30e-15,4.99e-13,.0127599,.0000241,.046749,.1522574,3,3,2,3,2,0
2,90,.0607294,.3282533,-.0169294,-.0010743,-1.096936,.1289047,3.46e-07,.0171642,.0140637,.0412424,.1085905,.2516177,3,2,2,2,0,0
3,90,.1186246,-.0072112,.0113589,-.0009955,-4.144096,.1444257,4.69e-17,.8294224,.0416702,.0004469,.0000436,.4078917,3,0,2,3,3,0
1,120,.1510856,-.3599187,.0097711,-.0005051,-.2399829,.1180408,5.06e-19,1.05e-16,.0125704,.0028402,.7376108,.3249943,3,3,2,3,0,0
2,120,.0218533,.6582016,-.0237762,-.0007762,1.109763,.1216983,.0162976,.0000467,.0024526,.0481358,.0966051,.1946594,2,3,3,2,1,0
3,120,.1208975,-.0117253,.0043891,-.0008244,-3.310895,.1151107,2.18e-21,.7144009,.3605284,.0008052,.0002379,.4502849,3,0,0,3,3,0
1,150,.1418367,-.4272858,.0094966,-.0002818,.5149198,.0673388,1.11e-21,6.18e-16,.0205136,.0641526,.4798679,.5419803,3,3,2,1,0,0
2,150,.0078502,.8257847,-.0266858,-.000586,1.896462,.0577102,.2650071,.0000111,.001983,.1006105,.0003671,.4752523,0,3,3,0,3,0
3,150,.1272595,-.0094862,-.0018863,-.000723,-3.476452,.0557642,4.36e-26,.7332758,.6413727,.0020914,8.40e-06,.7045967,3,0,0,3,3,0
1,180,.1250929,-.4622798,.0105859,-.0001686,.9032778,.0352041,3.90e-24,4.12e-14,.0099775,.211813,.2258564,.7218937,3,3,3,0,0,0
2,180,.0125511,1.028629,-.0374571,-.0003338,1.780939,.0088139,.0534305,3.05e-06,.0001802,.3387883,.0000483,.9101382,1,3,3,0,3,0
3,180,.1193341,-.0350923,-.0019235,-.0005651,-2.981644,.0040463,2.19e-27,.221273,.5711969,.020966,.0000284,.9797109,3,0,0,2,3,0
