gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0169201,.0539147,-.058871,-.0030934,162.5873,-31.89015,.3873917,.9525716,.2340126,.1559864,.0803932,.3291343,0,0,0,0,1,0
2,10,.0045276,-.7184936,.0867059,.0010955,-552.3217,-42.63437,.8767391,.0416839,.027678,.2800855,.0405366,.1790189,0,2,2,0,2,0
3,10,.0683037,.336714,-.0173607,.0004617,652.1064,59.35881,.0132344,.2950193,.5291043,.5358333,1.78e-08,.0244005,2,0,0,0,3,2
1,20,.0266579,-.1860366,-.0543722,-.003982,54.14589,1.705675,.2565105,.8218504,.3076038,.0175981,.5385175,.9471631,0,0,0,2,0,0
2,20,.0156196,-.7633697,.0782322,.0011231,-358.4125,-25.8342,.6926973,.0135749,.0719598,.2036158,.0930204,.3104506,0,2,1,0,1,0
3,20,.0582747,.3511298,-.0112182,.0003435,343.0975,93.44398,.0714577,.2340106,.6982889,.6375766,.0005263,.0005532,1,0,0,0,3,3
1,30,.0732212,-.3257907,-.1009835,-.0040226,-125.6659,43.28968,.003279,.6632022,.03816,.0022427,.078317,.0623479,3,0,2,3,1,1
2,30,.0211307,-.8259119,.0737388,.0011209,-130.5389,-9.318618,.5596091,.0060735,.0742662,.1488616,.5078443,.7077255,0,3,1,0,0,0
3,30,.0299826,.4266638,.003497,.0002505,-172.738,121.6305,.4274566,.1197922,.9066876,.71389,.0187327,6.28e-10,0,0,0,0,2,3
1,60,.0780002,3.807204,-.3412243,-.0035238,-55.05063,23.06233,.0051071,.0159194,.00071,.0091731,.3779638,.1987371,3,2,3,3,0,0
2,60,.0263703,-.7565714,.0464135,.0002316,67.19131,13.5814,.4310088,.1299732,.2222574,.7207831,.6771445,.4915425,0,0,0,0,0,0
3,60,.0645242,.9847237,-.0619516,-.000767,-930.1659,230.6463,.1142307,.0088872,.0816688,.1731058,2.96e-30,5.44e-32,0,3,1,0,3,3
1,90,-.0205034,2.909322,-.1275506,-.0027647,26.12114,6.771653,.5835814,.0869459,.1878314,.0105473,.6551619,.6700137,0,1,0,2,0,0
2,90,.0242104,.1846516,-.0109193,.0003384,20.52495,14.03232,.5242447,.7675133,.7669315,.5317934,.8913701,.4210266,0,0,0,0,0,0
3,90,.070671,1.253814,-.0836103,-.0002704,-1273.351,396.7624,.0749918,.0430127,.0682498,.5932197,0,0,1,2,1,0,3,3
1,120,-.0875612,2.625118,-.0039146,-.0016473,6.464629,10.33984,.8903698,.215487,.9963437,.0669895,.8839299,.4208873,0,0,0,1,0,0
2,120,.0074917,.1461086,.0025104,.0002238,-65.6895,4.247334,.7111157,.8384283,.9426724,.6256344,.7033165,.8432874,0,0,0,0,0,0
3,120,.0863305,.96987,-.0749903,.0001067,-1064.535,227.9747,.0099481,.1904316,.1227661,.8041359,0,0,3,0,0,0,3,3
1,150,.3503353,1.28907,-.4790698,-.001171,10.98765,13.80225,.3948416,.4571386,.3470038,.1072223,.7400252,.2154709,0,0,0,0,0,0
2,150,.0198164,.0021473,-.0018072,-.0000591,-125.5784,-12.75414,.1385053,.9975555,.9529622,.8759436,.3284022,.4142449,0,0,0,0,0,0
3,150,.0786009,1.240351,-.0844914,.0000788,-533.8703,105.0268,.0130221,.074491,.0727857,.8135468,4.14e-20,6.50e-22,2,1,1,0,3,3
1,180,-.063739,.3246451,.072542,-.0008477,18.0145,13.68474,.8684309,.8770049,.8795562,.2489693,.495557,.1185725,0,0,0,0,0,0
2,180,.0244469,-.2032858,.0029962,-.0000654,-196.066,-27.07231,.0468521,.7582594,.9063951,.8512071,.0709096,.0481758,2,0,0,0,1,2
3,180,.0648668,1.587755,-.0911985,.0000943,-38.87219,-2.041417,.1047486,.1035784,.1483178,.7803791,.4839289,.8684368,0,0,0,0,0,0
