gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1893787,.1667632,.0241822,.0002832,-.1595399,-.0380424,7.76e-12,.0247382,.0001219,.6842482,.3473775,.1495931,3,2,3,0,0,0
2,10,.335104,.1413708,-.0181706,-.0118801,-2.289404,.5351049,4.13e-17,.1387986,.1527303,.0077521,.0000341,.2273098,3,0,0,3,3,0
3,10,.1103172,-.0061993,.0559807,-.0032054,-.4475036,-.0983384,.0000291,.9334545,2.75e-06,.1375333,.279306,.4485493,3,0,3,0,0,0
1,20,.1478158,.0645594,.0289809,.0010658,-.0404556,-.0359171,1.17e-15,.2446082,3.70e-10,.0124666,.7156068,.0257919,3,0,3,2,0,2
2,20,.3401378,.1894648,-.049404,-.0087815,-.7070712,.4304515,1.15e-31,.0057803,9.04e-08,.0077858,.0603399,.1755633,3,3,3,3,1,0
3,20,.0918761,-.0388566,.0493602,-.0015846,-.0833113,-.1108758,.0000757,.5054603,1.28e-06,.3374684,.7962329,.2701505,3,0,3,0,0,0
1,30,.1247847,.0411644,.0297036,.0014686,-.0029348,-.045287,9.43e-21,.3905575,1.69e-15,9.72e-06,.9717165,.0001903,3,0,3,3,0,3
2,30,.3057739,.2821852,-.054634,-.0079741,-.2404766,.3808623,1.44e-33,.000587,1.40e-10,.0034675,.3750865,.1313153,3,3,3,3,0,0
3,30,.0622832,-.0643871,.052325,-.00077,.0616253,-.1259889,.0004798,.1953132,2.30e-09,.5526524,.7827535,.0898619,3,0,3,0,0,1
1,60,.0837133,-.0355455,.031174,.0016704,.0324911,-.0348706,6.86e-26,.1846308,2.54e-32,2.33e-17,.3979013,5.51e-07,3,0,3,3,0,3
2,60,.2847731,.1589906,-.0491575,-.0024505,-.3235348,-.0186413,9.43e-32,.0203284,2.20e-13,.1559538,.0313652,.9173413,3,2,3,0,2,0
3,60,.0672126,.015031,.030844,.0002012,.1979677,-.1010335,6.76e-06,.7420747,.0000213,.8115125,.1820549,.0298986,3,0,3,0,0,2
1,90,.0724636,-.116003,.0288758,.0017462,.0781983,-.0286556,3.39e-29,3.49e-06,9.22e-38,1.05e-22,.0047141,3.44e-06,3,3,3,3,3,3
2,90,.2953807,.1545983,-.0582031,-.0032071,-.4663208,.1914885,3.21e-26,.0301385,7.86e-18,.0095387,.0004137,.1003877,3,2,3,3,3,0
3,90,.0749052,.0273527,.0197536,.0007472,.2053341,-.0712363,3.09e-07,.5770662,.0032574,.2761007,.087219,.0569037,3,0,3,0,1,1
1,120,.0614721,-.1792962,.028549,.0016398,.0954187,-.0251311,2.03e-24,7.43e-10,9.03e-37,1.43e-23,.0000583,4.65e-06,3,3,3,3,3,3
2,120,.2184918,.4463623,-.0543603,-.0035636,-.3071058,.2562306,3.09e-15,1.16e-06,3.58e-13,.0002647,.0002991,.0004651,3,3,3,3,3,3
3,120,.0581988,-.0235569,.02316,.0005891,.221123,-.0620911,.0000198,.701346,.0008468,.2894088,.0250952,.0373887,3,0,3,0,2,2
1,150,.0567782,-.2503064,.0288827,.0014507,.0987502,-.0217598,5.42e-23,3.72e-13,3.11e-38,7.38e-24,.0000153,.0000108,3,3,3,3,3,3
2,150,.1012249,.6620697,-.0321152,-.0030002,-.048861,.1496974,.0001832,1.99e-11,.0000962,.0006476,.5211151,.023729,3,3,3,3,0,2
3,150,.0540002,-.0719167,.024774,.0003994,.1927218,-.048773,.000019,.2646318,.000099,.392706,.0188338,.0475114,3,0,3,0,2,2
1,180,.0616765,-.3526174,.0287974,.00125,.0996861,-.0209168,1.65e-25,1.71e-18,0,2.79e-23,2.82e-06,2.04e-06,3,3,3,3,3,3
2,180,.0921746,.7656879,-.0362722,-.0026216,.0014538,.117833,.0002655,3.01e-16,.0001287,.0010904,.9841285,.0642876,3,3,3,3,0,1
3,180,.0441115,-.1283846,.027516,.0003866,.1795185,-.0453656,.0004064,.0464817,5.14e-06,.3527349,.0123335,.0458189,3,2,3,0,2,2
