gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1802393,.0854657,.031281,-.0003923,-2.819762,-.014785,.0019364,.4689922,.037518,.6411855,.1663464,.9832492,3,0,2,0,0,0
2,10,.3195757,.0858164,-.0417373,-.0035234,-11.02815,-.248268,3.33e-20,.442655,.0005219,.1105695,3.52e-06,.798076,3,0,3,0,3,0
3,10,.2788045,-.1141508,.0074726,-.0009601,-1.123462,-.2123742,1.63e-14,.0138106,.4445202,.1728892,.4522393,.3795097,3,2,0,0,0,0
1,20,.1702329,.1119775,.0196714,-.0007941,-1.374533,.2455823,.0000366,.2093127,.0779219,.1815509,.2872626,.6021826,3,0,1,0,0,0
2,20,.2887847,.109311,-.0410117,-.0047457,-5.490263,.4482149,9.11e-34,.1485845,1.78e-07,.0004309,2.39e-06,.513881,3,0,3,3,3,0
3,20,.2703144,-.0846267,.0066552,-.0000749,-.5925245,-.3229338,4.29e-24,.0018874,.2893731,.877058,.6216583,.1352842,3,3,0,0,0,0
1,30,.1112282,.1184038,.0255623,-.0003477,-.7953144,.0616374,.0003779,.0735841,.0023208,.4174946,.3811184,.855705,3,1,3,0,0,0
2,30,.2357406,.1055643,-.0279959,-.0049995,-2.048575,.0545718,4.79e-28,.2380313,.0001633,.0002983,.0128304,.9260457,3,0,3,3,2,0
3,30,.2433058,-.1026731,.0109323,-.000045,-.0722395,-.2089055,1.54e-27,.0001481,.0453725,.8956063,.9375744,.2212056,3,3,2,0,0,0
1,60,.0291636,.0836123,.0367955,-.0007796,.1195782,.1147193,.1646144,.0865313,5.66e-10,.0038975,.8278034,.5580341,0,1,3,3,0,0
2,60,.1656027,-.0066937,-.0087781,-.0032929,-1.302277,.4892264,4.18e-18,.9460984,.1619278,.0068276,.0385942,.3552827,3,0,0,3,2,0
3,60,.1877921,-.066573,.0104521,.000357,.3250323,-.1728385,8.93e-25,.0112261,.0283925,.105857,.5365943,.0682464,3,2,2,0,0,1
1,90,-.0122428,.02148,.0433875,-.0007037,-.6683343,-.0661699,.380037,.5758912,6.22e-22,.0004412,.099555,.6591824,0,0,3,3,1,0
2,90,.1212182,.0607146,-.004281,-.0033494,-1.190317,.8081202,4.92e-18,.5460265,.3882265,.0011822,.021218,.1007899,3,0,0,3,2,0
3,90,.1512175,-.0740255,.0125427,.0003199,-.2375114,-.1081675,1.23e-25,.0107994,.0012021,.0556218,.5460842,.1108958,3,2,3,1,0,0
1,120,-.0454655,-.0756477,.0505558,-.0006089,-1.180375,-.1064848,.0000218,.0482875,5.48e-36,.0001643,.0006539,.3620863,3,2,3,3,3,0
2,120,.0947931,.1792979,-.005352,-.0026085,-1.640297,.638017,6.19e-14,.1055111,.2341247,.0030979,.0000262,.078415,3,0,0,3,3,1
3,120,.1204418,-.1058347,.0176977,.0003317,-.7421951,-.1006512,4.08e-24,.0004362,2.12e-07,.015216,.0571359,.1373749,3,3,3,2,1,0
1,150,-.0600858,-.1800093,.0542151,-.0005615,-.9622829,-.0632118,2.58e-09,.0000138,0,.0000623,.0014862,.5370426,3,3,3,3,3,0
2,150,.0620641,.4239466,-.0087271,-.0018144,-1.676356,.2843316,5.75e-06,.0008468,.0710784,.0374728,.0000152,.3845746,3,3,1,2,3,0
3,150,.0990588,-.1046767,.0189827,.0002966,-.660346,-.0882052,2.61e-20,.0004146,4.47e-10,.0165991,.044068,.1195796,3,3,3,2,2,0
1,180,-.0543835,-.2771957,.054118,-.0004667,-.9836609,-.0863193,6.86e-08,1.00e-09,0,.0002,.0003851,.3529334,3,3,3,3,3,0
2,180,.0467198,.5994563,-.0136522,-.0016435,-1.446864,.3053578,.0001812,1.32e-06,.0195691,.0383018,.0000902,.3347561,3,3,2,2,3,0
3,180,.0902236,-.1106765,.017475,.0003066,-.4499234,-.0789245,1.08e-16,.0004745,1.23e-09,.0054111,.1035069,.09202,3,3,3,3,0,1
