gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0291463,-.0845978,.0064059,-.0015641,-.2535103,.3341096,.7926904,.2110581,.4727846,.4880168,.9097229,.5398929,0,0,0,0,0,0
2,10,.0500127,-.0976562,.0202533,-.0041883,-5.664373,1.265571,.6912579,.2345868,.066078,.4704969,.1088562,.578102,0,0,1,0,0,0
3,10,-.0247007,-.0165836,.0103942,-.0030969,-1.756474,.6153109,.8274695,.6315086,.1863721,.1495869,.2584976,.1307769,0,0,0,0,0,0
1,20,.0689557,-.0423006,.0037348,-.0005102,-.283361,.1205381,.6641629,.3879519,.5274286,.6932005,.8500111,.6962193,0,0,0,0,0,0
2,20,.1505687,-.0943615,.0094207,.0007416,-1.600682,-.3204238,.1696812,.1818068,.156973,.8270405,.3638997,.8052627,0,0,0,0,0,0
3,20,.1884419,-.0022665,.000836,.0003115,-.2760171,-.0323123,.0822669,.9355515,.8580652,.7957658,.7690574,.8930398,1,0,0,0,0,0
1,30,.0711046,-.0310811,.0021908,.0000604,-.0684123,-.0128479,.6422827,.4390086,.5813333,.9520408,.9475532,.9578335,0,0,0,0,0,0
2,30,.1823801,-.0807867,.0083948,-.0002597,-1.394388,-.0167757,.1329418,.1955536,.1020601,.9124889,.2299906,.985735,0,0,0,0,0,0
3,30,.1947275,.000376,.0036834,-.00089,-.7755631,.1616942,.206411,.9893498,.3387485,.3327849,.3738436,.4209395,0,0,0,0,0,0
1,60,-.1227731,-.0010961,-.0004619,-.0002146,.1441491,.0443329,.5567051,.962955,.7968051,.6295301,.7336061,.6726207,0,0,0,0,0,0
2,60,.0064214,-.0400805,.0033735,-.0002957,-.3864029,.0016415,.9583237,.358892,.2639554,.82173,.5887992,.9975491,0,0,0,0,0,0
3,60,.2121188,.0019625,.0021051,-.0006425,-.4688376,.1230358,.037159,.9343227,.4081433,.2224666,.1645343,.2882692,2,0,0,0,0,0
1,90,-.1021553,.0006102,.0002372,-.0002685,-.0455823,.0567085,.6312732,.9742303,.8562806,.4316958,.8893184,.4906726,0,0,0,0,0,0
2,90,.0344356,-.0375121,.0031287,-.000249,-.3612259,-.0092104,.7985517,.369173,.2771953,.7959958,.5077572,.9813778,0,0,0,0,0,0
3,90,.1388911,-.0121323,.0023702,-.0005238,-.2435676,.0870636,.2156771,.5016219,.1503374,.0882781,.2650671,.160647,0,0,0,1,0,0
1,120,-.1745903,.0019312,.0004908,-.0002645,-.1266965,.0586432,.430788,.9116719,.6754215,.4591587,.7021042,.5090988,0,0,0,0,0,0
2,120,-.0373967,-.0141883,.0016095,-.0002298,-.3230515,.0274845,.814178,.7382529,.5501164,.7545075,.4311823,.9286474,0,0,0,0,0,0
3,120,-.0102741,.0050812,.0004899,-.0002518,-.1734152,.0518811,.9608714,.8153278,.7818737,.4370819,.4671942,.4617416,0,0,0,0,0,0
1,150,-.1034227,.0072125,.0003812,-.0002771,-.1528499,.0599828,.6194764,.6573967,.7273502,.4250204,.6322212,.4914592,0,0,0,0,0,0
2,150,-.0061526,.0037578,.000012,.0000414,-.0786998,-.0675859,.9690254,.9352368,.9965636,.9441703,.8174338,.7867787,0,0,0,0,0,0
3,150,.0281927,.0109717,-6.01e-06,-.000167,-.1481987,.0359636,.7875143,.509002,.9962956,.5273148,.4783724,.5221394,0,0,0,0,0,0
1,180,-.1417417,.0106399,.000413,-.0003318,-.1966425,.0744894,.5021029,.4629533,.7152235,.3598909,.5387915,.4151953,0,0,0,0,0,0
2,180,.1829614,-.0080442,.0004229,.000212,-.0182703,-.1294248,.2970866,.8588081,.8670579,.6482404,.9517044,.5020502,0,0,0,0,0,0
3,180,-.1184772,-.0050924,.0004676,-.0000457,-.0335038,.0103663,.39008,.7576596,.6948417,.858288,.8750572,.8535085,0,0,0,0,0,0
