gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1362741,.0041691,.0590368,.0006963,-51.47696,-1.855318,.1469357,.9837253,.0000541,.214129,.0001204,.0901077,0,0,3,0,3,1
2,10,.1368289,-.6568285,.0232283,-.0058158,72.12854,-.8827144,.3775533,.157746,.7849719,.2981638,.7487682,.972042,0,0,0,0,0,0
3,10,-.1553247,-.0285945,.0979917,-.0008237,-16.04334,.9686399,.0077472,.5134801,1.10e-06,.5365024,.1388167,.6671587,3,0,3,0,0,0
1,20,.0440704,.1151005,.0621015,.0005133,-40.50967,-1.468799,.2464265,.2982256,2.87e-08,.3309118,.0001462,.1256838,0,0,3,0,3,0
2,20,.175407,-.6907012,.0060701,-.0024931,130.953,-6.136889,.2380547,.0838236,.9390553,.5882572,.5155646,.7854725,0,1,0,0,0,0
3,20,-.1029984,-.0415226,.0896644,-.0009158,-14.31051,-.4620674,.1173434,.4187274,.0000946,.4743169,.1738697,.8162808,0,0,3,0,0,0
1,30,.0331463,-.0423785,.0629124,.0001787,-28.27748,-.6806949,.2571655,.6776764,2.42e-10,.7008843,.0003199,.364015,0,0,3,0,3,0
2,30,.2462283,-.1727552,-.0374008,-.0032213,123.6382,-9.860605,.0126309,.6494679,.4802402,.3205372,.4321493,.5751407,2,0,0,0,0,0
3,30,-.0111243,-.0188194,.0672945,-.0005903,-13.54163,-1.958588,.859912,.7573129,.001409,.5541654,.1026016,.1949702,0,0,3,0,0,0
1,60,.0428682,-.0063226,.0390851,-.0000776,-6.737317,-.0116626,.0242628,.9268788,4.65e-09,.7291734,.0107202,.9720123,2,0,3,0,2,0
2,60,.2058432,-.5237187,.0019605,-.0021861,-16.60417,2.113218,2.35e-06,.1940798,.9348219,.0254941,.7159588,.6724154,3,0,0,2,0,0
3,60,.2034824,.0839228,-.0128256,.0005872,1.50105,-2.585768,1.05e-08,.0338348,.2605797,.1818779,.7127364,.0028014,3,2,0,0,0,3
1,90,.0059884,.0093932,.0374287,-.0002146,.4502012,.2234057,.6204229,.8545091,2.02e-15,.0865158,.7357226,.158385,0,0,3,1,0,0
2,90,.1674405,-.0641333,-.0130979,-.0014373,-46.08064,6.351768,3.04e-13,.7063381,.2325043,.0192578,.0413333,.0121384,3,0,0,2,2,2
3,90,.1379709,.0032248,.003264,.0000154,1.602371,-1.319535,1.61e-08,.9313216,.6593094,.9479545,.5073437,.0096164,3,0,0,0,0,3
1,120,.0067362,-.0603792,.0340531,-.0001401,2.253349,-.0198352,.219271,.1839876,1.50e-24,.032133,.0382572,.8828079,0,0,3,2,2,0
2,120,.1208689,.3443148,-.0320055,-.0002725,-5.447258,1.024762,1.25e-13,.0138949,.000015,.5339931,.7231013,.608754,3,2,3,0,0,0
3,120,.1370449,-.0370804,-.0012469,.0000568,2.518509,-.9518185,4.51e-09,.2410393,.8422631,.7613202,.161218,.010926,3,0,0,0,0,2
1,150,.001268,-.2000968,.0375477,-.0001211,3.413762,-.0065315,.7231199,.0000437,1.46e-31,.0340101,.0002582,.9602942,0,3,3,2,3,0
2,150,.087967,.5053535,-.0345351,.0006326,8.623339,-2.135978,2.33e-08,.0009751,.0001584,.1872203,.6065531,.3539436,3,3,3,0,0,0
3,150,.1261227,-.0610524,-.0025397,.0001325,2.859245,-.9587396,6.91e-08,.0266953,.6763185,.3753961,.0839471,.0043587,3,2,0,0,1,3
1,180,.0019781,-.2980807,.0383124,-.0001069,3.946519,.0297181,.5064328,7.08e-08,8.62e-33,.0812494,.0001092,.8348594,0,3,3,1,3,0
2,180,.0953426,.5126518,-.0377799,.000768,1.51507,-3.562891,5.60e-09,.0020481,.000274,.0625198,.9279479,.0936227,3,3,3,1,0,1
3,180,.0535738,-.0791955,.0144254,.0001448,1.793791,-1.013757,.0085284,.0090128,.0084686,.3243652,.2574061,.0020311,3,3,3,0,0,3
