gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,-.0528338,-.1464163,.0130774,.0004618,-6.829677,-.8257715,.7460101,.2325304,.1259661,.409959,.4522642,.4200427,0,0,0,0,0,0
2,10,1.617541,-.6185397,.0443818,-.0002808,-8.507216,.9392378,.0467849,.2860565,.278801,.9048047,.8633035,.8859327,2,0,0,0,0,0
3,10,-.4171877,-.0847922,.0073268,-.0007173,-.8924967,1.671818,.0481639,.1849444,.3465254,.471657,.8359996,.390714,2,0,0,0,0,0
1,20,-.1378042,-.168479,.0128242,.0001707,-4.994426,-.2690135,.5643154,.1397443,.0851496,.7060989,.4251027,.7285416,0,0,1,0,0,0
2,20,1.124096,-.3332305,.0194365,.0007798,10.47632,-3.487299,.2923684,.4826843,.6091896,.6620286,.7905336,.5390459,0,0,0,0,0,0
3,20,-.3136895,-.0497849,.0080041,.0003102,-8.827975,-.4012411,.3192558,.3032489,.1484188,.6599019,.0000398,.7117943,0,0,0,0,3,0
1,30,-.2201602,-.1286958,.0117975,.0002976,-6.476894,-.3899465,.5284561,.1068572,.066805,.4357416,.3463014,.5693368,0,0,1,0,0,0
2,30,.5642468,-.2583376,.0096706,-.0001884,20.18156,.6310655,.6374626,.5592126,.7910179,.879613,.5212955,.8785293,0,0,0,0,0,0
3,30,-.179403,-.0268762,.0036175,.0003855,-2.029673,-.8214719,.6370874,.624694,.4924978,.4898447,.3884393,.4888361,0,0,0,0,0,0
1,60,.7560765,-.0660873,.0065894,.0001653,-4.408794,-.2338335,.3787024,.183836,.1454017,.3118311,.3886942,.3450446,0,0,0,0,0,0
2,60,-.5781537,-.3717081,.0203468,-.000674,-2.602055,2.651337,.5052615,.0833622,.1159591,.1325816,.7830226,.147341,0,1,0,0,0,0
3,60,-.3199658,.0175779,-.0017504,.0000923,.6630535,-.5739213,.0571679,.558597,.4951629,.7962421,.7011142,.6454172,1,0,0,0,0,0
1,90,.7865147,.0197387,.001094,.0001263,-2.619484,-.1389553,.3788903,.5944654,.7066122,.2263896,.4361422,.3777397,0,0,0,0,0,0
2,90,-.8349832,-.1664678,.0085065,-.0002917,-1.35685,1.152085,.2776265,.3764736,.4217006,.3315773,.8022081,.3045924,0,0,0,0,0,0
3,90,-.7513961,-.0122283,.0010334,-.0000361,-.4677972,-.0387616,.3418379,.7282043,.6742854,.919196,.8124872,.978074,0,0,0,0,0,0
1,120,.6857889,.0361691,-.0007611,.0000955,-1.036717,-.1879633,.3580982,.3156357,.6973446,.1727991,.603936,.1272761,0,0,0,0,0,0
2,120,-.4037187,-.1165991,.0045071,-.0002885,3.448945,1.146625,.4787349,.5522407,.662842,.2222288,.4504465,.1669442,0,0,0,0,0,0
3,120,-.0303495,-.0091661,.0007228,-.0002509,-.0803175,.9736764,.8843577,.6907369,.6594634,.2354209,.932258,.1772731,0,0,0,0,0,0
1,150,-.0744596,.0244949,-.0008464,.0001006,.1744341,-.168629,.7607622,.4395156,.613622,.0610229,.8406442,.0422397,0,0,0,1,0,2
2,150,.1336986,.0145084,-.0027372,-.0003147,5.451481,.9838223,.7693785,.9533021,.8270746,.304385,.4185273,.4346342,0,0,0,0,0,0
3,150,.1073265,.032613,-.0016418,-.000048,-.7760242,.2920263,.6734756,.2210691,.362643,.7544134,.2851567,.4558185,0,0,0,0,0,0
1,180,-.3973278,.0077615,-.0001727,.0001014,.2750557,-.1467086,.0160707,.8079516,.906043,.0570737,.6622414,.095032,2,0,0,1,0,1
2,180,.0680272,.0044958,-.0018798,-.0003736,4.696797,1.162099,.860433,.9868395,.8857791,.2403759,.5357785,.3898655,0,0,0,0,0,0
3,180,-.3550445,.0085566,-.0002011,.000048,-.4992804,-.0491662,.3599021,.7290353,.8954887,.6851156,.2219632,.8179432,0,0,0,0,0,0
