gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0719461,.0879665,.0553716,-.0019707,-6.915039,.4586687,.1611387,.3922238,1.98e-06,.0724921,.0003468,.1516506,0,0,3,1,3,0
2,10,.2876977,.0373463,.0059946,-.0089908,-10.09869,2.189866,1.96e-10,.8125658,.6787372,5.92e-06,.0187453,.006055,3,0,0,3,2,3
3,10,.0212845,-.098524,.0590412,-.0015266,-3.241117,-.4692746,.8005751,.0176559,.000397,.2753544,.2205014,.5431833,0,2,3,0,0,0
1,20,.106996,.1069991,.039803,-.0006971,-6.404591,-.0392794,.0132722,.2275755,.0000609,.3397546,.0000293,.8240684,2,0,3,0,3,0
2,20,.2316175,-.1585625,.0274973,-.0072506,-9.975484,.7235664,6.56e-19,.1404005,.0057406,.0000315,.0552704,.4825656,3,0,3,3,1,0
3,20,-.0646483,-.0580585,.0744228,-.0005148,-10.3283,-.4579065,.3474746,.2090208,3.73e-07,.6576796,.0082007,.6175811,0,0,3,0,3,0
1,30,.143229,.0691973,.0297643,-.0014483,-6.405183,.1251626,.0000193,.3524188,.0001264,.0246339,2.24e-06,.4911288,3,0,3,2,3,0
2,30,.1684366,-.0648355,.0293601,-.0067876,-6.282388,-.0319342,3.87e-14,.5326616,.0009341,.0000143,.1321336,.9722021,3,0,3,3,0,0
3,30,.0246492,.0378321,.0503582,-.0006375,-11.77318,.0578176,.6860344,.498355,.0004462,.5280597,.001376,.9455382,0,0,3,0,3,0
1,60,.098735,-.0386936,.0262174,-.0003073,-2.455843,-.1726076,.0000849,.5220306,9.75e-06,.5010543,.0048168,.1514725,3,0,3,0,3,0
2,60,.2209667,-.1742745,.0026905,-.0031762,-4.755682,.1783319,2.35e-20,.1007309,.6535919,.0000679,.0040911,.659205,3,0,0,3,3,0
3,60,.4373496,.1599972,-.0489819,-.0004385,-7.955624,.1313066,1.56e-21,.0001528,2.75e-07,.4258893,.0004134,.7770333,3,3,3,0,3,0
1,90,-.0558565,-.3245877,.0525447,.0006106,-1.074795,-.3364713,.004308,5.01e-07,5.93e-20,.1473438,.0944946,.0054416,3,3,3,0,1,3
2,90,.2337464,-.333157,-.0074881,-.0002064,-1.146724,-.2943473,2.09e-31,.0026599,.1501757,.6755986,.0980807,.221576,3,3,0,0,1,0
3,90,.3515989,.0740482,-.0388687,-.0000954,-4.42598,-.0104441,1.10e-19,.0653844,1.13e-06,.7679436,.0000877,.9635999,3,1,3,0,3,0
1,120,-.0886249,-.5616028,.0614324,.0007618,-.8644001,-.3174914,2.69e-06,4.86e-12,1.69e-24,.0500089,.1422158,.003811,3,3,3,1,0,3
2,120,.1879579,-.0798897,-.0154211,.0001362,-1.300535,-.2712635,8.41e-24,.5094747,.0061674,.7743691,.0389001,.1940415,3,0,3,0,2,0
3,120,.3488915,.0369078,-.0413437,-.0000886,-4.323465,.00809,3.05e-19,.3965549,1.99e-08,.7784387,.0002168,.9725816,3,0,3,0,3,0
1,150,-.1106956,-.8249366,.0707541,.0008154,-.7528734,-.2996197,9.09e-09,5.49e-18,4.90e-29,.0231073,.1626844,.0031551,3,3,3,2,0,3
2,150,.1961618,.0608358,-.0301983,-.0001465,-1.315938,-.1803856,1.73e-20,.598253,2.46e-07,.7405912,.0987379,.3789452,3,0,3,0,1,0
3,150,.3650595,.0114291,-.0487023,.0000173,-3.263831,.0059177,4.73e-22,.8207103,3.77e-11,.9488858,.000152,.9740109,3,0,3,0,3,0
1,180,-.1318731,-1.041054,.0776876,.0008519,-.7902489,-.2833465,9.63e-11,2.92e-23,9.50e-33,.0165979,.1053111,.0065421,3,3,3,2,0,3
2,180,.1690097,.5315329,-.0516737,.0000622,-.6374033,-.2200462,1.72e-19,.0000112,2.49e-12,.8777803,.429705,.2150268,3,3,3,0,0,0
3,180,.3105838,.0087354,-.0434227,-8.58e-06,-2.620798,.0258372,1.05e-15,.8745463,5.54e-08,.9712893,.0001956,.8640121,3,0,3,0,3,0
