gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1661977,-.2921326,.0747597,.0005977,-5.850227,-.2815704,.0010301,.0205767,6.02e-08,.4927952,.0021907,.25941,3,2,3,0,3,0
2,10,.2940158,.0383159,-.0241433,-.0011873,-5.051894,.6517735,4.90e-07,.8087887,.1572881,.3967366,.00949,.0525627,3,0,0,0,3,1
3,10,.0169997,-.0059124,.0867032,-.0048452,-11.8535,.645376,.6841577,.8586196,3.12e-11,.0019419,.0000369,.2176251,0,0,3,3,3,0
1,20,.1329262,-.2066023,.063473,.0007727,-5.763822,-.1776106,.0001716,.0464084,4.86e-09,.2111905,2.28e-06,.2639996,3,2,3,0,3,0
2,20,.205844,.1016731,-.0117068,-.0004385,-4.054618,.3838912,3.44e-12,.3596345,.2094115,.6304886,.0009432,.051857,3,0,0,0,3,1
3,20,.0778676,.0086121,.0624636,-.0020983,-9.113091,.1262733,.007074,.7938274,1.38e-10,.0298816,1.02e-08,.6840066,3,0,3,2,3,0
1,30,.0923753,-.2010103,.0612561,.0010213,-4.823857,-.2257326,.0014347,.047137,8.53e-10,.0427564,1.64e-06,.0786966,3,2,3,2,3,1
2,30,.166385,.2151166,-.0085967,.0001474,-2.591885,.2617573,1.97e-15,.0460608,.366613,.8552823,.0081749,.1015966,3,2,0,0,3,0
3,30,.1191253,.0324776,.0360098,-.0014265,-5.749969,.0847585,.0000205,.4400852,.0000692,.0557247,5.67e-06,.7182024,3,0,3,1,3,0
1,60,.015481,-.2780156,.0631983,.0002415,-3.341582,-.0623801,.3230045,6.23e-08,2.39e-31,.4312173,6.11e-07,.4669829,0,3,3,0,3,0
2,60,.1627353,.0819007,-.0128125,-.000333,-.7723105,.1604004,2.50e-14,.5348539,.0707826,.532931,.102711,.0784194,3,0,1,0,0,1
3,60,.1065744,.0096333,.02627,-.0015648,-2.113608,.174444,3.12e-09,.7368584,.0000127,.000339,.0133791,.1337724,3,0,3,3,2,0
1,90,-.0232106,-.3690139,.0626598,.0000861,-2.047252,-.0374663,.0546216,3.30e-15,0,.7093531,.0000896,.5537732,1,3,3,0,3,0
2,90,.1582441,.0039072,-.0190621,-.0009349,-.0900737,.1368717,3.48e-16,.9758399,.0005641,.0259617,.7289506,.034479,3,0,3,2,0,2
3,90,.0565079,-.0397693,.0303123,-.00182,-.8360833,.2024606,.0000817,.2369347,2.48e-08,4.02e-08,.1941923,.006369,3,0,3,3,0,3
1,120,-.0447408,-.4169586,.0623619,.0001723,-1.6405,-.0287625,.0000311,7.90e-16,0,.3578188,.0001039,.5743052,3,3,3,0,3,0
2,120,.1378333,.2540559,-.0281675,-.0002344,-.1030736,.034088,2.61e-17,.0839523,2.74e-06,.4201478,.5640678,.5142368,3,1,3,0,0,0
3,120,.0377991,-.0357549,.0290257,-.0018643,-.6800172,.216111,.0036621,.346075,2.74e-08,1.27e-09,.2477219,.0018144,3,0,3,3,0,3
1,150,-.0520801,-.4718479,.0615691,.0002382,-1.463551,-.0336935,1.08e-06,2.20e-15,0,.1475336,.0000641,.4490957,3,3,3,0,3,0
2,150,.1312538,.4384476,-.0363719,.0000776,-.6729068,-.0768856,8.58e-19,.0009359,1.73e-09,.7728921,.0016249,.1759199,3,3,3,0,3,0
3,150,.0352795,-.0067961,.0234608,-.0018201,-.4921062,.2337514,.0065794,.8651677,1.17e-06,7.01e-10,.3580768,.0009656,3,0,3,3,0,3
1,180,-.0587822,-.4663034,.0586882,.000224,-1.35044,-.0375836,1.08e-07,2.91e-14,0,.1250376,.0000472,.3383574,3,3,3,0,3,0
2,180,.1107106,.7887841,-.0491101,.0000792,-.4943244,-.0551635,4.06e-14,1.80e-09,9.49e-12,.7603137,.0228506,.3046572,3,3,3,0,2,0
3,180,.0347809,.0288204,.0169636,-.001654,-.157973,.2061484,.0111953,.5007344,.0002534,1.15e-07,.7780395,.0165483,2,0,3,3,0,2
