gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.3060518,-.1610038,.0530854,.0015715,40.97265,-2.030858,.1183075,.281808,.0099148,.0141328,.2768707,.3603634,0,0,3,2,0,0
2,10,.2802202,.4148823,.0425375,-.0009488,138.9037,10.13629,.0000821,.0015335,.0008608,.0260369,.0434661,.0563472,3,3,3,2,2,1
3,10,.0962925,.4480339,.0525787,-.0000171,20.26198,2.389597,.0128192,.0000937,1.94e-08,.9594312,.6660385,.5084651,2,3,3,0,0,0
1,20,.243308,-.1696225,.0622887,.0022825,33.49601,-4.343944,.0927771,.3216736,.0021734,.0124855,.3988742,.0263521,1,0,3,2,0,2
2,20,.2214745,.4286368,.0460893,-.0013034,154.9117,12.78387,.0007462,.002408,.0004247,.004454,.029094,.0244147,3,3,3,3,2,2
3,20,.0352054,.4509673,.0594728,-.0000605,27.5719,2.216719,.3516483,.0000477,1.31e-10,.8568781,.5458627,.5369105,0,3,3,0,0,0
1,30,.1578517,-.2586141,.0794185,.0022673,28.67385,-4.873178,.1733638,.279261,.0003801,.0191324,.4977175,.0257902,0,0,3,2,0,2
2,30,.2031572,.4283294,.0482131,-.0011814,125.7667,11.52464,7.59e-06,.0026782,.0000198,.0046086,.0450215,.0226141,3,3,3,3,2,2
3,30,-.0343044,.4663129,.0660191,-.0001248,33.24966,2.325468,.3481553,.0000102,1.37e-13,.705164,.4503199,.50312,0,3,3,0,0,0
1,60,.0798641,-.445184,.094681,.0021939,30.1524,-4.602664,.345872,.5680053,.0132339,.0512966,.3782533,.0317512,0,0,2,1,0,2
2,60,.1477444,.354636,.056822,-.0005112,87.40974,4.119031,8.51e-09,.1406505,3.22e-07,.0505493,.0279111,.1803768,3,0,3,1,2,0
3,60,-.1185967,.7235174,.0571307,-.000093,32.55572,1.093331,.0000517,1.42e-09,3.15e-12,.6925706,.3379155,.6392648,3,3,3,0,0,0
1,90,-.0159232,.526045,.0542041,.0024496,34.89904,-4.999548,.8836773,.6688691,.2562314,.0332377,.2883861,.0230916,0,0,0,2,0,2
2,90,.0910285,.520578,.0564298,-.0001579,56.25637,2.66721,.0000341,.0334101,5.00e-09,.3766229,.0631848,.2272234,3,2,3,0,1,0
3,90,-.2059295,.8045831,.0636112,-.0000306,37.59068,-.1081068,8.05e-14,6.42e-11,3.90e-18,.8656377,.1468122,.9496675,3,3,3,0,0,0
1,120,-.10583,1.665771,.0119743,.0024882,51.34442,-4.713808,.4631859,.3893209,.8678665,.0232928,.1420108,.0223507,0,0,0,2,0,2
2,120,.1309785,-.1472499,.0766503,-.0002463,26.36363,2.803828,1.38e-07,.5978993,3.39e-14,.1239809,.2698826,.1526055,3,0,3,0,0,0
3,120,-.2822295,.7244837,.078217,-.0000946,39.12825,-.547074,1.07e-22,4.44e-09,3.35e-28,.543292,.0665938,.7035714,3,3,3,0,1,0
1,150,.0166757,2.640334,-.0364573,.0026286,50.46292,-3.984105,.9149089,.2681414,.6695501,.0143191,.2058813,.0700815,0,0,0,2,0,1
2,150,.1500635,-.2947907,.0761521,-.000257,7.275519,3.308545,4.21e-08,.2997378,2.24e-16,.1028294,.7181261,.0888417,3,0,3,0,0,1
3,150,-.3177116,.4757702,.0955455,-.0000845,29.87138,-.5090894,2.51e-27,.0000314,0,.4762055,.0788793,.6502059,3,3,3,0,1,0
1,180,.1252101,1.357236,.0068425,.0025422,37.5136,-3.439337,.3280979,.5406638,.9233497,.0142888,.3032072,.1402588,0,0,0,2,0,0
2,180,.1233768,-.073856,.068734,-.0003113,8.359507,4.528714,.0003172,.8270439,9.79e-15,.1004403,.7318578,.0447433,3,0,3,0,0,2
3,180,-.3461792,.27314,.1072604,-.0001922,26.06244,.2967549,4.30e-33,.0046956,0,.033884,.0649169,.7339301,3,3,3,2,1,0
