gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.3552348,-.443157,.0680431,-.0033223,-5.717214,.3408498,8.21e-07,.0002821,4.96e-06,.0368864,.0063855,.3060108,3,3,3,2,3,0
2,10,.222165,.2028365,-.0035474,-.0102708,-4.144762,1.491692,1.26e-10,.2460443,.8167483,.0141328,.208463,.124609,3,0,0,2,0,0
3,10,.372054,.0040807,.003188,.0021941,-2.361307,-.397524,1.49e-11,.9535792,.7921706,.0194355,.3336797,.1787649,3,0,0,2,0,0
1,20,.3263697,-.2913677,.0459644,-.0036426,-4.152814,.3935482,1.66e-09,.0020776,.0000749,.0031504,.0088156,.1176345,3,3,3,3,3,0
2,20,.1931753,.1970216,-.0089009,-.0061179,-1.551751,.7728989,1.39e-15,.1248137,.3944896,.0222238,.4165865,.2230071,3,0,0,2,0,0
3,20,.3176011,-.0331169,.0062327,.0005595,-.0212659,-.1529365,4.33e-14,.566249,.4889824,.3856326,.987442,.4395607,3,0,0,0,0,0
1,30,.277402,-.245609,.0416895,-.0037924,-4.440532,.5360897,2.98e-11,.0016215,3.20e-06,.0000288,.000349,.0037884,3,3,3,3,3,3
2,30,.194236,.2047727,-.007526,-.005829,-1.480141,.5985755,1.12e-20,.1342497,.4830464,.0227822,.5330228,.3535015,3,0,0,2,0,0
3,30,.3265862,-.0584004,.0019732,.0009192,.216936,-.1573377,1.20e-17,.2275961,.8091558,.0629646,.7919056,.2454901,3,0,0,1,0,0
1,60,.1629617,-.3803505,.0434335,-.0016369,-.7242054,.2119439,2.31e-09,1.68e-09,6.77e-12,.0007799,.2529976,.0254715,3,3,3,3,0,2
2,60,.1678112,.361022,-.0291116,.0016486,2.447767,-.9113091,8.55e-23,.0001559,.0000176,.2046402,.0880368,.0140041,3,3,3,0,1,2
3,60,.3131962,-.104737,-.0046073,.0003934,2.079105,-.0540505,1.82e-23,.0001152,.4721562,.1502094,.0003402,.4499485,3,3,0,0,3,0
1,90,.1009387,-.4067769,.0468933,-.0011777,-.5971949,.1747618,4.23e-07,7.87e-13,8.62e-19,.0017149,.2348623,.0201662,3,3,3,3,0,2
2,90,.1397372,.5145248,-.0322809,.0023155,2.049968,-1.064373,4.52e-18,8.09e-08,3.75e-07,.0300944,.0530733,.0010858,3,3,3,2,1,3
3,90,.3247885,-.1217887,-.0166208,.0007182,1.644542,-.0865769,2.70e-30,.0001103,.0020195,.0005381,.000247,.1262355,3,3,3,3,3,0
1,120,.0791634,-.536213,.0499247,-.00098,-.4933187,.1479708,1.94e-06,3.77e-16,1.42e-23,.0030339,.2887823,.031727,3,3,3,3,0,2
2,120,.1008951,.8122926,-.0438958,.0034566,3.033708,-1.194011,1.21e-11,2.74e-11,5.57e-09,.0005654,.0067119,.000166,3,3,3,3,3,3
3,120,.3004573,-.1353165,-.0165968,.0008764,1.290129,-.0969074,4.31e-29,.0000125,.0009837,.000468,.0024433,.2091337,3,3,3,3,3,0
1,150,.0749142,-.7058873,.0523381,-.0007999,-.3994124,.1108095,5.55e-06,1.04e-18,9.49e-24,.0086773,.363782,.0744999,3,3,3,3,0,1
2,150,.037461,1.031316,-.04436,.0026964,4.200532,-.8102863,.0079612,3.09e-12,1.59e-08,.0017511,.0009545,.0037597,3,3,3,3,3,3
3,150,.2771849,-.1402481,-.0166884,.000863,1.162727,-.0481816,4.29e-23,8.73e-06,.0030413,.0001651,.0117133,.4699373,3,3,3,3,2,0
1,180,.0861484,-.8694317,.0522716,-.0008362,-.3650887,.099426,9.69e-10,2.57e-22,9.03e-25,.0017979,.3637961,.0668209,3,3,3,3,0,1
2,180,.0208484,1.127391,-.045086,.002325,4.120198,-.633925,.0946992,8.34e-13,1.86e-08,.0016041,.0004618,.0081259,1,3,3,3,3,3
3,180,.2273153,-.1756635,-.0070439,.0007047,.5417681,-.023524,6.82e-16,2.87e-06,.2087012,.0005526,.1965526,.6663707,3,3,0,3,0,0
