gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2337473,-.1138919,.0693299,-.0018804,-33.11857,1.970998,.0005538,.3390702,1.08e-06,.000431,.0009137,.0022464,3,0,3,3,3,3
2,10,.26663,-.1070079,-.0241189,.0013368,184.254,-8.075515,.0000897,.5431335,.4397753,.6561564,.1091248,.4394857,3,0,0,0,0,0
3,10,.0521636,.0100959,.1221347,-.0005852,-122.1066,-7.805478,.511359,.8303245,1.82e-08,.822409,.0132028,.3579293,0,0,3,0,2,0
1,20,.1427946,-.165264,.0602805,-.0017413,-17.20729,1.590037,.0009681,.0791108,6.88e-10,8.03e-06,.0036608,.0002565,3,1,3,3,3,3
2,20,.2144062,-.0721941,-.0267434,.0006003,188.916,-6.735362,.0000312,.6390599,.2577376,.8113016,.0226875,.4183257,3,0,0,0,2,0
3,20,.0114238,.0202815,.0942801,-.0008066,-55.45009,-3.874795,.8686867,.6836863,1.14e-06,.6409319,.1137733,.4788941,0,0,3,0,0,0
1,30,.1504072,-.1184037,.0412922,-.0012292,-12.85341,1.244307,.000164,.1205129,1.16e-06,.0002148,.0030054,.0003225,3,0,3,3,3,3
2,30,.1582725,-.0351788,-.0074596,-.0010193,125.0436,1.283937,3.24e-06,.8262315,.6796705,.6013122,.017623,.8282148,3,0,0,0,2,0
3,30,.1328771,.0614818,.0443427,-.0008177,-12.9128,-.8917069,.0039421,.1815453,.0019824,.4649118,.583723,.7922734,3,0,3,0,0,0
1,60,.1317199,-.0966857,.0260134,-.0000352,-1.096557,.2923678,1.35e-06,.0880332,.0000133,.8483397,.6105544,.1265461,3,1,3,0,0,0
2,60,.1446086,-.1116011,.016554,-.0031027,46.69158,4.662622,1.15e-13,.5215103,.320858,.0429495,.2241327,.3062181,3,0,0,2,0,0
3,60,.2070152,.0353502,.0136879,.0000914,.5945832,-.162308,3.87e-11,.3566862,.0812192,.8843103,.9588435,.934112,3,0,1,0,0,0
1,90,.0734613,-.1944764,.0308656,.0003784,2.983968,.0095143,.0002007,.0000472,1.74e-10,.0100106,.0959845,.9502768,3,3,3,2,1,0
2,90,.1370475,-.0312642,-.0017053,-.0015233,77.6028,-2.21576,8.50e-11,.8622631,.9136313,.2980695,.0190444,.5942909,3,0,0,0,2,0
3,90,.2633146,-.0011794,-.0047943,.0004137,-7.476033,-.4064922,2.26e-10,.9761692,.6053075,.3830679,.4152466,.7851492,3,0,0,0,0,0
1,120,.0367568,-.2987167,.0351987,.0004368,4.937027,-.0677362,.0325007,1.37e-09,1.34e-14,.0012551,.0016115,.6237152,2,3,3,3,3,0
2,120,.121957,.2634323,-.02259,-.0011978,88.87463,-2.113719,7.10e-10,.1385787,.160821,.4138771,.0080073,.6063752,3,0,0,0,3,0
3,120,.3021792,-.0117391,-.0226981,.0007603,.7674598,-1.243481,7.94e-13,.7741082,.0151638,.0593059,.9194465,.3313571,3,0,2,1,0,0
1,150,.0037991,-.4072942,.0410582,.000454,6.197806,-.0863413,.8184582,1.25e-12,2.98e-18,.0007191,.0000563,.5309249,0,3,3,3,3,0
2,150,.1076576,.5464477,-.037323,-.0009586,85.96059,-2.071509,1.74e-06,.0009955,.0312746,.5105405,.0100932,.6093465,3,3,2,0,2,0
3,150,.178223,-.0580425,-.0001257,.000802,10.83213,-1.470858,.0000143,.1934367,.9896752,.0390103,.1381735,.2351342,3,0,0,2,0,0
1,180,-.004689,-.486241,.0418007,.0004826,6.442785,-.1207827,.7579396,2.79e-15,2.95e-20,.0000436,7.69e-06,.3135617,0,3,3,3,3,0
2,180,.1271302,.8928772,-.0599043,-.0013137,71.87975,-.9200333,1.49e-07,2.82e-06,.0022218,.3646543,.0318974,.8182835,3,3,3,0,2,0
3,180,.0830977,-.0874269,.0152874,.0007646,20.29566,-1.360064,.0764701,.0455329,.1655738,.0323833,.0045293,.2404835,1,2,0,2,3,0
