gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2331893,-.0384654,.070557,-.0017703,-33.2596,1.445751,1.09e-06,.7347435,2.18e-08,.0021631,1.34e-08,.0061747,3,0,3,3,3,3
2,10,.2255534,.0366302,.0294909,-.0023591,-51.76212,1.592417,1.81e-06,.785469,.0535284,.255154,.0002748,.5353255,3,0,1,0,3,0
3,10,.098298,.0664356,.065248,-.0012009,-22.07141,1.078087,.1063963,.1652569,.0000477,.2567281,.0011608,.2102909,0,0,3,0,3,0
1,20,.2057455,.0594941,.0444662,-.0011369,-27.42774,1.049352,7.01e-07,.5136533,.0000226,.0075054,5.18e-10,.0038901,3,0,3,3,3,3
2,20,.1894195,.0501233,.0299115,-.0024359,-43.18216,1.061039,9.29e-16,.6691978,.000228,.0592911,.0000146,.4997823,3,0,3,1,3,0
3,20,.2170325,.0923676,.0274476,-.0021464,-19.60422,1.299868,5.84e-07,.0361738,.0245714,.0054553,.0004448,.0677475,3,2,2,3,3,1
1,30,.1675576,.0513792,.0371666,-.0007243,-21.11396,.5361385,4.16e-08,.5001965,1.57e-06,.0233865,9.94e-08,.0570427,3,0,3,2,3,1
2,30,.1430551,.1337985,.0224423,-.0011334,-18.29317,-1.40446,3.86e-09,.3047397,.0069286,.2809321,.0384641,.300887,3,0,3,0,2,0
3,30,.2033092,.0911196,.0210833,-.0012623,-11.80908,.2283383,5.47e-07,.0181411,.0701826,.0396495,.0002831,.646193,3,2,1,2,3,0
1,60,.1612545,.0244885,.0174399,-.0003337,-6.952362,.0278396,2.12e-18,.607629,.0000447,.0372797,3.13e-06,.8237416,3,0,3,2,3,0
2,60,.1602229,-.0163257,.0027386,-.0009789,-1.136058,-.8529624,1.52e-29,.8548575,.5909683,.1030421,.7903458,.2211785,3,0,0,0,0,0
3,60,.3610304,.0592398,-.034,-.0009983,-4.401104,.176018,2.47e-26,.0210596,.0000175,.0098704,.1289973,.6644536,3,2,3,3,0,0
1,90,.127678,-.0713375,.017246,8.28e-06,-1.707582,-.2736472,4.25e-21,.0658196,7.12e-08,.9520544,.0596224,.0149702,3,1,3,0,1,2
2,90,.1471965,-.0621817,-.0038599,.0004878,8.329278,-1.603443,7.37e-25,.5243646,.4664077,.4036191,.023316,.0262717,3,0,0,0,2,2
3,90,.261629,-.0104437,-.0184643,-.0004798,-.0208239,-.03244,1.43e-23,.6886912,.003681,.1520335,.9931414,.9266135,3,0,3,0,0,0
1,120,.1140301,-.1814226,.0184406,.0000762,-.1751148,-.2897108,4.17e-19,.0000309,1.25e-08,.4891254,.8102781,.000804,3,3,3,0,0,3
2,120,.1082415,.3172506,-.0135338,-.0001912,4.842973,-1.066077,6.96e-19,.0067955,.0193896,.729735,.2644989,.1748448,3,3,2,0,0,0
3,120,.2421023,-.0547896,-.0174868,-.0004077,.2252061,-.0479917,3.32e-23,.0829604,.0049893,.2018611,.9278737,.8903956,3,1,3,0,0,0
1,150,.1134038,-.3756333,.0215698,.0001533,.7829053,-.2720176,4.28e-20,2.67e-12,9.95e-10,.1071072,.2162085,.0001737,3,3,3,0,0,3
2,150,.0941419,.6226072,-.0278671,-.000226,3.439515,-.9837322,3.45e-19,9.52e-07,4.33e-06,.640143,.308753,.1218961,3,3,3,0,0,0
3,150,.2797723,-.0714737,-.031351,-.0003212,.7272599,-.0117845,1.76e-25,.0295991,1.55e-06,.2744269,.7597008,.9713256,3,2,3,0,0,0
1,180,.1140334,-.4980559,.0220772,.0002466,.9487603,-.326615,2.64e-23,1.33e-17,1.99e-11,.0312994,.1171396,.0009828,3,3,3,2,0,3
2,180,.0878637,.9871581,-.0489635,.0001167,6.947446,-1.178158,2.65e-19,1.92e-13,1.94e-12,.7797269,.0149225,.0219536,3,3,3,0,2,2
3,180,.2544415,-.103354,-.0288604,-.0001494,1.635876,-.0745678,2.63e-19,.0055376,.0000191,.5625612,.4417918,.7937043,3,3,3,0,0,0
