gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1722604,-.1792275,.0597867,-.000806,-.1235153,-.2263961,.0002506,.1251303,.0001813,.3048953,.899168,.0776802,3,0,3,0,0,1
2,10,.4254399,.2130239,-.0074186,-.0024158,-3.624413,.1966096,2.27e-14,.0685116,.5851531,.4863623,.0000409,.4423522,3,1,0,0,3,0
3,10,.2019538,-.0419029,.0315997,.0018335,.4515126,.1422043,4.46e-07,.323894,.0159952,.5389822,.6234322,.5499301,3,0,2,0,0,0
1,20,.1519163,-.1661376,.0498431,-.0007502,-.3615655,-.2141454,3.03e-07,.0613577,7.99e-06,.1695419,.5897675,.0102679,3,1,3,0,0,2
2,20,.3318622,.1640738,.0073111,-.0022197,-2.644392,.1240283,1.35e-17,.0609766,.4115885,.3749208,1.11e-06,.5255147,3,1,0,0,3,0
3,20,.1677309,-.0339411,.0478616,.0011791,.0544281,.0113124,3.51e-08,.3347855,4.74e-07,.5213814,.9122287,.9378141,3,0,3,0,0,0
1,30,.1473825,-.2344283,.0433441,-.0002297,.1955878,-.2520274,1.18e-08,.0062644,5.51e-06,.6067278,.7241722,.0002611,3,3,3,0,0,3
2,30,.2118827,.2476221,.010912,.0023498,-.8906711,-.3084133,3.87e-17,.0041582,.1053736,.2657193,.1151455,.0813584,3,3,0,0,0,1
3,30,.1556684,-.0103082,.0534473,.0019937,-.3286978,-.042866,1.38e-10,.7307985,5.73e-12,.181738,.3380955,.7181464,3,0,3,0,0,0
1,60,.0078023,-.3770349,.0653697,-.0003251,.2878587,-.1120037,.0385266,3.85e-09,2.63e-22,.2821962,.4281969,.0174633,2,3,3,0,0,2
2,60,.1717799,.3334007,-.0019073,.0020256,-.4544374,-.2841298,1.39e-16,2.41e-06,.7020652,.130318,.2537162,.0188339,3,3,0,0,0,2
3,60,.1038521,.0238786,.0487929,.0006166,.1304115,-.0368578,4.18e-15,.3080484,6.01e-19,.4380888,.5104739,.5588995,3,0,3,0,0,0
1,90,.0040837,-.5029901,.0642291,-.0004238,.0549752,-.0430578,.0739297,9.36e-20,3.16e-33,.0504631,.8341982,.1917136,1,3,3,1,0,0
2,90,.1413237,.3503926,-.0145319,.0031178,.2536181,-.2915699,6.52e-18,4.63e-07,.0004866,.0041024,.4448146,.0026516,3,3,3,3,0,3
3,90,.0873564,.0330777,.0403875,-.0000981,.2215763,.0022711,1.62e-15,.16043,1.71e-19,.8873967,.132242,.968549,3,0,3,0,0,0
1,120,.00008,-.5733412,.0611946,-.0003529,-.0062838,-.0294569,.9691198,4.30e-26,0,.0904906,.9758293,.3494807,0,3,3,1,0,0
2,120,.1064089,.4603749,-.0209243,.0033793,.5698756,-.2763165,4.02e-11,2.93e-08,1.15e-07,.0011343,.0758632,.0044633,3,3,3,3,1,3
3,120,.0681414,.0093426,.0380135,.0001839,.2716317,-.0222374,2.80e-12,.690556,1.13e-21,.7867341,.0233453,.7001288,3,0,3,0,2,0
1,150,-.0008832,-.6087095,.0583407,-.0003649,-.0147503,-.0101777,.6496771,1.50e-28,0,.0387345,.9300001,.6904401,0,3,3,2,0,0
2,150,.0528841,.7221901,-.0237838,.0025495,.7139903,-.2332156,.0009757,8.71e-13,8.77e-09,.0226404,.040012,.0231765,3,3,3,2,2,2
3,150,.0392068,-.0069695,.0414264,-.0002383,.2480196,-.0038875,2.13e-06,.7778911,6.91e-27,.6766182,.0148352,.9360161,3,0,3,0,2,0
1,180,-.0031011,-.5812048,.052536,-.0003022,.0994539,-.0073658,.1235933,6.84e-28,0,.038281,.4940823,.7166958,0,3,3,2,0,0
2,180,.0353679,.8742195,-.0275096,.0022573,.6974592,-.2053371,.0316181,3.44e-16,3.45e-09,.0212122,.0264349,.0247068,2,3,3,2,2,2
3,180,.0209574,-.0505847,.0436209,-.0003167,.2335173,-.0031242,.0032495,.0599819,1.21e-29,.4258301,.0105211,.9225596,3,1,3,0,2,0
