gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.038286,-.7553089,.0350421,.0008275,0,0,.8828143,.4843954,.600576,.6441898,,,0,0,0,0,0,0
2,10,-.0506818,-.2821277,.0226332,8.09e-06,-3710.474,-272.2375,.8037535,.4829539,.4346869,.9926792,2.56e-12,2.66e-15,0,0,0,0,3,3
3,10,.1317765,-.4333903,.0285216,-.0003936,-2001.653,0,.3006839,.18831,.1944644,.3542744,4.25e-16,,0,0,0,0,3,0
1,20,-.1351593,-.9988312,.0515328,.0004865,0,0,.7918988,.3955747,.4968461,.7772812,,,0,0,0,0,0,0
2,20,.030859,-.2576638,.0192314,-.000145,-2370.772,-168.2539,.9148097,.5292594,.4948507,.8466446,1.75e-06,1.54e-08,0,0,0,0,3,3
3,20,.2852599,-.3897848,.025906,-.0004249,-2143.827,0,.1657225,.200617,.1950792,.2948588,1.77e-14,,0,0,0,0,3,0
1,30,.3499812,-1.586251,.0935792,.0004912,0,0,.5087367,.2534688,.3070216,.7630604,,,0,0,0,0,0,0
2,30,-.4586183,-.2779696,.0175256,-.0004584,-508.7371,-36.76464,.3392172,.5364741,.5528647,.5315474,.2955889,.1922117,0,0,0,0,0,0
3,30,.4706901,-.2793737,.018635,-.0003968,-2187.933,0,.1932414,.3177299,.2933947,.2817792,2.18e-11,,0,0,0,0,3,0
1,60,-.0484112,-.9110523,.0499518,.0003676,0,0,.9361105,.7659469,.7630521,.7146592,,,0,0,0,0,0,0
2,60,-.7189587,.1500279,-.0094818,-.0001766,113.9586,6.19555,.4459234,.8078921,.7862397,.7328789,.7925629,.7580388,0,0,0,0,0,0
3,60,.9551189,-.3530789,.0218246,-.0002449,-1956.901,0,.1266055,.2087032,.2165762,.330845,4.13e-14,,0,0,0,0,3,0
1,90,-.2256775,-.6324479,.0333934,.0004337,0,0,.7053896,.763078,.7251588,.5462942,,,0,0,0,0,0,0
2,90,-.0935169,.2814487,-.0138607,.0000113,16.48705,11.97065,.9257462,.6585293,.660533,.9776973,.9558808,.3703011,0,0,0,0,0,0
3,90,.7327927,-.3826136,.0215963,-.0000748,-1285.25,0,.234532,.1924244,.1834992,.6468389,2.35e-11,,0,0,0,0,3,0
1,120,.9843378,-.9712342,.0443995,.0004784,0,0,.6378555,.6507972,.6122514,.542453,,,0,0,0,0,0,0
2,120,-.8170905,.6562675,-.0293307,.0001564,138.2599,12.34528,.2947975,.2042353,.2111073,.5718784,.4795198,.2037985,0,0,0,0,0,0
3,120,1.30614,-.468731,.0234326,-.0001114,-928.51,0,.002941,.0968548,.1116132,.3558088,4.82e-16,,3,1,0,0,3,0
1,150,-1.412856,-2.162773,.091209,.0000325,0,0,.5194381,.3518604,.2967162,.9694259,,,0,0,0,0,0,0
2,150,.289081,.7511669,-.0291336,.0001871,-164.4631,-8.484961,.7059234,.1859106,.1911316,.4424767,.4180323,.4357068,0,0,0,0,0,0
3,150,1.14208,-.5583276,.0249904,-.0000726,-411.9009,0,.0003588,.0230494,.0356719,.5017412,8.50e-15,,3,2,2,0,3,0
1,180,-1.360329,-1.485042,.0612636,.0000668,0,0,.3362344,.5456582,.471281,.9284102,,,0,0,0,0,0,0
2,180,.4657471,.3062204,-.0104786,.0001604,-293.9638,-19.05609,.5442721,.5531316,.580667,.4702477,.1895365,.0890791,0,0,0,0,0,1
3,180,.7732428,-.4815947,.0196456,-.0000644,22.53881,0,.0121663,.0789488,.1061702,.5393822,.4622987,,2,1,0,0,0,0
