gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0778477,-.3726897,-.0230431,-.0032821,-50.71037,4.776951,.0011304,.1377345,.4010554,.0984616,.0000116,.0081177,3,0,0,1,3,3
2,10,-.0162893,-.9385724,.060393,-.0099259,-.1794535,-.0838629,.4621906,.0012149,.0241559,.0009841,.7772564,.5321164,0,3,2,3,0,0
3,10,.0224334,-.5928974,.0865619,-.0024713,-2.174946,.4489052,.0473798,2.38e-09,1.10e-13,.0087726,1.03e-06,.0069563,2,3,3,3,3,3
1,20,.1580769,-.4156738,-.0873708,-.0006661,-43.48433,3.232868,.0033574,.1176839,.0060601,.8198373,.0000246,.0827135,3,0,3,0,3,1
2,20,-.000506,-1.036234,.0658413,-.0081548,-.7133529,.0691241,.9901521,.0090067,.0010114,.0050943,.1832274,.5670903,0,3,3,3,0,0
3,20,.0240418,-.4467325,.066912,-.0014008,-2.149889,.2295096,.0043291,1.22e-11,7.93e-15,.0207586,7.45e-13,.0379123,3,3,3,2,3,2
1,30,.1337008,-.105325,-.0917064,-.0031871,-37.20014,3.330611,.0004986,.78234,.0079161,.0529307,9.23e-06,.0158689,3,0,3,1,3,2
2,30,-.0041471,-1.236787,.0372638,.0021496,.6537675,-.2236366,.8828285,.0021006,.4408771,.7241938,.2961724,.1971668,0,3,0,0,0,0
3,30,.0494518,-.383108,.0409181,-.0014069,-1.946144,.1543708,5.69e-09,1.66e-13,2.39e-09,.0027675,1.04e-15,.0828075,3,3,3,3,3,1
1,60,.0574675,-.7752542,-.0120469,-.0012108,-20.22394,2.110649,1.06e-09,.1267748,.7112724,.3186896,2.31e-06,.0038313,3,0,0,0,3,3
2,60,-.0321392,-3.369278,.2459477,.007222,.051982,-.3105177,.6026775,.1808913,.1050887,.1867936,.9226732,.1098963,0,0,0,0,0,0
3,60,.0685858,-.2864945,.0135628,-.0011578,-1.636578,.0946119,2.34e-16,2.04e-13,.011827,.0030199,3.63e-17,.2172519,3,3,2,3,3,0
1,90,.029132,-.9839543,.012639,-.0010474,-14.13804,1.689166,8.13e-10,.0014116,.3997018,.145584,6.13e-07,.0006341,3,3,0,0,3,3
2,90,.0402318,-1.282165,.0388298,.0039417,-.0383094,-.1323998,.500079,.447307,.6211951,.2928939,.9119675,.2281978,0,0,0,0,0,0
3,90,.0781008,-.3140638,.0011527,-.0003383,-1.241707,.0051861,4.96e-27,5.31e-18,.7777519,.2233001,2.08e-18,.9257144,3,3,0,0,3,0
1,120,.018871,-.4444736,-.0078711,-.0006894,-11.454,1.449515,1.12e-07,.0822907,.4794929,.1726691,4.64e-08,.0001085,3,1,0,0,3,3
2,120,.0158241,-.0054641,-.0138335,.0001732,-.1390822,-.0194505,.8711639,.9924597,.8550043,.8901263,.2617949,.6252565,0,0,0,0,0,0
3,120,.071159,-.3358498,.0032471,.0001053,-1.195231,-.0104159,3.36e-27,3.53e-16,.382553,.7221467,3.65e-18,.864096,3,3,0,0,3,0
1,150,.025408,.1358963,-.0337945,-.0007844,-10.44083,1.36917,1.72e-10,.6412151,.0071028,.0931973,1.17e-07,.000075,3,0,3,1,3,3
2,150,.0566294,.4915449,-.0706918,-.0003897,-.2156846,.0087811,.6323333,.0563013,.5059071,.6006563,.0036345,.7507173,0,1,0,0,3,0
3,150,.0726668,-.3519515,.0011212,.0002941,-1.281043,.0058059,5.34e-28,1.72e-13,.7720951,.3827617,7.57e-19,.9331021,3,3,0,0,3,0
1,180,.0349546,.4698625,-.0482457,-.0005843,-6.813709,.7026475,1.77e-17,.0805791,.0000142,.1695357,9.41e-06,.0158476,3,1,3,0,3,2
2,180,.0542581,.2618523,-.0526536,-.000358,-.2902346,.023684,.064343,.4521597,.0156635,.6296887,3.28e-06,.3351089,1,0,2,0,3,0
3,180,.0701722,-.34136,.0002624,.0005444,-1.321258,-.0190191,4.81e-26,2.71e-09,.9498019,.1116225,1.54e-17,.7827614,3,3,0,0,3,0
