gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1257642,-.0285098,.0475155,-.003395,-1.326977,-.1370811,8.73e-08,.7543147,7.20e-08,.0000544,3.28e-07,.0313144,3,0,3,3,3,2
2,10,.2583381,.2812875,-.035104,-.0129926,-2.869106,.466648,1.78e-20,.0296175,.0010893,.0004258,3.64e-13,.0138489,3,2,3,3,3,2
3,10,.1116399,-.0781774,.033936,-.0017916,-.2664842,-.1330064,4.28e-07,.0375463,.0001236,.5277162,.1475219,.1264369,3,2,3,0,0,0
1,20,.0899864,-.1074995,.0481185,-.0021446,-.9487234,-.1529409,2.24e-11,.0899066,2.25e-15,.0004382,5.95e-11,.0001722,3,1,3,3,3,3
2,20,.211508,.2611123,-.0329226,-.0102853,-1.870835,.2551435,1.19e-37,.0011126,2.84e-06,8.37e-09,1.23e-15,.0054511,3,3,3,3,3,3
3,20,.0942436,-.0845052,.0262368,-.0016202,.045516,-.1134069,3.30e-08,.0030007,.0001519,.3476164,.716718,.0390075,3,3,3,0,0,2
1,30,.0637864,-.114465,.0467341,-.0010088,-.719759,-.1518241,3.88e-10,.0236551,5.82e-21,.0100109,2.55e-09,2.00e-06,3,2,3,2,3,3
2,30,.1923857,.2961675,-.0395367,-.008029,-1.251739,.1741372,0,.0000124,1.89e-10,1.61e-08,8.67e-13,.0195663,3,3,3,3,3,2
3,30,.1021371,-.0834136,.016588,-.0004039,.0677356,-.1159328,1.23e-10,.0040095,.0086628,.7707347,.5445861,.0084339,3,3,3,0,0,3
1,60,.0361736,-.1667952,.0441464,.0001261,-.4989074,-.1442101,1.77e-09,6.07e-06,8.89e-34,.4645364,4.01e-11,2.93e-11,3,3,3,0,3,3
2,60,.1742489,.2183077,-.0415942,-.0061528,-.7965915,.159343,6.29e-35,.0001027,7.86e-16,7.81e-07,3.32e-13,.0009724,3,3,3,3,3,3
3,60,.1219882,.0161033,-.0070773,.0007472,-.0868813,-.1303309,1.19e-21,.5246161,.1466737,.3839034,.2461236,3.68e-06,3,0,0,0,0,3
1,90,.0194912,-.0693413,.0361366,.0002454,-.384208,-.1173471,.0001362,.0331126,5.40e-33,.0492664,5.42e-11,1.07e-10,3,2,3,2,3,3
2,90,.1505392,.2680023,-.0403489,-.0056522,-.7128183,.1968486,7.31e-30,.000366,6.36e-12,2.73e-06,1.74e-14,.0000101,3,3,3,3,3,3
3,90,.115576,.0525845,-.0135664,.0010661,-.1124948,-.1123336,1.14e-26,.0624274,.0017035,.0944398,.033655,4.47e-08,3,1,3,1,2,3
1,120,.0117104,.0290961,.0293079,.0002956,-.3343836,-.1055263,.010986,.38532,2.89e-29,.0063175,5.29e-11,7.07e-11,2,0,3,3,3,3
2,120,.129127,.4944973,-.0503551,-.004636,-.3719462,.1719155,1.32e-22,1.19e-06,2.42e-14,.0002543,4.75e-07,.0000388,3,3,3,3,3,3
3,120,.1054862,.0405889,-.0114181,.0008709,-.1539282,-.0906404,1.90e-28,.1329625,.0018715,.0965783,.0005673,3.72e-08,3,0,3,1,3,3
1,150,.0013176,.1588893,.0235892,.0003369,-.2915621,-.0911574,.7532591,.0000186,3.40e-24,.0005888,3.70e-10,4.95e-10,0,3,3,3,3,3
2,150,.1037242,.7156315,-.0552349,-.0040197,-.1510606,.1307312,1.39e-14,2.42e-08,2.77e-13,.0010761,.038975,.0012895,3,3,3,3,2,3
3,150,.1075052,.0332995,-.0134637,.0010676,-.1841773,-.0806008,5.04e-30,.1448291,.000112,.0109399,2.71e-06,1.50e-09,3,0,3,2,3,3
1,180,-.0096739,.2754246,.0198405,.0003944,-.2514959,-.0785105,.0245962,7.32e-12,1.37e-21,.0000105,3.76e-09,2.41e-09,2,3,3,3,3,3
2,180,.1082712,.9166574,-.0654403,-.0037005,-.3027455,.1186841,1.15e-16,6.20e-12,4.80e-15,.0003862,.0000157,.0017056,3,3,3,3,3,3
3,180,.1036026,.022924,-.0144082,.0011191,-.1605342,-.0702169,1.73e-35,.2483166,4.64e-07,.0019171,6.91e-07,4.99e-10,3,0,3,3,3,3
