gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2948093,.1045028,.044292,6.93e-06,-.0272548,.1065918,4.69e-07,.2144033,.0038801,.9955288,.9862294,.6020702,3,0,3,0,0,0
2,10,.2721048,.039496,.0754771,.0081199,.4404584,-.4851489,.0001176,.7264261,.0071228,.1461017,.8056111,.2414413,3,0,3,0,0,0
3,10,-.1990972,-.0083918,-.0185295,.0158152,5.580352,-.5524514,.0200469,.8770176,.4724531,.0105709,.0000467,.0417388,2,0,0,2,3,2
1,20,.1428072,.1834715,.0325772,.0009993,2.23684,-.0769242,.0001265,.0094799,.0036863,.2655624,.0680887,.5916408,3,3,3,0,1,0
2,20,.2120176,.1267025,.0799187,.0045431,.2479307,-.3041992,2.77e-09,.1910072,4.44e-06,.1629488,.8125958,.1930793,3,0,3,0,0,0
3,20,-.2179373,-.0586943,.0088991,.0121884,5.290766,-.4290065,.000098,.20361,.5953584,.0022208,1.11e-08,.0131221,3,0,0,3,3,2
1,30,.1032685,.1961394,.0290333,.0007792,2.973602,-.1049907,.0003122,.0019681,.0013978,.2465948,.0020512,.3318644,3,3,3,0,3,0
2,30,.1613724,.2350003,.0883217,.0013168,-.3502067,-.1242272,2.25e-09,.0016165,9.28e-11,.5939102,.6496373,.4886244,3,3,3,0,0,0
3,30,-.2479671,-.1236978,.0432352,.0086702,4.550902,-.2992864,6.04e-09,.0059661,.0006028,.0023259,4.39e-11,.0159638,3,3,3,3,3,2
1,60,.0241867,-.0013371,.0627578,-.0004674,1.799827,.0109319,.1637064,.9746405,2.28e-22,.2570023,.00224,.8653352,0,0,3,0,3,0
2,60,.0896925,.4088735,.0825402,-.00187,-.8473319,.1224519,9.07e-10,1.35e-10,1.37e-18,.1865806,.0584269,.2360197,3,3,3,0,1,0
3,60,-.2575038,-.1802942,.0831289,.0053452,3.136103,-.1746283,1.11e-18,.0000145,1.47e-20,.0002555,6.53e-18,.0050365,3,3,3,3,3,3
1,90,.0030091,-.1133405,.0787641,-.0005564,.5694225,.0290229,.6670289,.0007163,0,.0532886,.1157904,.5066127,0,3,3,1,0,0
2,90,.0657367,.423806,.0727197,-.0016961,-.7895156,.1177879,5.12e-09,7.20e-12,3.11e-21,.1044308,.0233142,.1411076,3,3,3,0,2,0
3,90,-.2373502,-.1923966,.0908972,.0043767,2.323936,-.1477144,5.12e-28,2.80e-06,5.95e-33,.0000379,4.22e-20,.0011922,3,3,3,3,3,3
1,120,-.0040822,-.1850449,.081488,-.0006484,-.0041903,.0514697,.6070926,6.39e-08,0,.0041707,.9877355,.1302153,0,3,3,3,0,0
2,120,.0761754,.4515076,.0557168,-.0009355,-.6023915,.0701284,5.27e-16,2.63e-14,7.89e-20,.245637,.0221871,.2603329,3,3,3,0,2,0
3,120,-.2258669,-.1743288,.0904371,.0036117,1.822532,-.117773,1.65e-37,.0000164,0,.00001,1.66e-21,.0006566,3,3,3,3,3,3
1,150,-.0074312,-.226732,.0793449,-.0006018,-.2165847,.0514521,.3352126,2.98e-10,0,.0017907,.3335247,.071988,0,3,3,3,0,1
2,150,.0782604,.4863703,.0451297,-.0008313,-.5651509,.0754356,3.85e-16,5.96e-16,2.85e-18,.195359,.007329,.1297148,3,3,3,0,3,0
3,150,-.2216014,-.1667392,.0891155,.0028875,1.519297,-.0899521,0,7.68e-06,0,5.67e-06,5.09e-23,.0007689,3,3,3,3,3,3
1,180,-.0049347,-.2629402,.0755655,-.000608,-.3563874,.0588611,.4160333,2.16e-13,0,.0003773,.0660052,.0196328,0,3,3,3,1,2
2,180,.0776317,.5663953,.0356433,-.0005156,-.5644568,.0545636,1.29e-15,1.73e-19,3.51e-13,.3687695,.002283,.2213006,3,3,3,0,3,0
3,180,-.2125694,-.1242017,.0873223,.0022252,1.148965,-.0730591,0,.0006122,0,.000029,1.79e-20,.0010421,3,3,3,3,3,3
