gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2264441,-.3045946,.0458797,-.0006428,.8941604,.0279239,.0016856,.0005319,2.69e-06,.6394697,.1521684,.7187524,3,3,3,0,0,0
2,10,.1605017,-.4035852,.0620672,.0034592,2.929227,-.1647067,.0063053,.0089642,.0000149,.2026752,.0000244,.0642831,3,3,3,0,3,1
3,10,.3033593,.0043175,.099555,.0062023,-2.897667,-.0152156,.0060226,.9516616,3.73e-13,.1359864,.0000243,.9140455,3,0,3,0,3,0
1,20,.0131692,-.2949625,.0315661,.0002462,2.281197,-.0445824,.8099771,.0000711,.0000693,.816341,2.86e-06,.431245,0,3,3,0,3,0
2,20,.0747471,-.1829088,.0573535,.0040442,3.365375,-.1537489,.1319845,.2984019,4.59e-06,.0614239,1.90e-08,.0105948,0,0,3,1,3,2
3,20,.2161805,-.0770982,.0971524,.003559,-1.921138,.0238078,.006977,.2031446,9.00e-17,.2641028,.0001007,.81906,3,0,3,0,3,0
1,30,-.0474022,-.2818092,.0224932,.0020134,2.891065,-.1306812,.2860191,.0000514,.0029395,.0269108,2.26e-12,.0058207,0,3,3,2,3,3
2,30,.0220353,-.0528372,.0577609,.0039158,3.37877,-.1461819,.6063976,.7052289,1.02e-09,.020071,8.38e-10,.0011607,0,0,3,2,3,3
3,30,.1175526,-.1980536,.1143536,.0023065,-1.423872,.0407379,.0732703,.0008745,4.56e-25,.3510439,.000274,.6137829,1,3,3,0,3,0
1,60,-.0128057,-.518069,.0398327,.002594,2.577549,-.1537219,.5932851,2.39e-15,5.88e-12,.0000619,2.11e-18,6.07e-06,0,3,3,3,3,3
2,60,-.0185277,.273979,.0609222,.0026066,2.210133,-.1075218,.295138,.0007281,2.32e-25,.0017738,3.75e-16,4.33e-06,0,3,3,3,3,3
3,60,-.0992891,-.2381465,.1253664,.0034317,-.4048588,-.0337024,.0494127,8.79e-07,2.09e-38,.0389311,.0798536,.5009236,2,3,3,2,1,0
1,90,-.0516412,-.6170871,.0656854,.0008898,1.819335,-.0678206,.0219498,5.52e-14,3.14e-22,.2599207,1.40e-12,.0593666,2,3,3,0,3,1
2,90,.0021054,.3261403,.0680516,.0020033,1.144119,-.0909217,.8883675,.0000159,1.65e-33,.0019117,1.05e-10,2.20e-06,0,3,3,3,3,3
3,90,-.1768374,-.2731825,.1353553,.0035332,-.3278791,-.0495257,2.74e-06,3.21e-08,0,.0047058,.0504513,.1818067,3,3,3,3,1,0
1,120,-.0423777,-.699943,.0763193,.0006668,1.345946,-.0490922,.0039908,6.18e-14,2.02e-36,.3817597,9.58e-13,.150886,3,3,3,0,3,0
2,120,.0551775,.2718211,.0660232,.0019791,.5306796,-.082541,.0000357,.0003695,1.24e-32,.0001954,.0003325,9.20e-06,3,3,3,3,3,3
3,120,-.256575,-.2666279,.1386361,.0032413,-.2203304,-.0455194,8.57e-15,1.74e-07,0,.0015672,.0995714,.1444183,3,3,3,3,1,0
1,150,-.0407158,-.7616124,.0808377,.001477,1.088926,-.0779173,.0058202,1.21e-19,0,8.51e-06,2.50e-14,4.35e-06,3,3,3,3,3,3
2,150,.0637971,.2614349,.0617142,.0020476,.3925261,-.0889619,2.83e-11,.0001477,6.08e-34,1.34e-06,.0003958,4.33e-08,3,3,3,3,3,3
3,150,-.3577327,-.2589712,.1393345,.002134,.0976436,-.0205714,2.61e-28,1.17e-06,0,.0126803,.3458255,.4322207,3,3,3,2,0,0
1,180,-.0478615,-.6560752,.0767989,.001363,.8800924,-.0668091,.0015197,7.58e-15,0,5.13e-06,1.15e-12,.0000102,3,3,3,3,3,3
2,180,.0592434,.3581394,.054528,.0020331,.2769458,-.0907022,1.74e-13,4.50e-08,1.03e-30,3.87e-08,.0023517,3.88e-10,3,3,3,3,3,3
3,180,-.4012237,-.2118282,.1366152,.0015533,.1675642,-.016142,0,.0000484,0,.0192881,.034797,.4306463,3,3,3,2,2,0
