gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,-.081755,.1096179,-.0991803,.0035698,-10.63785,-.2588011,3.67e-06,.353181,4.21e-15,.0002034,.0000718,.4922258,3,0,3,3,3,0
2,10,-.1635108,-.1071039,-.1345787,.0044722,5.490908,-.3006535,.000061,.4337854,2.82e-08,.2179497,.1590786,.666074,3,0,3,0,0,0
3,10,-.0836863,.076767,-.1521909,-.0013991,2.705738,-.0201323,.0016997,.0683795,1.89e-17,.5771974,8.17e-09,.8245767,3,1,3,0,3,0
1,20,-.0464133,.0175493,-.0971421,.0037945,-12.95862,-.5176939,.0029656,.8689737,1.99e-18,.0000207,5.87e-08,.1347385,3,0,3,3,3,0
2,20,-.1042355,-.109775,-.1444893,.0022051,6.862742,-.4931721,1.19e-06,.3479325,3.60e-15,.3081363,.0007272,.1485541,3,0,3,0,3,0
3,20,.0173086,.0383459,-.1972467,.000303,2.172623,-.1141338,.4340458,.564905,6.55e-22,.9003541,5.66e-08,.1847241,0,0,3,0,3,0
1,30,-.0106,-.0596768,-.1002883,.0036313,-13.29118,-.6289162,.4181984,.5613741,1.06e-21,5.37e-06,2.49e-10,.0401164,0,0,3,3,3,2
2,30,-.0761896,-.1587785,-.1383286,.001978,6.845551,-.3129889,6.08e-06,.2445381,2.44e-18,.263842,.001036,.284516,3,0,3,0,3,0
3,30,.0399813,.0525562,-.207959,.0003574,2.1414,-.0954317,.0570324,.3117779,9.47e-29,.8493364,8.34e-08,.1618008,1,0,3,0,3,0
1,60,.0266222,-.2240769,-.1014546,.0018476,-9.236893,-.2332245,.0072135,.0105224,1.97e-28,.0007608,4.11e-10,.2656509,3,2,3,3,3,0
2,60,-.0318544,-.4318515,-.105675,.0019618,4.435997,-.5255712,.0000352,.0042653,4.65e-20,.4952904,.0000465,.0410656,3,3,3,0,3,2
3,60,.0470938,.0083639,-.1578868,-.0027027,.9255741,.043509,.0105389,.8637038,2.34e-22,.1089207,.001002,.4598195,2,0,3,0,3,0
1,90,.0186151,-.2036988,-.0940218,.0006754,-6.205254,.0671644,.0267959,.010459,5.88e-28,.16223,3.98e-08,.7000962,2,2,3,0,3,0
2,90,-.0414038,-.4923589,-.0753265,.0006291,2.385251,-.1444816,1.70e-10,.0033273,1.48e-20,.7244544,.0020361,.4508972,3,3,3,0,3,0
3,90,.0296152,.0394391,-.13956,.0001113,.9239025,-.0374903,.0027975,.2898134,0,.8843949,4.87e-12,.1811329,3,0,3,0,3,0
1,120,-.0004568,-.0734502,-.0899265,.0005719,-3.250332,.0454079,.948438,.412826,3.60e-26,.1365646,.0000414,.7299532,0,0,3,0,3,0
2,120,-.0506135,-.5800309,-.052949,.0009852,2.0779,-.1541635,2.56e-19,5.04e-07,5.22e-15,.1302724,.000035,.0799351,3,3,3,0,3,1
3,120,.0302098,.0790545,-.1270703,.0000528,.6577121,-.0212178,2.83e-06,.025699,0,.9349689,2.16e-10,.3624136,3,2,3,0,3,0
1,150,-.0073844,-.0187627,-.0826795,.0006793,-2.375443,-.038626,.2857965,.8463273,3.29e-23,.0466821,.0005083,.7369353,0,0,3,2,3,0
2,150,-.0497552,-.6541048,-.0418913,.00106,2.070704,-.1730142,1.44e-13,2.44e-08,2.09e-10,.0605329,.0003276,.1343931,3,3,3,1,3,0
3,150,.0347171,.0896297,-.1173863,.000276,.4257095,-.0172051,.0000553,.0364604,0,.7138093,.0001358,.5250505,3,2,3,0,3,0
1,180,.0043603,-.154944,-.0742439,.0006233,-2.433424,-.1026766,.5428601,.1543987,5.93e-20,.0695977,.0008546,.375574,0,0,3,1,3,0
2,180,-.0552862,-.7943462,-.0263936,.0011642,2.358216,-.2120532,3.33e-12,2.39e-09,.0007591,.1600045,.0059543,.274287,3,3,3,0,3,0
3,180,.0426114,.0724425,-.1120472,.0009009,.2652593,-.0312872,3.62e-06,.1113642,1.27e-37,.2281778,.0132351,.2493293,3,0,3,0,2,0
