gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0953124,-.0000133,.0952963,-.0015304,5.860116,.2155498,1.24e-06,.9999292,5.45e-08,.4413592,.0045903,.5134943,3,0,3,0,3,0
2,10,.076731,.3992808,.1888655,-.0024673,-4.165247,.1245157,2.15e-09,.0002862,2.94e-13,.4043885,.0028826,.5300438,3,3,3,0,3,0
3,10,.073608,-.0640019,.2126816,-.0017252,-5.203169,.2364275,.0003925,.1924159,1.52e-24,.5120975,1.07e-09,.0848007,3,0,3,0,3,1
1,20,.0536518,.1341127,.0878983,-.0017345,5.625677,.2735238,.0000433,.2156286,3.37e-13,.1898879,.0000334,.1805213,3,0,3,0,3,0
2,20,.0522817,.2354308,.1889637,-.0031363,-4.129757,.1484007,2.22e-06,.0117333,2.76e-17,.1548844,.0000279,.3241343,3,2,3,0,3,0
3,20,-.0122076,-.0926195,.2080799,-.0006473,-2.775921,.1960917,.4520809,.076586,3.35e-33,.7098895,1.10e-06,.0354014,0,1,3,0,3,2
1,30,.0131666,.1478985,.095455,-.001665,5.024714,.2489633,.2010914,.085594,8.44e-22,.1005123,2.45e-07,.1098427,0,1,3,0,3,0
2,30,.0319735,.2699175,.1666357,-.00331,-3.307673,.177856,.0023382,.000995,5.94e-19,.0603599,.0000808,.1189572,3,3,3,1,3,0
3,30,-.0538236,-.1168748,.2016506,-.0019452,-1.635157,.289685,.0001413,.0293035,8.18e-39,.1649285,.0006048,.0002551,3,2,3,0,3,3
1,60,.0014393,.1206718,.0932104,-.0012338,2.75608,.1507958,.8195272,.0413821,1.91e-36,.0321337,8.41e-07,.0909629,0,2,3,2,3,1
2,60,.031024,.2982035,.1247447,-.0022505,-2.34572,.0707743,1.53e-06,.0000863,1.29e-23,.0282937,1.95e-06,.3357773,3,3,3,2,3,0
3,60,-.0608247,-.1276316,.1697832,-.0017274,-.8925569,.2403864,2.75e-09,.0070477,0,.0587041,.0026731,8.21e-06,3,3,3,1,3,3
1,90,.0045614,.0835964,.0829725,-.0009052,1.850499,.1489128,.4514177,.0762772,0,.026334,7.80e-07,.021218,0,1,3,2,3,2
2,90,.0297528,.3940402,.0903306,-.0010132,-1.407169,-.0030243,1.01e-07,2.58e-07,8.42e-19,.2444673,.0008553,.9666855,3,3,3,0,3,0
3,90,-.0472208,-.1341833,.1455792,-.0014963,-.748881,.1890614,2.78e-11,.0053625,0,.0232164,.0006549,1.20e-06,3,3,3,2,3,3
1,120,.010825,.0392361,.0748366,-.0008881,1.151912,.14606,.0163535,.3651803,0,.0039402,8.15e-06,.0031279,2,0,3,3,3,3
2,120,.0361843,.4787495,.0599062,-.0004171,-.8939892,-.0292441,4.04e-17,7.92e-10,1.81e-13,.5087611,.005526,.5765512,3,3,3,0,3,0
3,120,-.0465349,-.1490131,.1269234,-.0011093,-.3747398,.148933,1.13e-15,.0025524,0,.0207909,.0251211,2.35e-07,3,3,3,2,2,3
1,150,.0137897,.0147759,.0675852,-.0006981,.6773458,.1125859,.000207,.7183665,0,.006962,.0016757,.0101037,3,0,3,3,3,2
2,150,.0367281,.5192825,.043559,-.0001131,-.6721632,-.0426106,2.83e-16,4.55e-09,3.81e-09,.8239763,.008771,.2718524,3,3,3,0,3,0
3,150,-.0476411,-.1421241,.1145549,-.0011854,-.1860009,.1286478,2.30e-19,.0014992,0,.0023684,.1795129,3.21e-08,3,3,3,3,0,3
1,180,.0119032,.0346536,.0616995,-.0006392,.3596459,.1121279,.0004577,.4046955,0,.0048679,.0597991,.0037672,3,0,3,3,1,3
2,180,.0393595,.6481367,.0260121,-6.07e-06,-.5845621,-.0313008,1.31e-14,2.96e-11,.0003296,.9891378,.0072686,.3283508,3,3,3,0,3,0
3,180,-.0499617,-.1604284,.1061197,-.0008282,.0086351,.0869067,2.38e-23,.0003392,0,.0133424,.9395666,9.51e-06,3,3,3,2,0,3
