gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2018309,-.2965634,.0177154,-.00793,-1.354196,.3074621,5.46e-18,.0036158,.042971,.00001,3.19e-15,.0006306,3,3,2,3,3,3
2,10,.109858,-.1846357,.0518626,-.0225434,-1.287593,.1170335,2.57e-07,.3149475,.0032253,.0062752,2.96e-09,.249589,3,0,3,3,3,0
3,10,-.0909856,-.1041042,.2169975,-.0194,-.8518944,.049753,.0000746,.0070946,3.09e-29,5.05e-07,1.97e-28,.1726584,3,3,3,3,3,0
1,20,.16272,-.2579395,.0186294,-.0067006,-.8535749,.1981383,2.68e-15,.0031859,.0197167,.0000123,7.09e-13,.0054717,3,3,2,3,3,3
2,20,.1058974,-.1105014,.024357,-.0220353,-.9778936,.1497389,6.31e-13,.4399282,.0540027,.0000445,6.96e-11,.0236509,3,0,1,3,3,2
3,20,-.066346,-.1318386,.1687418,-.014079,-.5432171,.0372581,.001203,.0002681,8.06e-26,1.33e-06,1.82e-23,.179041,3,3,3,3,3,0
1,30,.1662558,-.3240164,.0172541,-.0050355,-.7012612,.1529047,1.30e-18,.0001202,.0106795,.0001889,6.62e-11,.013621,3,3,2,3,3,2
2,30,.0844076,-.0091801,.0154006,-.0190282,-.7489721,.0937555,2.63e-10,.9442234,.1604227,.0001024,1.19e-09,.2194089,3,0,0,3,3,0
3,30,-.0525556,-.1353747,.1410014,-.0117404,-.3816677,.0396618,.0026254,.0001245,2.97e-25,1.96e-06,4.16e-20,.0944395,3,3,3,3,3,1
1,60,.1838557,-.1510718,-.0090613,-.0046315,-.3903498,.146357,1.29e-22,.0515638,.1067124,.0000232,8.92e-07,.0020902,3,1,0,3,3,3
2,60,.0788232,.0385906,-.0119007,-.0143043,-.434994,.1298616,8.37e-11,.659488,.1523735,1.40e-08,7.35e-14,2.26e-06,3,0,0,3,3,3
3,60,-.0278393,-.1259239,.0972844,-.0074711,-.1982655,.0254043,.0200929,.0015765,2.10e-21,.000028,1.21e-12,.1154345,2,3,3,3,3,0
1,90,.1898747,.0716348,-.0300121,-.0038443,-.2479997,.1247389,3.91e-26,.3235153,1.28e-08,.0000266,.0001713,.0010331,3,0,3,3,3,3
2,90,.05904,.1342789,-.0144337,-.0124725,-.3217227,.1201532,5.03e-09,.0975719,.0662774,1.69e-10,8.30e-17,4.73e-08,3,1,1,3,3,3
3,90,-.0081423,-.0615813,.0659922,-.0057839,-.1281174,.0206829,.3640704,.1496814,1.18e-16,.0000545,3.27e-10,.1054627,0,0,3,3,3,0
1,120,.168808,.2978836,-.03739,-.0035274,-.1689152,.1033803,2.82e-28,.0002878,7.43e-14,.0000118,.0032687,.0014921,3,3,3,3,3,3
2,120,.0193704,.3117761,-.0041047,-.0122714,-.2430226,.104906,.0651747,.0008987,.5965726,5.11e-14,1.23e-14,1.54e-08,1,3,0,3,3,3
3,120,-.0067415,-.0444424,.0534723,-.004719,-.0833506,.0175299,.4011973,.3541059,2.40e-15,.0001348,6.29e-07,.1108835,0,0,3,3,3,0
1,150,.1454838,.5732276,-.0432445,-.0033839,-.1306043,.1004046,6.34e-28,3.41e-10,1.79e-19,2.80e-06,.0053131,.0003981,3,3,3,3,3,3
2,150,-.0145692,.4857311,.0065876,-.0109944,-.2166271,.0885165,.1265637,6.71e-06,.38433,4.82e-18,1.18e-14,8.24e-09,0,3,0,3,3,3
3,150,.0043391,-.0077231,.0386539,-.0038319,-.0587118,.0120913,.5845669,.8761367,1.22e-10,.0002766,.000037,.2051778,0,0,3,3,3,0
1,180,.1055647,.816671,-.0400671,-.0028101,-.0989091,.0794001,1.00e-18,1.40e-15,1.32e-20,.0000186,.0144648,.0019807,3,3,3,3,2,3
2,180,-.0169586,.5100157,.0039411,-.0099523,-.1743668,.0794082,.1519199,.0000119,.6381956,2.27e-19,1.82e-11,1.10e-08,0,3,0,3,3,3
3,180,.0099227,-.0016936,.0298344,-.0031125,-.0366132,.0090753,.2341034,.9723298,9.57e-08,.0006767,.0040055,.2798506,0,0,3,3,3,0
