gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.091219,.022353,.0436599,-.0001477,-15.60305,.9917007,.036327,.5551966,6.18e-07,.7148603,.1836707,.5007037,2,0,3,0,0,0
2,10,.1483498,.2576373,.0043618,.0004778,62.55498,-7.826844,.0009411,.0013049,.7691634,.7464378,.4249504,.5736193,3,3,0,0,0,0
3,10,.2249477,.0628862,.0369311,-.0001825,-27.16112,-1.218869,2.03e-09,.0178392,.0000171,.8489496,.2248198,.8259446,3,2,3,0,0,0
1,20,.1080865,.0718193,.0351467,-.000019,-7.757368,.2736863,.0042383,.0622408,2.96e-06,.9561843,.3491497,.8105828,3,1,3,0,0,0
2,20,.1313276,.3154985,-.0026769,.0002846,42.7195,-5.857879,.0008883,.0000128,.8236876,.8009012,.4039691,.5198449,3,3,0,0,0,0
3,20,.2445123,.120201,.0211599,.0002559,-6.828613,-2.468567,1.58e-13,.0000537,.0052884,.7240272,.6826361,.5158009,3,3,3,0,0,0
1,30,.1222197,.0825821,.0284909,-1.88e-06,-1.412645,-.22264,.0000147,.0263215,1.14e-07,.9946027,.7709744,.7810107,3,2,3,0,0,0
2,30,.130905,.334015,-.010759,-.0000511,40.65554,-1.837918,.000021,2.49e-07,.2547113,.949311,.1401879,.706074,3,3,0,0,0,0
3,30,.2241718,.1529621,.016325,.0000754,4.531959,-2.125493,3.88e-17,6.42e-07,.0095716,.8861718,.722176,.4254919,3,3,3,0,0,0
1,60,.0610623,.1989339,.0238658,-.0002439,1.676082,-.0078594,.000764,1.62e-08,2.72e-10,.069826,.287444,.9859446,3,3,3,1,0,0
2,60,.1526485,.2473638,-.0109148,.0000235,24.06995,-2.055404,1.81e-13,.0016759,.2236591,.9652919,.1617787,.5071536,3,3,0,0,0,0
3,60,.2290246,.1340219,.0052264,-.0001147,4.600905,-.4615767,6.23e-33,1.10e-08,.187263,.688981,.5250237,.7606718,3,3,0,0,0,0
1,90,.0816659,.1220533,.0189984,-.0001665,-.3183749,-.109181,2.41e-07,.0107119,1.68e-08,.0488005,.7936784,.6750343,3,2,3,2,0,0
2,90,.1197456,.3353925,-.0100341,.0007115,-20.92423,-5.167047,6.31e-12,.0009786,.3256879,.0715932,.2002598,.0213156,3,3,0,1,0,2
3,90,.2182731,.1296024,-.0012215,.0000353,9.045062,-1.059497,0,3.41e-08,.726527,.8832829,.1646654,.4346204,3,3,0,0,0,0
1,120,.0693971,.1568678,.0141918,-.0001645,-.3904322,.0074227,2.38e-10,.0008652,.0001702,.0062741,.627444,.9695909,3,3,3,3,0,0
2,120,.113092,.3053445,-.011595,.0002822,-.2571729,-2.627473,3.32e-10,.0141316,.2771941,.2993411,.9849039,.0998373,3,2,0,0,0,1
3,120,.1991648,.1333761,-.003668,.0000343,10.7218,-1.11918,9.77e-39,1.25e-07,.3156131,.8831984,.082517,.3814656,3,3,0,0,1,0
1,150,.0539667,.2016031,.0107754,-.000152,-.4502608,.0298228,3.21e-09,2.33e-20,4.63e-08,.0010003,.4217458,.8414854,3,3,3,3,0,0
2,150,.1082906,.3424825,-.0176586,-.0001223,7.68935,.4875498,1.31e-09,.0083311,.0816225,.5911728,.4890521,.7198625,3,3,1,0,0,0
3,150,.1821002,.1423754,-.0050292,.0001154,11.76411,-1.874032,9.06e-37,8.63e-08,.1624362,.5757709,.0259443,.0868505,3,3,0,0,2,1
1,180,.0450215,.2037681,.0103431,-.0001185,-.9053,-.0244614,1.05e-08,4.26e-22,7.23e-09,.0006499,.1517756,.8146042,3,3,3,3,0,0
2,180,.0874084,.3335561,-.0138536,-.0003261,22.61458,1.394045,8.46e-07,.0220223,.1920094,.1288109,.0122147,.2566603,3,2,0,0,2,0
3,180,.1707467,.1791187,-.0089914,.0001033,15.36112,-1.833383,1.87e-28,2.15e-08,.0424439,.6353473,.0057632,.1178468,3,3,2,0,3,0
