gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.268821,.1692421,.0176834,.0017024,-.8899528,-.1162257,1.58e-07,1.22e-06,.0408203,.1849,7.84e-06,.0269746,3,3,2,0,3,2
2,10,.3262895,.2253911,.0308308,-.0087317,-2.126888,.1985795,1.21e-14,.0002124,.0286131,.0347077,8.06e-11,.0467778,3,3,2,2,3,2
3,10,.2518923,.1780826,.0350002,-.0007404,-.5283744,-.0253773,1.37e-08,7.40e-08,.0014761,.8213378,.0552635,.7569115,3,3,3,0,1,0
1,20,.3148603,.1043463,.0002201,.0004005,-.6402174,-.0578564,1.65e-19,.0014215,.9695134,.6256188,3.35e-07,.0868665,3,3,0,0,3,1
2,20,.3205916,.1932538,.0100116,-.0097106,-1.794364,.197262,3.26e-23,.0007111,.3629541,.0008988,3.55e-17,.0037844,3,3,0,3,3,3
3,20,.2601565,.2011995,.0333445,.0022222,-.7337087,-.0962358,1.77e-14,9.15e-11,.0000403,.315736,.0000953,.0890888,3,3,3,0,3,1
1,30,.2931629,.0644823,-.0035097,.0002005,-.3349827,-.0424162,2.09e-25,.0304588,.4448249,.735861,.0001745,.0778752,3,2,0,0,3,1
2,30,.2502577,.2883009,.0038584,-.0095827,-1.514876,.1804549,3.51e-22,8.89e-07,.6977149,.0001067,1.79e-16,.0020263,3,3,0,3,3,3
3,30,.2795111,.1761754,.0158226,.0001384,-.5000157,-.0451683,5.72e-22,8.30e-09,.0252248,.9365024,.0022682,.3123023,3,3,2,0,3,0
1,60,.0178766,.1794399,.0205511,-.0006871,.0141051,-.0010991,.0105489,2.09e-07,1.48e-12,.0329104,.7912263,.9366641,2,3,3,2,0,0
2,60,.1707188,.6086053,-.0427149,-.009143,-.9306639,.1385047,2.32e-17,1.77e-13,6.69e-06,2.52e-09,2.48e-13,.000052,3,3,3,3,3,3
3,60,.2954708,.2165284,-.0119493,.0023502,-.3395523,-.0933478,1.07e-38,7.25e-12,.0268785,.0211508,.0002175,.0006101,3,3,2,2,3,3
1,90,.013474,.1440335,.0151066,-.0007464,.0508561,.0005602,.0093393,.0091356,2.22e-06,.0001646,.2353568,.9430347,3,3,3,3,0,0
2,90,.2223532,.8448133,-.1079443,-.0025208,-.4349577,.0209654,6.43e-27,2.68e-19,2.57e-21,.012138,1.61e-08,.3810433,3,3,3,2,3,0
3,90,.2983826,.1989392,-.0287457,.0021329,-.1616156,-.0863388,0,2.24e-11,2.61e-08,.0053611,.0133471,.0000513,3,3,3,3,2,3
1,120,.0072865,.2250279,.0082075,-.0006594,-.0134765,.0062703,.0079449,.000264,.0188798,.0000169,.7062289,.2892808,3,3,2,3,0,0
2,120,.2231739,.7911252,-.105913,-.002375,-.3475161,.0316887,2.46e-15,3.99e-14,3.46e-20,.0042284,9.13e-08,.0944248,3,3,3,3,3,1
3,120,.2782017,.1847922,-.0341306,.0013635,-.0406888,-.0633194,6.37e-37,9.30e-10,2.13e-09,.0524951,.4651378,.0012135,3,3,3,1,0,3
1,150,.0052598,.3077146,.0017916,-.0006449,-.0545468,.0119518,.0058949,3.47e-34,.1405201,9.26e-08,.018521,.0058575,3,3,0,3,2,3
2,150,.0882622,.9738767,-.0777496,-.0042485,-.3707161,.0587822,.0247023,6.84e-17,5.59e-11,7.19e-07,1.07e-10,.0015084,2,3,3,3,3,3
3,150,.261556,.1763462,-.033643,.0003553,-.0513918,-.0327319,9.22e-36,1.06e-08,1.18e-09,.5641641,.3308511,.0519944,3,3,3,0,0,1
1,180,.0042489,.3108383,.0002753,-.0006032,-.0575088,.0130166,.0064315,1.64e-37,.7932063,2.96e-08,.0048693,.0010008,3,3,0,3,3,3
2,180,-.0377777,1.032769,-.0413536,-.0043115,-.3344132,.0536482,.2285745,4.47e-21,.0001357,4.87e-08,1.16e-10,.0018902,0,3,3,3,3,3
3,180,.2542839,.1942553,-.0376898,.0008336,-.0368806,-.0385941,4.06e-30,3.20e-08,4.06e-09,.1205865,.4077676,.0088154,3,3,3,0,0,3
