gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0967273,.0215258,.0385935,-.0005774,6.210823,-.7411658,4.76e-09,.394112,9.03e-13,.1460658,.0928898,.2633149,3,0,3,0,1,0
2,10,.1203963,.057144,.04587,-.0017285,-49.76501,16.82343,2.28e-07,.3836688,.0000364,.2732842,.0036035,.0044001,3,0,3,0,3,3
3,10,.0204947,.0982124,.0631947,-.0000178,-25.73877,-.5939583,.2346377,.0004093,4.55e-12,.9859813,.0598343,.8430204,0,3,3,0,1,0
1,20,.0830704,.0197016,.0348937,-.0003323,2.626527,-.4134159,2.11e-11,.4287041,1.73e-14,.3423124,.1925417,.3634868,3,0,3,0,0,0
2,20,.0620129,.0699912,.0486389,-.0005709,-18.23114,6.639707,.0000702,.2130238,2.10e-09,.4948069,.0262884,.0178461,3,0,3,0,2,2
3,20,.043849,.0401995,.0533146,.0001476,-29.09048,1.805773,.0005814,.0653103,1.13e-13,.7615554,.008585,.194835,3,1,3,0,3,0
1,30,.0646051,.0258109,.0353393,-.0001854,1.605711,-.5739125,1.89e-09,.2855005,3.29e-17,.556613,.4039204,.1546933,3,0,3,0,0,0
2,30,.0482863,.118045,.0439246,-.0012958,-22.13317,7.446188,.000053,.0511269,2.90e-10,.0557135,.0009196,.0013801,3,1,3,1,3,3
3,30,.063771,.034483,.0392268,-.0000815,-22.44679,1.981833,2.85e-08,.128127,8.27e-11,.8256299,.0073446,.0314146,3,0,3,0,3,2
1,60,.0367815,.0418559,.0341886,-.0001618,1.009816,-.2792655,1.16e-07,.0628903,2.62e-24,.4210591,.2872921,.2745983,3,1,3,0,0,0
2,60,.0714027,-.0019977,.0324346,-.0003879,-12.45338,3.948485,5.98e-15,.9729096,2.27e-07,.3580236,.0023852,.0045763,3,0,3,0,3,3
3,60,.112536,.0379952,.0098689,-.0000772,-11.48176,1.424371,5.58e-26,.0602126,.0215122,.7274824,.0213176,.012213,3,1,2,0,2,2
1,90,.0279912,.0333138,.031121,-.0000989,.9007903,-.3756106,3.00e-09,.0058548,6.67e-35,.4760728,.1846399,.055098,3,3,3,0,0,1
2,90,.0775427,.0784226,.0094596,-.0002468,-1.476084,1.882798,6.17e-26,.1526812,.077456,.4762191,.6759436,.1130168,3,0,1,0,0,0
3,90,.1105958,.0908782,-.0015218,-.0002025,-4.584466,1.178635,1.27e-31,1.80e-06,.6852252,.2239973,.0921283,.0005916,3,3,0,0,1,3
1,120,.0165414,.0401451,.0302159,.0000198,.4184299,-.3750475,8.03e-07,.0103244,1.50e-36,.8381345,.3885917,.0080845,3,2,3,0,0,3
2,120,.092205,.0219812,.0014689,-.0001651,1.076613,.6268471,4.79e-30,.6892947,.7505328,.5494981,.6871801,.4904596,3,0,0,0,0,0
3,120,.1108261,.1372882,-.0091747,-.0002819,-5.081335,1.024153,1.54e-34,4.04e-10,.0123196,.0647079,.0559117,.0010656,3,3,2,1,1,3
1,150,.0120695,.0545051,.0278294,.0001255,.0381388,-.3677902,.0000114,5.19e-06,0,.0843511,.9215324,.0007284,3,3,3,1,0,3
2,150,.1049227,.0533453,-.0126545,-.0003234,.9276685,.3530736,3.79e-37,.2756522,.0026959,.1292168,.624096,.5894507,3,0,3,0,0,0
3,150,.1208184,.191703,-.0209245,-.0002266,-3.034266,.8783794,6.99e-37,5.90e-14,3.53e-07,.078117,.2043345,.0014176,3,3,3,1,0,3
1,180,.012067,.0457078,.0262674,.0002077,-.1767676,-.3911427,.0000132,.000121,2.93e-38,.0021234,.636072,.0000336,3,3,3,3,0,3
2,180,.1072551,.1461943,-.0250086,.0003298,2.935802,-1.027209,0,.0054137,1.93e-08,.061791,.1064034,.0987952,3,3,3,1,0,1
3,180,.1300342,.2384079,-.030328,-.0000926,-2.116936,.5131864,6.70e-39,1.53e-16,1.45e-11,.378088,.2916136,.0216268,3,3,3,0,0,2
