gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0454745,.1640808,-.0028707,-.0009927,.7707241,-.1623579,.0000627,1.11e-07,.6337586,.1853234,.006168,.0006402,3,3,0,0,3,3
2,10,.3415311,.1670757,-.0798854,-.0038862,-2.672765,.1677315,3.32e-11,.0258296,4.98e-06,.2700922,1.99e-09,.1930822,3,2,3,0,3,0
3,10,.0274051,.0430592,.0217858,-.0007437,.275585,-.1966439,.3179332,.0595954,.0304162,.669086,.1984391,.0002346,0,1,2,0,0,3
1,20,.0499122,.1813277,-.0060824,-.0007413,.4225476,-.1088651,6.18e-08,3.84e-12,.1764566,.0888226,.013587,.0002137,3,3,0,1,2,3
2,20,.2865852,.0878186,-.0821953,-.0013923,-1.636151,.1436339,2.66e-20,.2999281,2.42e-10,.5416109,1.11e-11,.1240163,3,0,3,0,3,0
3,20,.0594133,.0139522,.006987,-.0036645,.1902504,-.0971808,.0068355,.5685553,.2803452,.0037362,.2865748,.012278,3,0,0,3,0,2
1,30,.0581636,.1616529,-.0110864,-.0004921,.2814523,-.0829893,1.59e-08,.0001304,.0254984,.1805916,.0711187,.002274,3,3,2,0,1,3
2,30,.2751747,.0736285,-.0808251,-.0036406,-1.382947,.1887317,2.21e-18,.3312167,8.70e-10,.0389433,3.62e-10,.0061443,3,0,3,2,3,3
3,30,.1005583,-.0123996,-.0054704,-.003381,-.0219715,-.0742995,3.82e-08,.6260372,.2685657,.0003114,.8736182,.0089602,3,0,0,3,0,3
1,60,.0562207,.2874879,-.0192549,-.000899,-.0041743,-.0286793,1.17e-11,5.80e-22,3.00e-07,.0081868,.9706448,.1569605,3,3,3,3,0,0
2,60,.1992484,.1148975,-.0723814,-.0012506,-.5386561,.010537,1.42e-26,.1926735,6.40e-13,.1528831,3.80e-08,.7792153,3,0,3,0,3,0
3,60,.1659622,-.1561532,-.0230826,-.0012104,-.165873,-.0617823,7.99e-22,6.67e-10,1.32e-06,.054881,.0364451,.0002322,3,3,3,1,2,3
1,90,.0546923,.1868931,-.0182841,-.0004737,.0906772,-.0425573,1.34e-12,.0250242,.0001152,.1064863,.427729,.0488322,3,2,3,0,0,2
2,90,.1778038,.2863178,-.0892719,-.0004807,-.2872995,.0037103,1.87e-33,.0041456,3.48e-17,.4131231,5.01e-06,.8676179,3,3,3,0,3,0
3,90,.2032259,-.2787244,-.0317318,-.0004437,-.2262088,-.0402789,1.93e-36,5.84e-28,5.40e-13,.3021102,8.08e-06,.0003209,3,3,3,0,3,3
1,120,.0483499,.2670287,-.0227932,-.0004617,.020721,-.0228631,5.91e-15,.0012681,.0005353,.0668459,.8028889,.1672856,3,3,3,1,0,0
2,120,.1787249,.2371365,-.0912956,.0014803,-.1460454,-.0135313,2.31e-27,.0259308,1.42e-18,.0169102,.0208387,.5815682,3,2,3,2,2,0
3,120,.1801966,-.2745686,-.026693,-.0005981,-.1918688,-.0118777,3.80e-36,3.11e-25,6.27e-11,.061391,.0000111,.1228363,3,3,3,1,3,0
1,150,.0486992,.3611799,-.03004,-.0004733,-.0579816,-.0062407,9.80e-18,7.60e-35,9.19e-19,.0371692,.3569607,.6269373,3,3,3,2,0,0
2,150,.1552004,.3595347,-.0883332,.0003931,-.3841168,.0599085,1.19e-13,.003992,1.54e-16,.5708849,1.36e-06,.0838118,3,3,3,0,3,1
3,150,.1793834,-.2460571,-.0320503,-.0006051,-.1621472,.0024236,0,2.52e-25,5.61e-18,.0268573,3.99e-07,.7168666,3,3,3,2,3,0
1,180,.0473585,.3508487,-.0285606,-.0004149,-.1111271,-.000806,4.20e-17,2.92e-32,2.92e-16,.0557367,.0595156,.9466701,3,3,3,1,1,0
2,180,.1095499,.4962278,-.0785075,-.0003249,-.3485534,.0855571,2.58e-06,.0000596,1.19e-12,.6960208,6.90e-06,.039639,3,3,3,0,3,2
3,180,.1595913,-.2138686,-.0287113,-.0005705,-.154984,-.0006719,0,7.56e-21,7.18e-15,.0272568,3.04e-06,.9145631,3,3,3,2,3,0
