gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1865108,.1185464,.0115179,.0002957,-.0223974,-.0501477,3.32e-19,.0002619,.0159329,.8274328,.9077664,.4059898,3,3,2,0,0,0
2,10,.1980293,.2257813,.0099014,.0060789,-4.533362,.4690621,.0012726,.0004613,.5224062,.4558845,8.93e-09,.4123056,3,3,0,0,3,0
3,10,.1465459,.0959293,.0411016,-.0003883,-.8334649,.028631,1.71e-13,.000044,6.37e-09,.8621029,.0001221,.7469668,3,3,3,0,3,0
1,20,.1236155,.079567,.0233811,.0015544,.0760059,-.1068802,3.45e-22,.0103248,1.71e-11,.0637639,.5036213,.0038945,3,2,3,1,0,3
2,20,.1846965,.1175847,-.0028772,.0097415,-2.57912,.0950593,.0002777,.0261977,.8103582,.0828924,1.61e-06,.8122743,3,2,0,1,3,0
3,20,.1423341,.1310754,.0283775,-.0010852,-.4789026,.0366998,4.33e-19,1.49e-06,6.66e-08,.4917197,.0024623,.5478731,3,3,3,0,3,0
1,30,.0885258,.063349,.0294044,.0011567,.0576024,-.0907934,6.79e-22,.0240833,1.43e-21,.0587567,.4748931,.0005839,3,2,3,1,0,3
2,30,.124196,.1129794,-.0009284,.0089239,-1.598721,.2206542,.0014446,.0413519,.9217786,.0401342,.0001845,.4836296,3,2,0,2,3,0
3,30,.1384212,.1591128,.0176338,-.00098,-.2346677,.0254635,3.63e-23,4.26e-09,.0000517,.3833329,.0448472,.5546411,3,3,3,0,2,0
1,60,.0475813,.1243828,.0260029,.0007799,-.0067893,-.0587991,2.55e-17,.0000109,9.01e-28,.0294359,.8851248,.0002844,3,3,3,2,0,3
2,60,.0242188,.4260682,-.0196499,.008555,-1.013709,.1139548,.3980641,8.20e-09,.0303634,.0088694,.0020209,.6329815,0,3,2,3,3,0
3,60,.1253899,.1993645,.0012924,.0001681,.0419203,-.0012344,3.56e-27,3.08e-12,.7211439,.8120301,.6031074,.9636534,3,3,0,0,0,0
1,90,.0406125,.088541,.0223126,.0008402,-.0188817,-.054253,2.42e-19,.0168511,4.25e-16,.0041601,.5909908,.0001206,3,2,3,3,0,3
2,90,-.034858,.4709237,-.0152905,.0063845,-.4296692,.1268835,.1815032,8.87e-08,.0597563,.0152482,.0753352,.5061442,0,3,1,2,1,0
3,90,.1179781,.1671496,-.002564,.0005766,.0953685,-.0244909,4.88e-32,1.69e-10,.4319245,.2232301,.0843597,.1493325,3,3,0,0,1,0
1,120,.0373633,.1236723,.0160159,.0008724,-.039861,-.042563,1.55e-18,3.36e-06,2.18e-11,.0002657,.1561863,.0000334,3,3,3,3,0,3
2,120,-.1263685,.4868358,.0068446,.0029782,-.0427895,.1814781,.0000765,1.63e-08,.2336366,.1696812,.8300335,.2328338,3,3,0,0,0,0
3,120,.1086553,.1593089,-.0035952,.0002469,.0646275,-.010763,6.02e-33,8.42e-11,.2253,.5116026,.1607219,.4403368,3,3,0,0,0,0
1,150,.0425197,.122704,.0124383,.000936,-.0748626,-.037733,1.83e-23,3.28e-11,1.21e-13,5.41e-06,.0025333,.0000231,3,3,3,3,3,3
2,150,-.2208098,.5542886,.0270694,.0017522,.2126343,.0937559,6.48e-17,9.01e-14,.0000411,.3203416,.1408514,.399443,3,3,3,0,0,0
3,150,.1140587,.1879623,-.0102763,.000477,.0707989,-.0149947,3.02e-36,1.63e-10,.0038161,.1139783,.1332282,.1868374,3,3,3,0,0,0
1,180,.0535198,.1345197,.0078459,.0007996,-.1192095,-.0281028,9.88e-31,1.57e-15,2.53e-08,2.49e-06,1.72e-07,.0001125,3,3,3,3,3,3
2,180,-.237824,.5114759,.039394,.0005844,.0762003,.0944748,1.75e-16,5.12e-16,1.93e-06,.6595558,.4529682,.2667794,3,3,3,0,0,0
3,180,.1176469,.2171248,-.0155368,.000259,.0133917,-.002787,0,3.56e-15,6.81e-07,.2838452,.699313,.7571984,3,3,3,0,0,0
