gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1134951,.1315668,.0441754,-.0002138,-1.343278,-.3664416,.0000101,.0002358,5.83e-14,.7847911,.0008137,.0001858,3,3,3,0,3,3
2,10,.1550045,.3744864,-.0682566,-.0002109,-1.774675,-.2400129,2.21e-17,.0037542,8.13e-06,.9129594,5.24e-08,.0036508,3,3,3,0,3,3
3,10,.1755329,.0759462,.0262174,.0002086,-2.898436,-.0033284,1.09e-20,9.25e-06,.0000784,.8454752,.0000369,.9859759,3,3,3,0,3,0
1,20,.122295,.0663242,.0307632,-.0003001,-.7059786,-.2142571,1.46e-08,.0932793,2.87e-10,.6009877,.0068202,.0009398,3,1,3,0,3,3
2,20,.13563,.3590404,-.065459,-.0015587,-1.212469,-.117281,1.58e-18,.0028814,4.34e-07,.2709567,1.33e-08,.0081537,3,3,3,0,3,3
3,20,.1470662,.0463235,.0289514,.0001122,-2.628358,-.0373649,5.26e-25,.0060228,1.25e-08,.8882015,3.47e-06,.8000209,3,3,3,0,3,0
1,30,.1466013,.000844,.0223828,-.0005175,-.4917212,-.1387736,4.41e-14,.9806342,6.94e-08,.2923857,.0105074,.0048947,3,0,3,0,2,3
2,30,.1189989,.3094397,-.0560555,-.00235,-.9384673,-.1077444,2.56e-16,.0094541,1.62e-06,.0378289,2.43e-08,.0039161,3,3,3,2,3,3
3,30,.1360396,.0436712,.0264081,.0000932,-2.333718,-.0917571,5.87e-26,.0159435,7.01e-09,.8898467,5.94e-07,.4680109,3,2,3,0,3,0
1,60,.0594383,.0886128,.0284414,-.0004138,-.3204418,-.0744715,3.52e-07,.0111201,3.78e-18,.1951979,.0037508,.0155271,3,2,3,0,3,2
2,60,.072364,.5417303,-.0658949,-.001315,-.5458319,-.0766976,1.04e-08,.0001849,3.37e-06,.1905472,1.44e-07,.0184839,3,3,3,0,3,2
3,60,.1090105,.0334067,.0240359,-.0001607,-2.095191,-.086284,4.61e-24,.0411537,2.80e-10,.7598351,4.03e-08,.3812153,3,2,3,0,3,0
1,90,.0090181,.1322221,.0285777,-.0003187,-.2552149,-.0475016,.3105273,.0028233,3.11e-19,.2130395,.0006444,.0315887,0,3,3,0,3,2
2,90,.0621955,.4870269,-.0529236,-.0016786,-.4768525,-.0519028,3.76e-07,.0021214,.000562,.1015673,3.29e-06,.1661614,3,3,3,0,3,0
3,90,.0956391,.0139451,.0203899,8.08e-06,-1.806591,-.1010356,5.70e-25,.4073489,1.08e-09,.9852418,1.52e-07,.2404968,3,0,3,0,3,0
1,120,-.0084294,.2046978,.0224857,-.0001516,-.2449143,-.0567162,.222683,1.53e-07,7.00e-14,.4754759,.0001672,.000626,0,3,3,0,3,3
2,120,.037729,.3657705,-.0280527,-.0032567,-.3460158,-.0508257,.0156985,.0391264,.0566851,.0015044,.0056805,.2330287,2,2,1,3,3,0
3,120,.091377,.021869,.0144477,.0000823,-1.421596,-.1029951,2.27e-24,.2061947,.0000163,.8205687,8.95e-08,.1491465,3,0,3,0,3,0
1,150,-.0184835,.2437976,.0188618,-.0000536,-.2785547,-.069999,.0019766,2.46e-19,1.16e-17,.7372857,1.96e-06,5.87e-07,3,3,3,0,3,3
2,150,-.0003276,.3556319,-.0110559,-.0037829,-.0339775,-.0478737,.9783873,.0283429,.4082877,.0003223,.7117546,.2555538,0,2,0,3,0,0
3,150,.1067856,.0879091,.0004644,.0002662,-1.294539,-.1276632,3.88e-32,4.85e-07,.8783932,.4062236,5.98e-09,.047536,3,3,0,0,3,2
1,180,-.032393,.245545,.0192833,-.0001433,-.2318939,-.055901,2.91e-09,4.44e-20,5.68e-20,.2426504,2.82e-06,4.93e-06,3,3,3,0,3,3
2,180,-.0164179,.1832537,.0120054,-.0040279,.1149328,-.0316632,.0444573,.2250098,.3466118,.0001306,.0682723,.4218186,2,0,0,3,1,0
3,180,.0970205,.1064415,-.0007373,.0002737,-1.218689,-.1249742,3.43e-24,2.73e-07,.8326983,.371417,1.71e-08,.0432162,3,3,0,0,3,2
