gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2013069,.1311655,.0219061,-.0042111,-1.812731,.1487204,8.04e-19,.0000122,.0000969,.0000175,3.47e-07,.0500542,3,3,3,3,3,1
2,10,.3471639,.2270125,-.0635185,-.003339,-1.059038,-.290359,4.98e-06,.0044752,.0005552,.1553726,.0736155,.1338482,3,3,3,0,1,0
3,10,-.040929,.2556239,.036987,-.0021118,1.243868,-.150259,.0182496,1.92e-14,1.48e-07,.0794495,.0248799,.383507,2,3,3,1,2,0
1,20,.1705485,.0957893,.0186612,-.0029583,-1.432266,.1279476,1.22e-24,.000361,2.25e-06,5.45e-06,9.89e-10,.0145057,3,3,3,3,3,2
2,20,.2707811,.2588706,-.0625132,-.0028264,-.2322537,-.1133788,5.41e-08,.0008269,1.88e-06,.0707869,.4693873,.399829,3,3,3,1,0,0
3,20,-.0144575,.2748796,.0244391,-.0018349,.9289069,-.0530518,.2556785,2.69e-19,.0000154,.0281361,.0169983,.6503947,0,3,3,2,2,0
1,30,.1593681,.0642997,.016638,-.0021448,-1.315918,.0797958,6.02e-29,.0279631,6.47e-07,7.09e-06,2.22e-13,.0399383,3,2,3,3,3,2
2,30,.2455227,.3053943,-.0657193,-.0023489,.0911687,-.0025804,5.18e-07,.0000143,1.75e-08,.0654262,.6048933,.9795123,3,3,3,1,0,0
3,30,-.0068473,.3048335,.0172858,-.00157,.7198007,-.0233124,.5018132,1.81e-21,.0002757,.011861,.0150329,.7844085,0,3,3,2,2,0
1,60,.126376,.1121608,.007631,-.0005398,-.9325471,.0246061,6.97e-30,.0000158,.0010027,.0950142,2.86e-13,.4160066,3,3,3,1,3,0
2,60,.3044592,.434287,-.1022913,-.0022024,.1520065,.1723201,2.27e-09,3.16e-06,3.90e-19,.0075627,.1291257,.0073171,3,3,3,3,0,3
3,60,-.0188983,.3356083,.0151325,-.0016995,.552258,.0502826,.0130255,1.82e-24,.0000643,.0000933,.0054485,.3619318,2,3,3,3,3,0
1,90,.1096563,.0929086,.0069543,-.0001628,-.9624583,.0322088,1.54e-29,.0033523,.010956,.5491437,5.37e-14,.2378011,3,3,2,0,3,0
2,90,.1781614,.571732,-.0819838,-.0008677,.126265,.1088293,.0001726,5.46e-08,2.67e-10,.2204814,.0765119,.0204451,3,3,3,0,1,2
3,90,-.0138684,.3418072,.0099653,-.0013922,.4432356,.0409028,.0241002,2.85e-27,.003711,.0000317,.0017891,.3140995,2,3,3,3,3,0
1,120,.1098954,.1451866,-.0011423,.0001261,-.9130594,.0401251,2.75e-30,.000327,.7705814,.5721297,3.92e-16,.0837707,3,3,0,0,3,1
2,120,-.05417,.5769083,-.0138401,-.0009567,.0873519,.081463,.316984,8.39e-09,.3268077,.0647348,.1165402,.0280724,0,3,0,1,0,2
3,120,-.015781,.3068065,.0122607,-.0011611,.3607137,.0354596,.0025145,4.35e-26,.0001084,.0000219,.0012147,.2737919,3,3,3,3,3,0
1,150,.1196901,.1714233,-.0084447,.0002252,-.8609619,.0454121,5.58e-35,1.83e-17,.0003983,.2410142,2.81e-17,.0285118,3,3,3,0,3,2
2,150,-.318831,.5807728,.0628775,-.000843,.0360668,.0618539,1.30e-10,2.48e-10,4.32e-06,.0199398,.4121597,.0319245,3,3,3,2,0,2
3,150,-.0092426,.3018408,.0097804,-.0010375,.2743991,.0436824,.0540986,2.56e-25,.0017073,9.97e-06,.0027943,.1088173,1,3,3,3,3,0
1,180,.1159468,.1586495,-.0082304,.0000973,-.8565832,.0566137,9.50e-36,1.89e-16,.0002814,.5914786,3.45e-17,.0048665,3,3,3,0,3,3
2,180,-.439616,.5298165,.1029594,-.0004443,.0422128,.0549829,9.13e-17,3.67e-09,9.74e-11,.1211546,.2479355,.0187888,3,3,3,0,0,2
3,180,-.0056376,.3111176,.0075143,-.0008613,.2148348,.0372813,.2130609,5.66e-25,.0152973,.0000166,.0062967,.1059408,0,3,2,3,3,0
