gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.27223,.1743578,-.0002762,-.0013991,-.8838879,.03211,5.40e-07,7.37e-06,.9781201,.0544241,.1746484,.7211221,3,3,0,1,0,0
2,10,.333728,.2634286,-.0558362,-.0021653,-5.974699,1.129953,2.62e-15,.0004489,.0001519,.3425851,.0302836,.0260442,3,3,3,0,2,2
3,10,.4157979,.0930071,-.020163,.0000753,-2.409612,.2518866,1.93e-16,.0009214,.0442045,.952127,.2058899,.4505475,3,3,2,0,0,0
1,20,.2217694,.1893874,-.0048083,-.0005701,-.2796913,.0254919,1.64e-08,.000174,.5766903,.2980744,.5901157,.6982127,3,3,0,0,0,0
2,20,.2338823,.2753157,-.040357,.0017653,-4.351163,-.0726108,1.75e-14,.000215,.0002474,.2174925,.0163949,.8382958,3,3,3,0,2,0
3,20,.3842327,.0802596,-.0235184,.0002829,-.2777956,.21592,5.72e-24,.0026612,.0021158,.7068481,.7904318,.2617633,3,3,3,0,0,0
1,30,.1998163,.1873921,-.0020252,-.0002804,-.4222089,-.0095013,2.23e-11,.0061442,.7572336,.5151814,.2430295,.8581597,3,3,0,0,0,0
2,30,.22606,.3311582,-.042724,.0048047,-4.533058,-1.139216,5.78e-21,7.53e-06,6.16e-06,.0001782,.0039366,.000696,3,3,3,3,3,3
3,30,.3417076,.0863227,-.0243559,-.0001858,1.477538,.2361787,1.75e-19,.0040282,.0028952,.7968902,.1197291,.2293984,3,3,3,0,0,0
1,60,.0943483,.25645,.0153991,.0002651,-.7349833,-.0262212,3.35e-09,.0000128,.0001921,.2656488,.0000515,.3705297,3,3,3,0,3,0
2,60,.1407971,.419995,-.0537398,.001511,1.807831,-.5436707,2.22e-17,4.68e-06,4.93e-08,.0293685,.0876472,.0046294,3,3,3,2,1,3
3,60,.377174,.0680074,-.030239,-.0012248,-1.020699,.3944107,8.68e-36,.0306346,7.04e-06,.0461975,.1874147,.0177069,3,2,3,2,0,2
1,90,.1049078,.1918769,.0090014,.0001171,-.6338602,-.0127607,2.22e-14,.0139495,.0518114,.4351615,2.37e-06,.4549451,3,2,1,0,3,0
2,90,.1080759,.6353534,-.0738202,.0002691,2.518946,-.1456474,1.94e-14,1.33e-09,4.06e-12,.6370476,.0132956,.3731991,3,3,3,0,2,0
3,90,.3949151,.0088249,-.0421821,-.00055,-.512444,.241697,4.40e-38,.7688482,9.82e-09,.2445324,.406786,.0668113,3,0,3,0,0,1
1,120,.0869257,.3003049,.0012352,.0001581,-.6123782,-.0115245,1.85e-12,.0024847,.8871613,.2520498,1.58e-06,.4096759,3,3,0,0,3,0
2,120,.059454,.5845056,-.0647337,-.000548,5.92551,.1221633,.0001098,1.35e-08,4.13e-11,.3048765,3.45e-09,.4303361,3,3,3,0,3,0
3,120,.3159654,.0035807,-.0280827,-.0002952,-.5797577,.1782911,1.10e-30,.9124812,.0001566,.455973,.2266017,.1011914,3,0,3,0,0,0
1,150,.1083493,.4246916,-.0164726,.0000542,-.3230343,.0040067,9.04e-26,3.44e-38,1.25e-09,.6000075,.000111,.7282302,3,3,3,0,3,0
2,150,.0366154,.5846447,-.0582503,-.0005395,6.593783,.2070672,.0075683,1.91e-09,3.33e-11,.2942236,1.02e-12,.1723201,3,3,3,0,3,0
3,150,.357808,.0825068,-.0482262,-.0002188,-.6107703,.1509503,6.15e-30,.0216652,3.75e-08,.5202076,.1619111,.1031846,3,2,3,0,0,0
1,180,.113864,.4219712,-.0201752,.0002,-.1676822,-.0097963,1.70e-26,7.35e-39,4.99e-12,.0350657,.027451,.3559839,3,3,3,2,2,0
2,180,.0206892,.7076543,-.0647092,-.0002512,7.225773,.1312648,.1033452,2.23e-10,1.52e-11,.6139448,3.74e-13,.3685559,0,3,3,0,3,0
3,180,.3832784,.1538439,-.0618112,.0000412,-1.095546,.1059589,4.16e-25,.0004492,8.10e-09,.8917112,.0037262,.1905269,3,3,3,0,3,0
