gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2882652,-.0262365,.0288276,-.0004307,-66.56572,1.164418,.0056769,.3260313,.0096662,.4953207,.0374628,.7914026,3,0,3,0,2,0
2,10,.3314698,-.0283128,.0155528,-.0008818,124.4391,-10.24342,.0000319,.5686964,.3616154,.0512073,.1020933,.1202021,3,0,0,1,0,0
3,10,.2639018,-.0445746,.0526116,.0001697,-66.82072,-14.36049,.0001089,.3047955,3.30e-06,.727851,.2165112,.0068882,3,0,3,0,0,3
1,20,.3250993,-.0208654,.0233675,-.0004607,-65.35211,.7530169,.0000286,.5543762,.0044995,.4295064,.0286158,.8456499,3,0,3,0,2,0
2,20,.2428002,-.1406717,.03609,-.0007148,127.8883,-4.99082,4.26e-11,.0044353,.0003163,.0856133,.0285338,.3755131,3,3,3,1,2,0
3,20,.2433574,-.1086754,.0593066,.000177,-64.04778,-13.4209,.0004875,.0409631,1.73e-06,.6959939,.2075637,.0068827,3,2,3,0,0,3
1,30,.3210179,.0060213,.0205264,-.0002858,-56.93063,-.6887731,1.76e-07,.8682781,.0012737,.6072676,.0438163,.8459657,3,0,3,0,2,0
2,30,.1437934,-.1933779,.0538945,-.0008437,139.3529,-.1767284,3.00e-12,4.03e-06,1.10e-11,.0340921,.0033441,.9691468,3,3,3,2,3,0
3,30,.182213,-.126961,.0679588,.0000914,-68.30943,-10.40797,.0116129,.0574235,2.98e-08,.8277608,.1382549,.0221555,2,1,3,0,0,2
1,60,.2276402,.0061931,.0198166,.0002165,-17.28477,-3.144138,.0000553,.8894138,.000731,.6620429,.481987,.3095291,3,0,3,0,0,0
2,60,.1215431,-.1823315,.0534859,-.0006673,72.54395,1.265391,3.67e-14,.0000493,2.51e-09,.2488555,.1119236,.82147,3,3,3,0,0,0
3,60,.1703607,-.0315747,.0467031,.0000995,-5.960552,-5.226541,.000377,.6647912,1.23e-07,.752543,.8495802,.1258529,3,0,3,0,0,0
1,90,.149737,.0076623,.0170242,.0004161,11.89646,-4.21779,.0012551,.8142921,.0002617,.3092388,.543821,.100237,3,0,3,0,0,0
2,90,.1199715,-.0858206,.0395294,-.000346,43.10305,-1.814517,9.40e-12,.1153511,6.06e-06,.3787809,.2456174,.6452346,3,0,3,0,0,0
3,90,.1527383,-.1474649,.0482396,.0002988,30.63048,-5.000324,3.38e-07,.0046784,1.25e-09,.2612996,.1806948,.062646,3,3,3,0,0,1
1,120,.0705439,.0662573,.0140247,.0004371,30.74988,-4.572354,.0219858,.1319305,.000452,.1766212,.0476765,.031034,2,0,3,0,2,2
2,120,.1121882,-.0109282,.0270991,-.0000595,55.005,-3.519285,6.39e-13,.7571819,5.45e-06,.8056968,.0496377,.1997989,3,0,3,0,2,0
3,120,.1582459,-.0031951,.0201095,.0004446,72.79732,-5.094514,5.94e-07,.9567975,.010076,.0901946,.0010094,.044431,3,0,2,1,3,2
1,150,.050734,.0540687,.0121915,.0004189,37.55014,-4.689162,.0473169,.1910479,.0027424,.1145903,.0064596,.0114643,2,0,3,0,3,2
2,150,.0762092,-.1595036,.0440928,.000047,52.06373,-4.207232,.000913,.1740376,.0052082,.8611853,.0596163,.1522923,3,0,3,0,1,0
3,150,.1562893,-.0365927,.0171737,.0004134,78.42596,-4.247472,1.13e-06,.5993172,.0410126,.1152648,.0002327,.0969649,3,0,2,0,3,1
1,180,.0455153,.0160425,.0129682,.0006963,38.74371,-5.940272,.1006644,.7543684,.010131,.04313,.0078539,.0028664,0,0,2,2,3,3
2,180,.0706355,-.2369765,.0476213,.0000876,40.75397,-4.427238,.002691,.0456816,.0025358,.7451451,.1674997,.1421251,3,2,3,0,0,0
3,180,.1346544,-.0555986,.0172844,.000401,76.85278,-3.894715,.0000261,.5164374,.0497689,.1328479,.0003288,.1347539,3,0,2,0,3,0
