gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2597352,.0483489,.0235459,-.000238,-7.550101,-.0060641,.0033475,.1131085,.0111115,.5750895,.8722988,.9985638,3,0,2,0,0,0
2,10,.0853515,-.1246206,.0777978,.0000226,-78.40977,-13.31611,.0248824,.0763733,.0000194,.983385,.5658697,.2242878,2,1,3,0,0,0
3,10,.1715239,.0040474,.0434874,.0001427,-62.65784,-9.841878,.0055428,.9052359,.0007335,.8272173,.4685197,.0876362,3,0,3,0,0,1
1,20,.2470188,.0946416,.0226871,-.0001576,-8.910048,-.2715029,.0001998,.0146235,.003268,.6952909,.8328912,.9329543,3,2,3,0,0,0
2,20,.1194953,-.0851713,.058053,.0002869,-67.99983,-11.43361,.0014057,.3214469,.0003723,.7918883,.6000091,.2983927,3,0,3,0,0,0
3,20,.1572718,-.014356,.0443818,.0002344,-44.18167,-10.21623,.013636,.723402,.0008484,.717587,.6038783,.0776585,2,0,3,0,0,1
1,30,.2091689,.0797696,.0266981,-.0000717,-1.41354,-1.002076,.0000709,.0682935,.0000802,.8524367,.9715111,.74619,3,1,3,0,0,0
2,30,.1507985,-.110357,.041874,.0007838,-51.88459,-11.15087,4.16e-08,.2064729,.0030729,.4362071,.663157,.2759544,3,0,3,0,0,0
3,30,.1068565,-.024123,.0480733,.0001036,-10.05127,-8.399439,.0816174,.5749413,.0002582,.8593896,.8923457,.1015403,1,0,3,0,0,0
1,60,.0894126,.1782871,.0303374,.0001418,2.415341,-1.596751,.0260907,.0010518,2.16e-07,.6551129,.9422262,.5288832,2,3,3,0,0,0
2,60,.200837,-.1342559,.0228818,.0007949,-90.94885,-4.643778,2.60e-15,.16016,.0490174,.2179447,.2869529,.4823479,3,0,2,0,0,0
3,60,.1439416,.1326287,.0088119,.0001375,90.04561,-5.33484,.0033172,.00427,.4081506,.7231092,.0307317,.0795731,3,3,0,0,2,1
1,90,.0435813,.1320124,.0291949,.0001825,6.785952,-1.641476,.1739467,.1082177,2.74e-07,.4892634,.8025151,.4340697,0,0,3,0,0,0
2,90,.1887057,-.9069554,.0616981,.0010122,23.4626,-9.815194,1.47e-10,.0009629,5.87e-06,.1111039,.6667984,.1262556,3,3,3,0,0,0
3,90,.0998694,.2432648,-.0021673,-.0000737,109.3346,-3.893171,.0335541,.0057945,.8798233,.7811673,.000485,.0450303,2,3,0,0,3,2
1,120,.0020878,.2859397,.0185267,.0002387,-2.387984,-1.573761,.9354103,2.13e-06,.0000894,.2895533,.9160283,.3859009,0,3,3,0,0,0
2,120,.1744065,-1.259864,.0755906,.0009091,107.2495,-12.11616,4.35e-16,.0156011,.0122341,.1029099,.0602567,.0533273,3,2,2,0,1,1
3,120,.1152259,.2007913,-.0083383,-.0001773,116.9805,-2.495838,.0108402,.0806212,.6183698,.4769984,.0000665,.1852439,2,1,0,0,3,0
1,150,.0045189,.2761926,.0127746,.0003293,5.369242,-1.524988,.8500043,.0000472,.0125993,.1088681,.8012984,.3420265,0,3,2,0,0,0
2,150,.1592076,-1.230618,.0729326,.0002087,84.87512,-5.985876,1.61e-16,.0209715,.0198593,.6625162,.1425522,.2782318,3,2,2,0,0,0
3,150,.2282013,.5629423,-.0693151,-.0001009,134.2131,-1.642411,2.66e-07,4.68e-10,1.24e-07,.6895736,.0000191,.4200441,3,3,3,0,3,0
1,180,-.0122729,.2938532,.0107914,.0003167,16.25019,-1.597601,.6214526,.0002603,.0900283,.1045722,.5058175,.2842391,0,3,1,0,0,0
2,180,.1585905,-1.201963,.0660656,-6.21e-06,61.47424,-3.350451,2.05e-13,.0259858,.035641,.990038,.3111924,.5477379,3,2,2,0,0,0
3,180,.2035647,.5056825,-.0638728,-.0001505,145.6079,-.9955236,6.71e-06,1.07e-06,4.25e-06,.5528671,6.55e-06,.6235936,3,3,3,0,3,0
