gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2336207,.2307673,.0431817,-.0017616,-8.5823,.1388355,2.48e-06,2.40e-09,1.79e-06,.0313388,.0009684,.584685,3,3,3,2,3,0
2,10,.1794306,.151017,-.0089829,-.0117032,-6.47535,2.924648,.0000446,.0783886,.5157735,.0052998,.3540603,.0540815,3,1,0,3,0,1
3,10,.137263,.1328231,.0210082,-.0013375,3.997074,-.7299334,.0098484,.0009171,.1207174,.3074428,.3731155,.2182632,3,3,0,0,0,0
1,20,.2140989,.2562328,.0249517,-.0016134,-5.852216,.1894237,1.90e-08,3.24e-08,.0012657,.0078638,.0004053,.2840863,3,3,3,3,3,0
2,20,.2044278,.0341497,-.0171854,-.0103457,-4.076363,2.314533,3.77e-16,.6537662,.1358414,.0015583,.3823099,.0872063,3,0,0,3,0,1
3,20,.1145752,.1366669,.0311229,-.0019497,-.5959869,-.5394382,.0109249,.0007068,.0072492,.0520789,.8643683,.2227354,2,3,3,1,0,0
1,30,.1720555,.1812176,.0348246,-.0015575,-7.824966,.3587573,3.42e-08,.0003562,1.83e-07,.0007307,2.01e-09,.0055885,3,3,3,3,3,3
2,30,.1514642,.0081555,-.0041376,-.0072016,-1.663957,1.509844,2.01e-10,.9173481,.6796376,.0013889,.6471132,.0962656,3,0,0,3,0,1
3,30,.1027174,.1191336,.0349356,-.0009498,-2.084672,-.739747,.0126893,.0029903,.0016987,.3040412,.4554249,.0906297,2,3,3,0,0,1
1,60,.1415901,.2050578,.0177412,-.0005768,-3.623857,.1431684,4.21e-14,5.45e-06,.000019,.0152424,3.40e-07,.0343669,3,3,3,2,3,2
2,60,.129747,.1548728,-.0305863,-.0005584,2.107643,-.441622,6.34e-16,.1666771,.0071838,.7364184,.4530344,.5355213,3,0,3,0,0,0
3,60,.265479,.1074464,-.0102285,.0010747,-5.290082,-.8282392,1.94e-18,.0001859,.137509,.0118839,1.09e-08,3.47e-06,3,3,0,2,3,3
1,90,.1040511,.2221515,.0093613,-.0000514,-1.344984,.0196235,2.34e-10,.0050249,.0501442,.7785677,.0235847,.7109758,3,3,1,0,2,0
2,90,.1194391,.4508496,-.0625868,.0013,2.107861,-1.144489,2.12e-15,.0002113,2.09e-06,.330509,.4301685,.073736,3,3,3,0,0,1
3,90,.2843825,.1290545,-.0320556,.001216,-3.446276,-.6447216,1.13e-26,.0000638,1.19e-06,.0006794,1.36e-07,9.89e-06,3,3,3,3,3,3
1,120,.0867238,.3385996,-.0038304,.0001191,-.1020619,-.0258503,6.71e-11,.0002417,.6026396,.443784,.8570904,.5926683,3,3,0,0,0,0
2,120,.0632441,.4486316,-.0511332,.0007557,4.862965,-.6329916,.0000658,.0002181,4.72e-06,.4335187,.0127165,.1474384,3,3,3,0,2,0
3,120,.2886046,.204859,-.0472166,.0010351,-2.418067,-.6135989,1.50e-26,1.83e-07,2.79e-10,.0006941,.0002368,8.07e-07,3,3,3,3,3,3
1,150,.1095495,.4202445,-.0197521,.00027,.8819345,-.0751387,2.24e-15,2.21e-33,2.09e-09,.084051,.0587654,.1129075,3,3,3,1,1,0
2,150,.0356227,.538653,-.0547805,.0010946,6.875872,-.6956024,.0021269,.0000616,8.82e-07,.227633,8.78e-06,.0711698,3,3,3,0,3,1
3,150,.274637,.2323012,-.0494619,.0011286,-2.408219,-.6112838,5.55e-18,1.39e-06,3.71e-07,.0000628,.0000398,1.85e-07,3,3,3,3,3,3
1,180,.1415388,.4179219,-.02956,.0005273,1.347561,-.1008473,2.48e-22,1.24e-31,2.61e-16,.0005484,.0024725,.0250384,3,3,3,3,3,2
2,180,.0359852,.5684802,-.0573061,.0014925,7.014439,-.7689028,.000221,.0004751,2.68e-06,.0873084,5.36e-07,.0300647,3,3,3,1,3,2
3,180,.2177653,.1881537,-.0350684,.0012649,-2.378076,-.5984391,5.46e-09,.0015333,.0044538,5.31e-06,4.87e-06,9.79e-08,3,3,3,3,3,3
