gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1471552,.1639971,.0334619,-.0011184,-8.755028,.5660846,.000599,.0002286,.0004777,.2767953,.0457215,.4314544,3,3,3,0,2,0
2,10,.1890162,.413758,-.0905273,-.0010659,-4.067943,-.3021054,.000413,.0002333,2.50e-07,.5876999,.0622917,.3112433,3,3,3,0,1,0
3,10,.2107434,.0469068,.0202865,-.0026686,-9.792938,.9268167,1.18e-20,.0060892,.0013629,.0006692,.000427,.0606887,3,3,3,3,3,1
1,20,.1855141,.129105,.0111879,-.0005591,-4.903891,.273513,.0002495,.0015426,.3297745,.5655146,.1292306,.6429164,3,3,0,0,0,0
2,20,.1292322,.4043173,-.0683538,-.0021567,-2.752649,.3954855,1.46e-09,.0000242,3.63e-09,.1058974,.0119829,.1229902,3,3,3,0,2,0
3,20,.1709718,.0071313,.022566,-.0019927,-6.790061,.6615659,6.18e-22,.6564214,5.89e-06,.0000745,.0008181,.0415738,3,0,3,3,3,2
1,30,.117893,.1295115,.0214241,-.0015053,-4.916332,.5855234,.0017482,.0000291,.013697,.0574673,.0577705,.2403879,3,3,2,1,1,0
2,30,.1239094,.3385822,-.0586211,.0004002,-3.361937,-.1094315,4.74e-06,.0030104,7.12e-06,.744423,.0011987,.6942714,3,3,3,0,3,0
3,30,.1521747,-.0019563,.0219431,-.00233,-6.987559,.99,2.79e-17,.9304017,.0000205,.000085,.0003556,.0129704,3,0,3,3,3,2
1,60,.1569201,.1724316,-.0006002,-.0012449,-3.450248,.3477177,1.24e-07,8.32e-08,.9336537,.0000876,.0051817,.1134542,3,3,0,3,3,0
2,60,.0421452,.6886654,-.064565,-.0004068,-1.307139,.0551429,.0047699,.0000448,3.93e-06,.5949719,.0335143,.7400333,3,3,3,0,2,0
3,60,.1273126,-.0867887,.0233432,-.0015023,-4.884815,.3383074,2.27e-16,.0000755,5.61e-07,9.06e-06,.0001198,.1000526,3,3,3,3,3,0
1,90,.1433995,.1543967,-.0074272,-.0008663,-1.409699,.1364152,4.20e-13,.0040837,.1205476,.0000685,.0791054,.3491084,3,3,0,3,1,0
2,90,.0249608,.7852491,-.0685703,-.000104,.0359347,.1518656,.0601778,1.65e-06,3.93e-07,.8251005,.9557008,.1073293,1,3,3,0,0,0
3,90,.131165,-.1436959,.0163178,-.0008868,-2.620735,.0887196,5.16e-20,2.72e-12,.0001054,.0004474,.0017872,.5563565,3,3,3,3,3,0
1,120,.1232736,.2300684,-.0156266,-.000398,.159074,.0350736,5.38e-17,.0022022,.0077765,.0116341,.8194454,.7559694,3,3,3,2,0,0
2,120,-.0107755,.9349531,-.0688717,-.0000299,2.065169,.2058376,.3490289,2.38e-08,1.19e-07,.9351746,.002678,.0063203,0,3,3,0,3,3
3,120,.1224027,-.1562522,.0132809,-.0006597,-1.688497,.0310568,5.86e-24,5.34e-16,.0001816,.0024642,.0205794,.81218,3,3,3,3,2,0
1,150,.1292201,.3061899,-.0266433,-.0001585,1.155407,-.0150611,2.93e-20,3.33e-18,1.09e-10,.2498551,.1185753,.8814636,3,3,3,0,0,0
2,150,-.0120329,.9988734,-.0685285,-.0000278,1.98978,.2077482,.1331785,1.11e-07,1.38e-06,.9372672,.0001188,.0014258,0,3,3,0,3,3
3,150,.1175643,-.1455719,.0099737,-.0005651,-2.016803,-.042423,2.54e-26,4.70e-15,.0027112,.0081318,.0018112,.7467857,3,3,3,3,3,0
1,180,.1264877,.3064525,-.028467,-.0000935,1.382653,-.0013117,2.29e-24,2.20e-17,1.03e-12,.452765,.0695018,.9885974,3,3,3,0,1,0
2,180,-.0060471,1.001193,-.0663888,.0001132,2.003618,.1562706,.4251289,.0000168,.0000792,.7374459,.0000228,.0125579,0,3,3,0,3,2
3,180,.0964324,-.1492971,.0128447,-.0004348,-1.572145,-.095872,3.66e-22,1.08e-16,.0001045,.0553419,.0068121,.5114601,3,3,3,1,3,0
