gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0209715,-.2161184,-.0408685,-.003222,172.9824,-25.50142,.2508241,.4327858,.2324718,.1362001,.068853,.4253358,0,0,0,0,1,0
2,10,.0216201,.1848832,.0092113,.0004785,-505.794,-34.885,.4640957,.222419,.7512518,.6305554,.064852,.2977614,0,0,0,0,1,0
3,10,.0684141,.0100366,.0031922,.0004776,724.5546,42.87644,.0122913,.9219974,.8835066,.5295439,3.48e-16,.0564598,2,0,0,0,3,1
1,20,.0287183,-.1963933,-.0524172,-.0040842,56.72445,7.991815,.2544985,.5957502,.0844041,.0108248,.5240869,.7741075,0,0,1,2,0,0
2,20,.035358,.233511,-.0056817,.0004306,-288.4915,-17.6006,.3884056,.2030147,.8806069,.6382293,.1792094,.5145839,0,0,0,0,0,0
3,20,.058266,.0321693,.0090123,.0003342,415.6262,78.29906,.0705494,.8068036,.7104418,.6538889,1.21e-07,.0014771,1,0,0,0,3,3
1,30,.1030329,-1.019483,-.0760774,-.004285,-136.0373,70.69974,.000156,.004687,.0075545,.0000509,.0380287,.0010607,3,3,3,3,2,3
2,30,.042253,.2968323,-.017412,.000441,-53.8465,-1.288584,.250414,.1540044,.6158774,.5989233,.7829854,.9600888,0,0,0,0,0,0
3,30,.0297049,.0254881,.0291698,.0002538,-107.9612,105.3595,.4366801,.6572644,.2549844,.7105278,.0739216,2.85e-11,0,0,0,0,1,3
1,60,.0767557,-1.104513,-.0601955,-.0045561,45.85386,30.59254,.0041636,.0199893,.1628454,.000019,.4952287,.0796999,3,2,0,3,0,1
2,60,.0387285,.2912913,-.025734,-.0000975,126.0483,19.26405,.2519768,.2094449,.4889942,.8890092,.422228,.3458607,0,0,0,0,0,0
3,60,.0553088,.0612822,.0010839,-.0008691,-861.9749,200.598,.2026271,.7108868,.9670699,.1431911,4.49e-11,5.16e-22,0,0,0,0,3,3
1,90,-.0189227,-.6601544,.049695,-.0034655,91.65852,7.851753,.6657255,.3338888,.2591453,.0005857,.1826428,.6408552,0,0,0,3,0,0
2,90,.0447026,.2390028,-.0361684,.0002789,16.28177,15.28371,.1549743,.2677994,.2772813,.6296502,.9066694,.3732077,0,0,0,0,0,0
3,90,.0582848,.00067,-.0062297,-.0002483,-1292.04,391.9937,.1281952,.9863071,.8010644,.6287981,0,0,0,0,0,0,3,3
1,120,-.4531425,-1.257116,.6793416,-.0023309,59.80432,10.0615,.462633,.1384476,.4080531,.0044863,.2606327,.4252897,0,0,0,3,0,0
2,120,.0162125,.1376427,-.0086163,.0001966,-67.78994,4.80437,.4116685,.5431916,.7684196,.6734267,.6798739,.8189489,0,0,0,0,0,0
3,120,.0638837,-.0239198,-.0102182,.0001838,-1132.476,229.1066,.0331598,.9374153,.6947482,.7029153,1.78e-34,3.16e-32,2,0,0,0,3,3
1,150,.0564625,-1.588151,.0439109,-.001509,48.16089,15.44573,.8631897,.1017432,.9118338,.0200469,.1611175,.1533142,0,0,0,2,0,0
2,150,.0121876,-.1293053,.0144045,-6.20e-06,-129.9905,-14.01736,.4887617,.6298319,.6693211,.9870512,.2821767,.3580031,0,0,0,0,0,0
3,150,.0470647,.3775352,-.0294033,.0000233,-555.963,100.1588,.0465497,.3345015,.3249545,.9484094,1.27e-15,2.62e-10,2,0,0,0,3,3
1,180,-.4133725,-2.163395,.6401204,-.0011127,34.54265,19.29961,.3471158,.0887699,.2555121,.0652155,.2046367,.0738277,0,1,0,1,0,1
2,180,.0084141,-.2831075,.0297975,-.0000116,-202.1185,-29.4341,.5970045,.2947713,.3573559,.9748271,.0556515,.036507,0,0,0,0,1,2
3,180,.014874,.2455758,-.0050322,.0001427,-116.3612,8.40259,.559525,.6285986,.8945591,.6744109,.0090994,.4983793,0,0,0,0,3,0
