gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1793307,.1370686,.0249153,.0006676,-.0803316,-.0437663,1.71e-12,4.89e-06,1.16e-07,.3089439,.5859511,.0764351,3,3,3,0,0,1
2,10,.2778903,.2313316,-.0177763,-.0077265,-2.410939,.1286031,4.78e-13,.0001062,.0926475,.0680289,5.47e-06,.7589393,3,3,1,1,3,0
3,10,.1108515,.1006701,.0464238,-.0029874,-.5258591,-.1044604,.0000233,.0017878,2.28e-06,.1387977,.2071713,.3775111,3,3,3,0,0,0
1,20,.1426028,.1157381,.026395,.0012056,-.009128,-.0377072,1.50e-17,.0066262,2.95e-11,.001614,.9218209,.0101063,3,3,3,3,0,2
2,20,.2857655,.2215212,-.0443938,-.0066154,-.9746506,.1475821,1.45e-20,4.67e-06,1.10e-07,.0385524,.0060893,.6341983,3,3,3,2,3,0
3,20,.0849333,.1245548,.036567,-.0015899,-.114182,-.1152779,.0002252,.0002225,1.16e-06,.2941673,.725216,.1972189,3,3,3,0,0,0
1,30,.1203575,.0724274,.0286583,.0015262,.0108486,-.0461032,4.46e-24,.1607501,6.19e-17,2.21e-07,.8807663,.0000422,3,0,3,3,0,3
2,30,.246511,.2660225,-.0480693,-.0070095,-.4706776,.1440163,6.61e-19,1.77e-06,1.48e-10,.0074976,.0503577,.5490022,3,3,3,3,1,0
3,30,.0555773,.1655887,.0336281,-.0011594,-.0175503,-.1187933,.0019782,.0000383,2.62e-07,.3209977,.9366652,.0560503,3,3,3,0,0,1
1,60,.0768726,.0947024,.0253803,.0016173,.0229057,-.0335731,3.04e-24,.047463,1.02e-21,9.56e-18,.4885967,4.05e-07,3,2,3,3,0,3
2,60,.2323457,.3347227,-.0610445,-.0026188,-.3522909,-.0497115,7.38e-23,1.32e-08,6.56e-20,.0519404,.0030317,.7114161,3,3,3,1,3,0
3,60,.0509207,.2622857,.0111009,.0001349,.1383576,-.105114,.000257,8.89e-08,.0287808,.8512138,.2662586,.0017255,3,3,2,0,0,3
1,90,.0704367,.0872138,.0186905,.0016531,.04058,-.0245675,3.56e-27,.0073808,1.17e-17,8.65e-23,.0897692,.000017,3,3,3,3,1,3
2,90,.2617655,.4132944,-.0825908,-.002635,-.530068,.1289646,5.92e-29,1.05e-13,5.72e-28,.0020381,3.63e-06,.1166988,3,3,3,3,3,0
3,90,.0662732,.2577091,-.0008947,.0008392,.1723982,-.0822929,1.23e-06,8.45e-07,.8673965,.1707569,.094281,.0055541,3,3,0,0,1,3
1,120,.057826,.1356982,.0127666,.0015912,.0633503,-.0213765,2.43e-24,.0002396,.0000122,1.08e-24,.0025651,.0000198,3,3,3,3,3,3
2,120,.2143511,.3531571,-.0637373,-.0030428,-.3995526,.202718,1.48e-14,3.81e-07,6.10e-15,.0000673,.000074,.0010629,3,3,3,3,3,3
3,120,.0638532,.2820484,-.0063258,.0006556,.1802425,-.0690936,3.82e-07,1.06e-07,.2504263,.1877964,.0317492,.003675,3,3,0,0,2,3
1,150,.0515337,.1425581,.0102652,.0015132,.0674211,-.0190684,1.66e-21,5.71e-16,1.75e-09,9.52e-25,.0008727,.0000881,3,3,3,3,3,3
2,150,.0787823,.5088202,-.0378148,-.0023674,-.1396404,.0886951,.0012775,8.23e-16,4.30e-07,.0016382,.0695611,.1649864,3,3,3,3,1,0
3,150,.070862,.304157,-.0114718,.0005051,.15682,-.053324,5.91e-09,6.24e-09,.0395426,.232568,.0258546,.007729,3,3,2,0,2,3
1,180,.0503051,.1292298,.0088867,.0014505,.0691997,-.0195131,1.36e-21,1.52e-16,1.12e-08,5.51e-26,.0006835,.0000247,3,3,3,3,3,3
2,180,.030349,.5522928,-.0271061,-.0019453,-.0057743,.0419342,.0875024,3.55e-18,.0000856,.0045952,.9330401,.4668953,1,3,3,3,0,0
3,180,.0759204,.344988,-.0176889,.0004518,.1522333,-.0494804,1.19e-09,6.52e-11,.0019519,.2173145,.017401,.006663,3,3,3,0,2,3
