gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1458415,.1121875,.0349789,-.0005351,-2.442886,.0531352,.0056753,.0023706,.0002436,.5268812,.2370137,.9406209,3,3,3,0,0,0
2,10,.2756746,.2735858,-.0574432,-.0021323,-9.222571,.0407599,2.02e-17,.0000104,1.19e-07,.3013237,6.30e-06,.9638849,3,3,3,0,3,0
3,10,.2762711,.1185479,-.0096274,-.0014007,-2.283614,-.244088,2.46e-14,.0000811,.268649,.0502806,.1801925,.3645284,3,3,0,1,0,0
1,20,.1283999,.1491346,.0253629,-.0008419,-1.124265,.2488135,.0001003,.00074,.000317,.1540659,.3779488,.5979804,3,3,3,0,0,0
2,20,.2466365,.2850655,-.0571781,-.0035776,-4.2678,.7670345,1.39e-25,3.25e-09,7.53e-14,.0051535,.0000921,.302597,3,3,3,3,3,0
3,20,.2702878,.0935715,-.0071664,-.0003195,-1.333244,-.3467981,5.43e-24,.0001352,.1991163,.513501,.3087796,.1388079,3,3,0,0,0,0
1,30,.0733453,.1297696,.0324132,-.000362,-.7598494,.0663904,.0050142,.0193156,2.29e-08,.3954583,.3988385,.8450727,3,2,3,0,0,0
2,30,.1960991,.3013275,-.0464105,-.0040951,-1.318206,.3480554,3.64e-20,5.78e-07,7.56e-10,.0015311,.0659893,.5415544,3,3,3,3,1,0
3,30,.248015,.1333805,-.0091996,-.0003988,-.8311806,-.243864,1.70e-29,1.80e-08,.0429391,.2469783,.4217928,.2006352,3,3,2,0,0,0
1,60,-.0180369,.1842612,.0395701,-.0006243,-.027572,.0500258,.2580984,.0001781,1.58e-17,.0169066,.9585477,.7976851,0,3,3,2,0,0
2,60,.1239879,.3867452,-.039859,-.0025471,-1.12619,.652391,4.28e-11,.0001167,.0000195,.0207014,.0981325,.2563436,3,3,3,2,1,0
3,60,.2002702,.114319,-.0075151,.0000663,.0041293,-.1831124,1.52e-27,3.38e-06,.0992267,.7630553,.9941685,.0756161,3,3,1,0,0,1
1,90,-.029437,.147943,.0384772,-.000557,-.8629472,-.1378107,.0442913,.009401,6.04e-22,.0058804,.0386296,.365475,2,3,3,3,2,0
2,90,.0994404,.3946798,-.0364211,-.0025697,-.8512127,.9037161,2.59e-13,.0009768,.0007326,.0053422,.1100608,.0645794,3,3,3,3,0,1
3,90,.1789784,.1245119,-.010256,.0001053,-.3359147,-.0993513,9.20e-26,.000023,.0452562,.5225199,.3905818,.1426194,3,3,2,0,0,0
1,120,-.0559554,.1988192,.0363065,-.0004665,-1.367717,-.1571067,4.00e-08,.0007282,8.22e-18,.0052025,.0002495,.1900656,3,3,3,3,3,0
2,120,.0813518,.3684926,-.0283599,-.002001,-1.546812,.7243219,1.30e-08,.0114331,.011858,.0089547,.000063,.0540718,3,2,2,3,3,1
3,120,.1487304,.1074264,-.0050877,.0001601,-.8672829,-.092144,5.49e-21,.0012804,.354731,.2560774,.0317605,.1887234,3,3,0,0,2,0
1,150,-.0731482,.23443,.0339347,-.0004249,-1.179962,-.1079293,3.56e-16,8.30e-20,8.88e-31,.0020053,.0002499,.300232,3,3,3,3,3,0
2,150,.0555391,.5033239,-.0322921,-.0011659,-1.669299,.415619,.0003517,.0022745,.0053895,.1062602,.0000125,.2044154,3,3,3,0,3,0
3,150,.1275208,.1021951,-.0023429,.0001385,-.8014287,-.0789466,1.53e-15,.006788,.6985959,.289518,.0184191,.1792042,3,3,0,0,2,0
1,180,-.0722104,.2113715,.0333833,-.0003641,-1.294162,-.1349232,4.73e-16,1.41e-17,3.61e-30,.0041437,.0000188,.1690638,3,3,3,3,3,0
2,180,.0410692,.521621,-.0282568,-.0010682,-1.505685,.3502443,.0054128,.0026714,.0171057,.1147283,.0000825,.2685684,3,3,2,0,3,0
3,180,.1105808,.0755362,.0006921,.0002064,-.5480025,-.0718183,1.16e-09,.0817765,.9223767,.0758166,.0531716,.1367143,3,1,0,1,1,0
