gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0298204,.0025982,.0015311,-.0016556,-.2819884,.3399374,.7842585,.924487,.8651192,.4573759,.8983917,.5283446,0,0,0,0,0,0
2,10,.0564738,.0521871,.0106622,-.0025691,-7.032013,.5983077,.6625579,.2828961,.294718,.6517942,.0756263,.7885941,0,0,0,0,1,0
3,10,-.0324644,.0655334,.0013438,-.0027963,-1.071717,.574044,.7758629,.0512056,.860421,.1828718,.4906723,.1492453,0,1,0,0,0,0
1,20,.0871562,-.0141666,.0024543,-.0006074,-.3491242,.1317427,.538968,.6454535,.6843861,.634633,.8120975,.6657395,0,0,0,0,0,0
2,20,.1847207,.0968899,-.0038741,.0034793,-3.879344,-1.370116,.1147377,.0441276,.5452564,.2644435,.1041056,.2530569,0,2,0,0,0,0
3,20,.1694171,.0431972,-.0039625,.0003675,.0850958,-.0449204,.1103417,.0830576,.4367351,.7610129,.9300016,.8518637,0,1,0,0,0,0
1,30,.1018426,-.0171763,.001695,-.0000253,-.1329542,-.0019191,.3471159,.6316577,.6852835,.9797546,.8943614,.9936215,0,0,0,0,0,0
2,30,.1929676,.0750615,-.0029503,.0017261,-2.831806,-.8127882,.1398273,.0930168,.5640189,.3708,.0722485,.2960155,0,1,0,0,1,0
3,30,.1624011,.0378678,-.0003075,-.0008707,-.5059463,.1544258,.2998269,.1462404,.9454693,.3441662,.5625219,.4397239,0,0,0,0,0,0
1,60,-.104702,-.0095086,.0001279,-.0002364,.127749,.0469456,.4653156,.7964084,.951544,.6056606,.7435479,.6562194,0,0,0,0,0,0
2,60,-.0114347,.0783161,-.0064664,.0008038,-1.155486,-.4535252,.9233329,.0719058,.1843003,.4397812,.1750463,.3049845,0,1,0,0,0,0
3,60,.1842072,.0273794,-.0006579,-.0006459,-.2964549,.1210969,.0714556,.1389775,.7813576,.2070176,.4006517,.2842949,1,0,0,0,0,0
1,90,-.1289351,.0120652,-.0006125,-.0002469,-.0230227,.0538014,.522836,.1392928,.6096981,.4628537,.9413884,.5075899,0,0,0,0,0,0
2,90,-.0086981,.0880936,-.0075604,.0006394,-.8728303,-.3462432,.9505287,.1011516,.174729,.4662605,.1857742,.3406883,0,0,0,0,0,0
3,90,.094909,.0310502,-.0018358,-.0004972,-.065743,.0840178,.4493465,.036785,.3125504,.1032137,.7746242,.1658577,0,2,0,0,0,0
1,120,-.239046,.026227,-.0013269,-.0002233,-.0839439,.0525891,.3136559,.1508898,.4866007,.5265334,.7953354,.5478849,0,0,0,0,0,0
2,120,-.0680331,.0587323,-.0047078,.0002002,-.5522549,-.130254,.6756276,.2251199,.3274021,.7770572,.229698,.654974,0,0,0,0,0,0
3,120,-.081565,.0278148,-.0018984,-.0002682,-.0237915,.0516586,.6951787,.1652841,.4493969,.390241,.9370731,.4483815,0,0,0,0,0,0
1,150,-.1622766,.0289616,-.0014006,-.0002405,-.105682,.0543702,.4684865,.0947506,.4386785,.4879211,.7378535,.5308572,0,1,0,0,0,0
2,150,-.1047408,.0606601,-.0055346,.0002573,-.1293888,-.1402392,.4927368,.2228954,.2477331,.6536496,.7087481,.557896,0,0,0,0,0,0
3,150,-.025554,.0142749,-.0006582,-.0001864,-.0722716,.0365375,.7935035,.3234061,.7223053,.476162,.7689557,.5098583,0,0,0,0,0,0
1,180,-.1905096,.0242988,-.0008315,-.0003025,-.1632577,.0704127,.3902481,.0981769,.5919663,.4042141,.6062189,.4398961,0,1,0,0,0,0
2,180,.0739945,.0507583,-.004525,.0003856,-.0368448,-.1827528,.6469247,.3177219,.3203828,.4279177,.9044684,.3549541,0,0,0,0,0,0
3,180,-.1502298,.0156258,-.0012545,-.0000313,.0437223,.0075989,.2625534,.2673665,.4778329,.9029029,.8586115,.8927422,0,0,0,0,0,0
