gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1223783,.1072697,.0548515,.0006277,-50.74523,-1.759493,.1505684,.0776878,.0082574,.2518564,.0001445,.0996372,0,1,3,0,3,1
2,10,.0509113,.4014863,-.0401246,-.0046135,94.89278,-2.972961,.7494678,.0244262,.581863,.409758,.6706753,.9054799,0,2,0,0,0,0
3,10,-.1665168,.0685678,.0919086,-.0007997,-12.25481,.8432452,.0049299,.0479409,2.36e-06,.5466868,.2590909,.7069204,3,2,3,0,0,0
1,20,.0398462,.1272126,.0607174,.0003551,-38.5665,-1.317695,.2673509,.0150227,3.44e-07,.4953815,.0001732,.1581753,0,2,3,0,3,0
2,20,.1063448,.3581744,-.0602173,-.0015296,152.3634,-8.09459,.4990578,.0993524,.401508,.7414098,.4522087,.720253,0,1,0,0,0,0
3,20,-.114855,.1040446,.0791845,-.0008629,-9.172622,-.6350299,.086917,.023906,.0003993,.4948722,.3778554,.7438712,1,2,3,0,0,0
1,30,.028328,.0628773,.0579957,.0001266,-28.50241,-.6024575,.3049557,.2056149,3.19e-09,.7910278,.00024,.4367639,0,0,3,0,3,0
2,30,.1772454,.5204108,-.0901091,-.0022318,141.2018,-10.9561,.0949339,.0146371,.0873032,.4971325,.3697427,.5266604,1,2,1,0,0,0
3,30,-.0302732,.1190796,.0587127,-.0005726,-7.405233,-2.192272,.6482053,.0098311,.004537,.5546921,.3508206,.13099,0,3,3,0,0,0
1,60,.0300289,.116589,.033812,-.0001698,-5.548204,.0275232,.0963355,.0058088,1.21e-08,.4538235,.0317112,.9331145,1,3,3,0,2,0
2,60,.1599398,.1586604,-.0293945,-.0018639,-14.8181,2.087013,.0009894,.5707386,.2464155,.0723036,.7134737,.6386499,3,0,0,1,0,0
3,60,.1826071,.0263769,-.0035825,.0007044,3.843966,-2.859897,1.82e-07,.4369292,.7086052,.1166753,.3776805,.0011028,3,0,0,0,0,3
1,90,.0019858,.0925008,.0323839,-.0002609,1.142397,.256763,.8690665,.007127,9.26e-15,.0382334,.3864582,.1018035,0,3,3,2,0,0
2,90,.1442939,.2925317,-.0410473,-.0010441,-36.25545,5.232288,1.26e-08,.055567,.0017852,.0826537,.090225,.0310063,3,1,3,1,1,2
3,90,.1375776,-.0002027,.0036164,.0000185,1.628611,-1.325036,8.78e-09,.9940394,.5805191,.9377834,.5348632,.0093244,3,0,0,0,0,3
1,120,.0069809,.1030523,.0241464,-.0001713,2.496348,-.0178912,.204129,.0324414,1.41e-08,.0166513,.0217777,.8930487,0,2,3,2,2,0
2,120,.1292729,.1621065,-.0334686,-.0001439,-4.682505,.716267,6.63e-15,.2351184,.0066677,.7336814,.7542656,.7076252,3,0,3,0,0,0
3,120,.1357908,-.0375124,.0002549,.0000256,.7418762,-.9033762,7.86e-09,.1577192,.9701611,.8921327,.7106181,.0159196,3,0,0,0,0,2
1,150,.0001307,.1494789,.0187306,-.0001651,4.053159,-.0326093,.9713812,9.81e-07,8.15e-14,.005011,5.85e-06,.8067623,0,3,3,3,3,0
2,150,.1068034,.066099,-.0215974,.0006106,4.882471,-1.959766,4.47e-07,.7685472,.2131174,.2025141,.7704815,.3857664,3,0,0,0,0,0
3,150,.1188132,-.0414064,-.0004032,.0000875,.8116113,-.8715018,1.92e-06,.1625773,.9599803,.5648606,.6765811,.0081277,3,0,0,0,0,3
1,180,-.001698,.1496731,.0166869,-.0001519,4.817955,-.0242024,.5757701,1.20e-06,2.22e-12,.0199778,7.71e-07,.8752136,0,3,3,2,3,0
2,180,.1087168,-.041284,-.0130359,.0005743,-4.242595,-3.025381,3.51e-07,.8403718,.3675774,.1577252,.797142,.1423096,3,0,0,0,0,0
3,180,.0252242,-.08003,.0247322,.0000742,-1.724149,-.8980354,.28628,.0171946,.0042024,.6180127,.3706906,.0047191,0,2,3,0,0,3
