gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,-.044126,-.0253612,.0060826,.0004707,-6.594007,-.8572718,.7861477,.641914,.3072126,.3998832,.4707496,.4043747,0,0,0,0,0,0
2,10,1.663814,-.2334565,.0342604,.0001498,-8.172287,.4910727,.0332023,.6266506,.4396836,.9489411,.8755423,.9394864,2,0,0,0,0,0
3,10,-.4314666,.0613544,-.0045229,-.0005631,-1.402259,1.384072,.0421491,.271244,.5151462,.5667818,.7466425,.4747323,2,0,0,0,0,0
1,20,-.1224223,-.0294779,.0045918,.0001756,-4.781997,-.2917972,.5972842,.6006698,.3686689,.6980709,.4459367,.7088796,0,0,0,0,0,0
2,20,1.153196,-.0252726,.002137,.0009911,9.587003,-3.880312,.25763,.9343095,.9441233,.5523313,.810011,.4853963,0,0,0,0,0,0
3,20,-.3189036,.0382347,.0007999,.0003708,-9.060507,-.5390382,.3118333,.4340618,.8758379,.596832,.0000215,.6165024,0,0,0,0,3,0
1,30,-.2191997,-.0033492,.0044258,.0002855,-6.334513,-.3896798,.524681,.9440183,.3067703,.4479802,.3549638,.5668298,0,0,0,0,0,0
2,30,.5436854,.0031279,-.0064978,-.0000651,19.57619,.3904276,.6430919,.990722,.8093615,.9547694,.5393927,.9220765,0,0,0,0,0,0
3,30,-.1778373,.0204685,-.0003687,.0003984,-2.148251,-.8771186,.6417742,.6996158,.9400297,.4759614,.3672031,.4686108,0,0,0,0,0,0
1,60,.7998835,-.0347978,.0051709,.0001897,-4.494047,-.2811947,.347268,.4907901,.1567058,.2137469,.3736952,.2544705,0,0,0,0,0,0
2,60,-.5556989,-.063969,.0065492,-.0006169,-4.2387,2.536291,.4774304,.7387038,.7628051,.1668823,.6601422,.1673557,0,0,0,0,0,0
3,60,-.310744,.0005303,-.0003202,.0000754,.6549513,-.5436708,.0631045,.982074,.8957974,.8325256,.7062616,.6627276,1,0,0,0,0,0
1,90,.7751874,.0083971,.0015584,.000124,-2.673006,-.1336243,.3848759,.6537564,.4875029,.2216017,.428291,.3939093,0,0,0,0,0,0
2,90,-.8717084,-.0584386,.005673,-.0003031,-1.951882,1.150759,.2105496,.7884439,.798776,.3220145,.7384919,.3066464,0,0,0,0,0,0
3,90,-.7731771,.0225831,-.0017778,-.0000479,-.5320634,-.0464786,.3398081,.3327223,.3362359,.8936055,.7890894,.974042,0,0,0,0,0,0
1,120,.6655838,.0118284,.0001963,.0000934,-1.119941,-.1746487,.3721566,.6475073,.911522,.1604822,.5803632,.1564787,0,0,0,0,0,0
2,120,-.4612115,.0127612,-.0029322,-.0002964,2.746275,1.176003,.3768291,.9451583,.8692958,.206335,.5869567,.1630659,0,0,0,0,0,0
3,120,-.0343606,.0067938,-.0004455,-.0002514,-.1000809,.9669133,.870612,.7251814,.7629114,.2351082,.9162511,.1813449,0,0,0,0,0,0
1,150,-.0924613,.0139681,-.000667,.0000969,.1243325,-.1596341,.7016957,.6427743,.6849544,.0521387,.8847977,.0533041,0,0,0,1,0,1
2,150,.1169868,.0355912,-.0053173,-.0003108,5.215289,1.000938,.7756958,.8714108,.7877455,.3035989,.4838466,.4408065,0,0,0,0,0,0
3,150,.0738974,.0078573,-.0002426,-.0000697,-.7673672,.3229501,.7699495,.6959597,.8747821,.6585453,.2899742,.4051563,0,0,0,0,0,0
1,180,-.4105386,.0088161,-.0004009,.0000992,.2563942,-.1423736,.0085827,.7608969,.7843203,.0494898,.6887514,.1057293,3,0,0,2,0,0
2,180,.003186,.108198,-.0111162,-.000364,3.934313,1.208199,.9924209,.6717888,.6064594,.2421958,.6291239,.3840904,0,0,0,0,0,0
3,180,-.384938,.0133172,-.0006943,.0000332,-.5199914,-.0361163,.3289548,.608966,.6971019,.7928568,.2002552,.8673576,0,0,0,0,0,0
