gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0503433,.0742916,.0587713,-.002278,-6.925291,.5103886,.3245752,.0704427,4.91e-11,.0442844,.0002924,.1157887,0,1,3,2,3,0
2,10,.3075462,-.0637474,.0122361,-.0091069,-10.54004,2.257585,3.01e-09,.3817046,.2823151,2.08e-06,.0117072,.0035659,3,0,0,3,2,3
3,10,.0159882,.0941196,.0446182,-.0018855,-3.276625,-.4077382,.8527108,.0783302,.0033042,.2013672,.2318458,.5988953,0,1,3,0,0,0
1,20,.0803913,.0974114,.0447066,-.001081,-6.545383,.0383729,.0540153,.0060078,8.53e-10,.1574138,.0000196,.8393083,1,3,3,0,3,0
2,20,.2550273,-.1272125,.0279032,-.0070113,-10.15472,.7716184,9.08e-18,.0222687,.0011247,.000032,.0417959,.4304309,3,2,3,3,2,0
3,20,-.121805,.1565481,.0688395,-.0013303,-10.43241,-.347218,.0910836,.0027193,4.35e-08,.2881255,.010909,.7110275,1,3,3,0,2,0
1,30,.1217054,.0834709,.0325708,-.0017531,-6.510995,.1841003,.000165,.0072079,7.89e-09,.0073103,1.63e-06,.3088591,3,3,3,3,3,0
2,30,.1970296,-.1406814,.0355448,-.0065902,-6.079188,-.0263984,3.30e-14,.016205,3.59e-06,.0000122,.1309172,.9760559,3,2,3,3,0,0
3,30,-.0119031,.0658273,.0558919,-.0010347,-12.0551,.0941129,.8425182,.1695687,2.64e-07,.3394462,.0015053,.9136493,0,0,3,0,3,0
1,60,.0671332,.1634779,.0195077,-.0007644,-2.561253,-.100794,.0045827,1.57e-06,6.59e-06,.0940965,.0029895,.3646562,3,3,3,1,3,0
2,60,.2148222,-.0529319,.0000446,-.0029743,-4.676438,.1297158,9.25e-20,.3788415,.9946832,.0001537,.005239,.7477944,3,0,0,3,3,0
3,60,.4141394,-.1136231,-.0219744,-.0000106,-7.90306,-.0041167,3.77e-22,.0041131,.0019473,.9854295,.0003645,.9929439,3,3,3,0,3,0
1,90,-.0723463,.1915741,.0270063,.000348,-1.163183,-.2887131,.0011158,.0028892,8.47e-10,.4194765,.0643631,.012931,3,3,3,0,1,2
2,90,.1667235,.3929394,-.0517546,.0001526,-1.386847,-.359153,6.66e-27,1.24e-10,3.77e-15,.740874,.013828,.0953634,3,3,3,0,2,1
3,90,.340624,-.065965,-.025941,.0001364,-4.370909,-.0703658,4.52e-20,.0872891,.0000664,.6994392,.0000942,.7569521,3,1,3,0,3,0
1,120,-.1168241,.3139006,.0196746,.0004153,-.9413891,-.2714767,5.85e-09,.0002161,.0004019,.3464511,.101266,.0157583,3,3,3,0,0,2
2,120,.1501053,.333184,-.0437634,.0003156,-1.56554,-.2712736,1.71e-18,.0001485,1.08e-08,.4923734,.0050297,.1501258,3,3,3,0,3,0
3,120,.3407215,-.0474723,-.0337271,.0000655,-4.249998,-.0203427,4.10e-18,.27138,6.80e-06,.8493409,.0002236,.9298586,3,0,3,0,3,0
1,150,-.1484417,.4047107,.0145503,.0004039,-.6903613,-.2713071,1.31e-13,7.01e-16,.0004163,.2867905,.2130326,.0108386,3,3,3,0,0,2
2,150,.1729594,.3305247,-.0528714,.0001254,-1.350701,-.1847078,3.94e-17,.0009804,2.19e-09,.7704834,.0707752,.3247047,3,3,3,0,1,0
3,150,.3519815,-.0502374,-.0419533,.0001649,-3.167567,-.0214068,2.13e-18,.2986488,1.96e-06,.5814486,.0001861,.9043281,3,0,3,0,3,0
1,180,-.1927775,.4020509,.0190037,.0006057,-.603954,-.2908812,2.02e-18,2.62e-15,.0000116,.1236962,.2404757,.0144056,3,3,3,0,0,2
2,180,.150068,.6206282,-.0764781,.0004693,-.5537813,-.2258894,3.73e-15,3.20e-08,2.62e-14,.2469589,.4836012,.1693366,3,3,3,0,0,0
3,180,.3152245,.0129655,-.0446614,-.0000436,-2.656413,.032398,1.40e-12,.8216684,.0000254,.8765523,.0002449,.8341869,3,0,3,0,3,0
