gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1459787,.1719343,.0487371,.0006247,-5.438542,-.2726965,.0013058,.0000309,8.49e-08,.4702877,.0034823,.2677729,3,3,3,0,3,0
2,10,.270176,.1239979,-.0283273,-.0010918,-5.282667,.6508761,2.37e-06,.0939685,.1404575,.4245322,.0094224,.0568074,3,1,0,0,3,1
3,10,.044345,.1159519,.0712772,-.0045879,-11.89631,.5632601,.2855506,.0004607,4.33e-08,.0019669,.0000217,.2492513,0,3,3,3,3,0
1,20,.1237498,.1370658,.0445562,.0007823,-5.52923,-.1676927,.0000886,.0023715,2.49e-09,.205614,3.17e-06,.2838644,3,3,3,0,3,0
2,20,.1889972,.119128,-.0140413,-.0004407,-4.29517,.3910539,2.67e-10,.1004037,.194788,.6228975,.00098,.0526521,3,0,0,0,3,1
3,20,.1054155,.1156783,.0475295,-.001769,-9.076332,.0342148,.0003956,.0002065,8.65e-07,.0472428,4.20e-09,.903791,3,3,3,2,3,0
1,30,.0881037,.1015625,.0443426,.000958,-4.696354,-.2138985,.0007747,.0243859,1.02e-11,.059253,1.64e-06,.0960708,3,2,3,1,3,1
2,30,.1500852,.1640476,-.0096514,.0001353,-2.826624,.2741188,3.91e-11,.0143847,.3016606,.8688134,.0074832,.102282,3,2,0,0,3,0
3,30,.1383783,.0778855,.0276509,-.0011275,-5.736043,.014001,1.15e-06,.007494,.0013788,.1039584,1.78e-06,.9483562,3,3,3,0,3,0
1,60,-.0041967,.2197783,.0384774,.0001387,-3.186013,-.044243,.7734775,4.08e-06,9.64e-17,.6402526,4.56e-07,.5921966,0,3,3,0,3,0
2,60,.1287369,.3445129,-.0355745,-.0000657,-.8345906,.1818977,4.81e-12,.0000998,.0002036,.8961893,.0600195,.0432477,3,3,3,0,1,2
3,60,.1366962,.1158395,.0093564,-.0013346,-2.042336,.1187023,2.43e-11,.0000731,.1671455,.0011135,.01161,.2556571,3,3,0,3,2,0
1,90,-.0394132,.1682966,.0372178,.0000939,-2.149155,-.0320426,.0009626,.0140528,1.08e-12,.6810242,.0000344,.6132253,3,2,3,0,3,0
2,90,.1159701,.521859,-.0586435,-.0004647,-.4268928,.1386069,9.08e-17,6.30e-10,7.87e-11,.193677,.0892818,.0283208,3,3,3,0,1,2
3,90,.071093,.0497864,.0193328,-.0018187,-.8132231,.1996025,.0000182,.1109547,.0020367,3.65e-08,.1963391,.0068015,3,0,3,3,0,3
1,120,-.061191,.2457765,.0307697,.0002531,-1.717438,-.03096,2.62e-09,6.20e-06,2.11e-10,.1625838,.0000334,.5377191,3,3,3,0,3,0
2,120,.1195826,.4314864,-.0507408,.0000101,-.2802229,.0364674,5.47e-15,.0000885,5.96e-08,.9684369,.1263814,.4645963,3,3,3,0,0,0
3,120,.0193254,-.0684876,.0368778,-.0019288,-.7181271,.2418423,.2310409,.0650293,1.83e-07,1.29e-10,.2142467,.0002772,0,1,3,3,0,3
1,150,-.068944,.2946665,.0258206,.000389,-1.53133,-.0428464,2.86e-13,2.73e-23,4.03e-20,.0136246,.0000152,.3172567,3,3,3,2,3,0
2,150,.1296032,.3772958,-.0489141,.0001562,-.6500511,-.0812457,2.26e-15,.0049511,3.32e-06,.5227787,.0036615,.1538018,3,3,3,0,3,0
3,150,-.0115264,-.1572869,.0473555,-.0018289,-.5623143,.2521874,.4872019,.0000802,4.16e-10,3.12e-11,.2785304,.0000813,0,3,3,3,0,3
1,180,-.0756411,.2820299,.0258714,.0004695,-1.405484,-.0544017,1.15e-16,7.23e-23,1.86e-20,.0008818,.0000133,.1511626,3,3,3,3,3,0
2,180,.1132426,.457368,-.0517993,.0000916,-.4703993,-.0645877,1.09e-10,.0023403,1.43e-06,.70718,.060544,.2698047,3,3,3,0,1,0
3,180,-.0346491,-.2231604,.0529446,-.0015679,-.2469214,.2106455,.0566074,3.52e-07,8.26e-11,3.97e-08,.6502475,.0069123,1,3,3,3,0,3
