gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2937728,.0592708,.0401644,.0016113,37.10497,-1.933785,.1576538,.6399879,.0151235,.0143997,.3103597,.3432221,0,0,2,2,0,0
2,10,.3039491,-.0186944,.0681135,-.00084,143.2335,9.127286,.0000137,.7049877,8.65e-09,.0402133,.0364413,.0756319,3,0,3,2,2,1
3,10,.1199742,.0726018,.0716639,.0001962,25.82493,.9970052,.0021373,.030335,6.44e-18,.5272399,.5841192,.7664582,3,2,3,0,0,0
1,20,.2369236,.0741665,.0476848,.0022711,29.04691,-4.133853,.1179677,.6438543,.0002759,.022772,.4517485,.0331282,0,0,3,2,0,2
2,20,.254535,-.0619293,.073442,-.001225,149.3228,11.81322,.0001034,.3120191,4.91e-10,.0065867,.0359494,.0334013,3,0,3,3,2,2
3,20,.0640851,.063929,.0790494,.0001358,32.06372,1.236258,.1023553,.1685904,2.64e-18,.6654671,.4905213,.7140069,0,0,3,0,0,0
1,30,.1533047,.0862852,.0581049,.0022903,24.94889,-4.659666,.1994324,.6128316,.0000267,.0255129,.5376869,.0291257,0,0,3,2,0,2
2,30,.2438981,-.1051851,.076198,-.0011026,113.2264,10.5619,8.66e-08,.159086,6.30e-14,.0083398,.0762367,.0358182,3,0,3,3,1,2
3,30,-.0082879,.0143675,.0899893,.0000569,32.46043,1.406471,.8248113,.6684183,4.57e-24,.8560526,.4729346,.6684434,0,0,3,0,0,0
1,60,.0694742,.1186246,.0649959,.0022818,24.15665,-4.588926,.4162886,.673727,.0109694,.0269686,.488625,.0303186,0,0,2,2,0,2
2,60,.1719233,.122827,.0652077,-.0005681,80.78858,4.294884,2.01e-20,.0733161,2.06e-16,.0450932,.0393717,.184509,3,1,3,2,2,0
3,60,-.0671947,-.1555514,.1021937,.0000492,18.87613,.5253328,.017991,.001898,1.68e-34,.8198812,.5971773,.811409,2,3,3,0,0,0
1,90,.029539,.1329801,.0654689,.0022779,29.92842,-4.644893,.7388667,.7121681,.0467173,.0311534,.3543917,.0455203,0,0,2,2,0,2
2,90,.125614,.1345986,.0661647,-.0001691,53.27438,2.810342,5.67e-14,.0230499,2.53e-21,.4059333,.0874236,.2309391,3,2,3,0,1,0
3,90,-.1326739,-.0374378,.1006629,.0000345,33.69265,.2498749,9.73e-08,.4153531,0,.8475063,.2348019,.8853381,3,0,3,0,0,0
1,120,.0349818,.3748892,.0465474,.0022045,29.83504,-4.265326,.7882157,.4641488,.348444,.0311691,.3501776,.0665518,0,0,0,2,0,1
2,120,.1241415,.0894806,.0650986,-.0002552,26.42964,2.809181,3.29e-14,.1507939,1.87e-18,.1304439,.2715538,.1657122,3,0,3,0,0,0
3,120,-.207019,-.0802066,.1095682,-.0000757,37.48096,.2030164,6.77e-18,.2333016,1.46e-38,.6021686,.0927952,.88209,3,0,3,0,1,0
1,150,.1120818,.1335279,.0542676,.0023715,25.88588,-3.799469,.4482424,.8566394,.3844965,.0313513,.4790489,.1476996,0,0,0,2,0,0
2,150,.1360539,.1379674,.0567745,-.0002704,11.77899,3.283486,2.65e-14,.018463,2.82e-16,.1046459,.5676059,.1020498,3,2,3,0,0,0
3,150,-.2673256,-.0651798,.1144673,-.0001121,32.27893,.1837826,2.61e-27,.363503,0,.3163765,.0628844,.8634092,3,0,3,0,1,0
1,180,.1624659,.0094267,.053697,.0024627,28.29896,-3.391531,.0762865,.9902406,.3488967,.0269638,.4054096,.1752888,1,0,0,2,0,0
2,180,.1190902,.1526776,.0551493,-.000336,17.99335,4.551891,8.57e-10,.0090018,2.72e-16,.0870246,.4656339,.0475308,3,3,3,1,0,2
3,180,-.3161116,-.028716,.1163764,-.0002095,28.42523,.6227567,2.01e-38,.690675,0,.0176084,.0451839,.4641501,3,0,3,2,2,0
