gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.3227493,.1445984,.0358236,-.0031128,-5.202531,.2808972,1.69e-06,.0027763,.0017953,.0431836,.0108233,.3856431,3,3,3,2,2,0
2,10,.1949412,.2065197,-.003376,-.0105617,-5.56728,1.700933,5.22e-09,.0060779,.7865543,.0082955,.0702906,.0626356,3,3,0,3,1,1
3,10,.3720509,-.0084082,.004067,.002226,-2.361744,-.3947243,1.82e-11,.800799,.6777437,.0193637,.3339832,.1814612,3,0,0,2,0,0
1,20,.2909069,.2090086,.0209376,-.0033171,-3.669325,.3114511,1.17e-09,.00006,.0239331,.0045878,.0169979,.1949911,3,3,2,3,2,0
2,20,.1519807,.3084781,-.0183396,-.005281,-2.790304,.6860151,1.06e-10,.0000287,.0456842,.039374,.1071071,.2621649,3,3,2,2,0,0
3,20,.3151794,.0506113,.0004056,.0004198,-.0133676,-.1689943,1.04e-13,.1152849,.9567698,.5147352,.9920762,.3857946,3,0,0,0,0,0
1,30,.2480359,.1974411,.0201243,-.003589,-4.069017,.465537,2.22e-11,.0015789,.0084579,.0000341,.000705,.0087987,3,3,3,3,3,3
2,30,.1371915,.4579842,-.0291581,-.0049032,-2.994015,.5118029,1.71e-11,6.37e-10,.0014179,.0264364,.1361979,.3648208,3,3,3,2,0,0
3,30,.3062508,.1825547,-.0114774,.000271,.0836449,-.1834843,2.77e-16,5.29e-08,.0903364,.5887086,.9142888,.1627899,3,3,1,0,0,0
1,60,.1098694,.3279406,.0125521,-.0016255,-.6635625,.1786842,9.15e-07,4.86e-07,.0265867,.0001518,.2445238,.0329512,3,3,2,3,0,2
2,60,.1322596,.5849027,-.06221,.0026667,1.55096,-.9922377,5.43e-16,6.01e-11,2.32e-11,.0074278,.1551667,.0004032,3,3,3,3,0,3
3,60,.3370937,.3261911,-.0421744,-.0008127,1.548083,-.021686,1.14e-29,9.94e-19,2.61e-13,.005276,.0012867,.7155812,3,3,3,3,3,0
1,90,.0703533,.2432974,.0164549,-.0010266,-.5771478,.1317859,.0000758,.0115348,.0062629,.0013864,.1810728,.0340993,3,2,3,3,0,2
2,90,.122393,.6750484,-.0687483,.0034275,1.060664,-1.068544,2.78e-15,2.91e-12,6.37e-13,.0000536,.2088154,.0000238,3,3,3,3,0,3
3,90,.3605129,.2604425,-.0530248,-.0000797,1.420855,-.0671988,7.27e-37,3.85e-13,9.00e-21,.7267653,.0005912,.1899227,3,3,3,0,3,0
1,120,.0497598,.3353914,.0087912,-.0008589,-.5890076,.1243847,.0011623,.0000762,.2469713,.0029691,.1573483,.0382004,3,3,0,3,0,2
2,120,.0733638,.7055137,-.0642303,.0035925,2.855495,-.9688334,4.58e-06,2.39e-11,3.66e-11,.0000205,.0052772,.0002367,3,3,3,3,3,3
3,120,.3615337,.25726,-.0580902,.0002481,1.238389,-.0932513,1.83e-36,4.57e-11,9.42e-20,.3424231,.0024131,.2051737,3,3,3,0,3,0
1,150,.0473216,.4401275,-.0027297,-.0004355,-.3006077,.0709332,.0004238,2.44e-26,.3936294,.0943484,.4192119,.1660212,3,3,0,1,0,0
2,150,.005625,.8992315,-.0685634,.0029446,4.29724,-.6330708,.6472917,4.58e-15,1.57e-13,.0000266,.0000461,.0038592,0,3,3,3,3,3
3,150,.3910305,.3502489,-.0752954,.0001525,1.147617,-.0341993,1.97e-33,1.42e-13,3.07e-20,.5256237,.006976,.5814442,3,3,3,0,3,0
1,180,.0601041,.4774862,-.0111402,-.0002107,.1422014,.021719,2.75e-07,1.68e-28,.000258,.3630225,.6774356,.6378363,3,3,3,0,0,0
2,180,-.0206991,.8583744,-.0570063,.0026892,4.836749,-.4939689,.0690419,1.17e-11,1.95e-09,.000022,.0000141,.0142355,1,3,3,3,3,2
3,180,.3709304,.3539037,-.0724945,.0001689,.4686283,-.0036271,4.36e-24,4.40e-12,1.31e-14,.4317468,.1923385,.9397454,3,3,3,0,0,0
