gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2168564,.0683313,.0615927,-.0018813,-33.2409,1.891858,.0008766,.1614404,5.72e-07,.0004794,.0005355,.0034871,3,0,3,3,3,3
2,10,.2368259,.1261566,-.0399564,.0018672,194.4648,-9.48859,.0007682,.1474294,.1281387,.5210093,.0947316,.3607213,3,0,0,0,1,0
3,10,.048966,.0827316,.1138714,-.0007347,-106.5028,-8.075736,.5292878,.0800254,4.05e-08,.7795756,.0359431,.3460357,0,1,3,0,2,0
1,20,.1192783,.1278036,.0484557,-.0018025,-17.79646,1.509378,.0027568,.006374,1.64e-08,4.58e-06,.001804,.0004341,3,3,3,3,3,3
2,20,.2086627,.0158149,-.0332665,.0008604,195.1576,-7.491267,.0001062,.8249996,.0865508,.7243782,.0188548,.3688766,3,0,1,0,2,0
3,20,.0009102,.1131876,.0861426,-.001079,-40.17045,-3.903337,.9893546,.0412519,9.73e-07,.5368204,.2682023,.4816544,0,2,3,0,0,0
1,30,.1350413,.0814094,.0335002,-.0012685,-13.51544,1.20757,.0002984,.032975,6.25e-06,.0001522,.0011524,.0004705,3,2,3,3,3,3
2,30,.1599466,-.0211307,-.0081121,-.0009894,126.7998,1.21394,5.12e-06,.7818781,.5843875,.6083084,.0141714,.8384485,3,0,0,0,2,0
3,30,.1209915,.0517119,.0466655,-.0009085,-6.153488,-1.072033,.0074496,.3094866,.000305,.4242772,.8017871,.7550185,3,0,3,0,0,0
1,60,.1084734,.1423067,.0169167,-.0000418,-.9223405,.2696252,6.64e-06,.0012732,.0006943,.8166508,.6417477,.1396386,3,3,3,0,0,0
2,60,.1220258,.1414835,-.0011913,-.0026856,54.07737,3.741084,6.31e-09,.0707116,.9399413,.0773898,.1675394,.4174559,3,1,0,1,0,0
3,60,.203529,.1158267,.0048106,.000048,11.89877,-.7536955,9.28e-12,.0006958,.4978918,.9383247,.3169748,.698797,3,3,0,0,0,0
1,90,.0576476,.1443587,.0154118,.0003861,2.709819,-.0012623,.0026258,.0041207,.0002159,.0055978,.09815,.9929064,3,3,3,3,1,0
2,90,.098084,.5288659,-.0475781,-.0011825,73.89756,-2.112797,1.70e-06,2.99e-09,.0043956,.4246049,.0297504,.6202847,3,3,3,0,2,0
3,90,.250034,.1222437,-.0149806,.0003497,4.044466,-.8973388,8.56e-10,.0003335,.0868625,.461513,.6717473,.5524647,3,3,1,0,0,0
1,120,.016748,.2513166,.0091186,.0004995,5.030286,-.1200838,.2679221,.0006383,.1083877,.0000418,.0003939,.3312049,0,3,0,3,3,0
2,120,.1071579,.4045131,-.0429842,-.0013734,83.0337,-1.199543,2.06e-08,.0025602,.0380234,.3476249,.0124103,.7677418,3,3,2,0,2,0
3,120,.3042193,.1295607,-.0370719,.0006959,11.54235,-1.744475,9.44e-13,.0001585,.0000751,.0846223,.148303,.18279,3,3,3,1,0,0
1,150,-.0027015,.3540293,.0012488,.0004978,7.119609,-.1380963,.8558092,6.74e-16,.73187,.0000643,1.03e-06,.2768953,0,3,0,3,3,0
2,150,.098868,.500968,-.0519591,-.0014475,80.53609,-.6050174,.0000357,.0003049,.0101302,.313219,.0143024,.8793136,3,3,2,0,2,0
3,150,.203406,.0838997,-.0172114,.0007749,15.97836,-1.762065,7.88e-07,.017734,.0763783,.046869,.0358494,.1630825,3,2,1,2,2,0
1,180,-.0072663,.3575344,-.0011361,.0005468,8.384502,-.2182267,.6135659,3.73e-18,.7415334,2.04e-06,1.12e-08,.0585108,0,3,0,3,3,1
2,180,.1121263,.7224039,-.0730899,-.0019104,67.49879,.6852382,8.38e-06,3.90e-06,.000557,.1803149,.0415515,.8633728,3,3,3,0,2,0
3,180,.1065385,.0314866,.0026142,.0007488,20.6442,-1.405019,.0241638,.3916605,.8199785,.0356993,.0051106,.2298739,2,0,0,2,3,0
