gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.193043,.2068447,.0607288,-.0015462,-30.76627,1.305393,.0000146,9.71e-07,2.06e-09,.0046057,3.44e-08,.0107976,3,3,3,3,3,2
2,10,.1927749,.2313795,.0224759,-.0039232,-64.4436,3.523902,.0000402,.0016542,.0920388,.0679276,.000027,.1744609,3,3,1,1,3,0
3,10,.0815842,.1063364,.0697412,-.001707,-23.69421,1.070078,.1896253,.0081226,.0000125,.104331,.0010602,.2224052,0,3,3,0,3,0
1,20,.1771307,.1951776,.0415927,-.0010045,-26.09645,.9657279,2.38e-06,.0000103,2.69e-06,.0126186,3.40e-10,.0057557,3,3,3,2,3,3
2,20,.1679462,.1656107,.0238356,-.0032617,-49.87199,2.013046,3.52e-11,.0326918,.0040274,.017389,2.46e-06,.214397,3,2,3,2,3,0
3,20,.1837156,.094577,.038591,-.0025467,-21.24765,1.316093,.0000284,.0079466,.0004881,.0015422,.0004732,.0809113,3,3,3,3,3,1
1,30,.160112,.0563375,.0383477,-.0006588,-20.77222,.5053409,8.22e-08,.2985513,1.59e-08,.0302606,8.41e-08,.0654353,3,0,3,2,3,1
2,30,.1266583,.1534964,.0197613,-.0015168,-22.1903,-1.006387,3.72e-06,.0769673,.0265551,.1663679,.0113971,.4569022,3,1,2,0,2,0
3,30,.1816019,.0135726,.0343876,-.0013204,-12.76489,.2226152,.0000103,.6991221,.0005484,.0307375,.0001229,.6505116,3,0,3,2,3,0
1,60,.1437515,.1346883,.014609,-.0002031,-6.691573,-.0068508,1.71e-15,.0080616,.0000945,.1936926,1.35e-06,.953383,3,3,3,0,3,0
2,60,.1441633,.1700544,-.0108116,-.0012127,-3.704035,-.4804006,2.91e-18,.1367447,.3051153,.0367568,.3195364,.4499294,3,0,0,2,0,0
3,60,.3489575,.0495822,-.0292843,-.0011397,-5.316384,.196875,3.84e-26,.0446057,.0000855,.0028935,.0510652,.5985993,3,2,3,3,1,0
1,90,.1199488,.1345297,.0069509,.0000525,-1.707315,-.2699975,1.82e-18,.0066514,.0293245,.6970142,.0401201,.0093373,3,3,2,0,2,3
2,90,.1172308,.483995,-.0447404,-.0001231,1.018769,-.5258734,6.20e-20,.00007,.0000704,.8030207,.7455695,.3728318,3,3,3,0,0,0
3,90,.2623459,.0510666,-.0233649,-.0006316,-.3463487,-.0072814,5.65e-25,.0747268,.0000314,.0559978,.8800201,.982276,3,1,3,1,0,0
1,120,.1092843,.2413911,-.0039877,.0001671,-.4715068,-.2890318,8.15e-19,.0005014,.4503735,.1461688,.4587173,.0002993,3,3,0,0,0,3
2,120,.0983201,.4335936,-.0352746,-.0002109,2.096162,-.7298143,7.28e-14,.0009448,.0015705,.6873186,.6080106,.3191086,3,3,3,0,0,0
3,120,.2508733,.0286588,-.0257237,-.0004855,.2134942,-.0296218,1.41e-25,.346555,1.36e-06,.1486348,.9315715,.9309731,3,0,3,0,0,0
1,150,.1271878,.377222,-.021372,.0003201,.4539463,-.2854243,3.84e-24,2.36e-27,1.49e-13,.0005137,.378729,1.86e-06,3,3,3,3,0,3
2,150,.0981252,.3897941,-.0353349,.0001631,5.001834,-1.21559,6.14e-15,.0028964,.000833,.7431593,.152456,.067743,3,3,3,0,0,1
3,150,.2942977,.041279,-.0425903,-.0004226,.7104991,.0142795,1.84e-26,.1931031,3.82e-10,.1747568,.7619534,.9644418,3,0,3,0,0,0
1,180,.1410544,.3867476,-.0281635,.000465,1.149513,-.3889087,2.57e-29,9.11e-32,3.41e-20,.0000276,.0276171,.0000165,3,3,3,3,2,3
2,180,.0917523,.4365255,-.0431914,.0007174,11.06239,-1.749941,1.25e-13,.0016071,.0000355,.1526638,.0019616,.0064681,3,3,3,0,3,3
3,180,.2816585,.0808411,-.0474223,-.0003323,1.625348,-.0345829,4.47e-21,.0208837,1.64e-09,.2094315,.4128946,.8965678,3,2,3,0,0,0
