gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1500518,.0808253,.0449721,-.0004051,.2038417,-.2628414,.0013952,.008738,.0000152,.5875624,.8057131,.0302291,3,3,3,0,0,2
2,10,.375116,.2453189,-.0078737,-.0001197,-3.884434,.0228729,1.96e-14,9.77e-06,.5187091,.9725105,.000013,.926591,3,3,0,0,3,0
3,10,.2023221,.2025449,.0175624,.0008403,.1868381,.1357734,2.25e-07,4.25e-08,.1101592,.765956,.8212788,.532462,3,3,0,0,0,0
1,20,.1367689,.0660141,.0368145,-.0004837,-.0805208,-.2454864,1.50e-06,.0853644,4.84e-07,.3605896,.8818225,.002072,3,1,3,0,0,3
2,20,.2970414,.2131432,.0028468,.0001907,-2.880749,-.0618266,2.02e-17,.0000745,.7419193,.941608,2.61e-08,.7562177,3,3,0,0,3,0
3,20,.1597089,.2386948,.0335365,.0002785,-.2562167,.0008528,4.74e-08,3.39e-13,5.79e-06,.8648198,.5368347,.9945199,3,3,3,0,0,0
1,30,.1324121,.0602359,.0261237,.0000241,.5957912,-.288641,7.80e-08,.1761623,.0000239,.9555593,.1576471,.0000146,3,0,3,0,0,3
2,30,.188441,.2171785,.0089376,.0042813,-1.170758,-.4580608,6.30e-15,.0001432,.2169422,.0465215,.0255228,.0092642,3,3,0,2,2,3
3,30,.1469818,.2418953,.0402619,.0011084,-.6740688,-.0554835,6.53e-10,2.74e-15,2.48e-11,.3754216,.0127822,.5616002,3,3,3,0,2,0
1,60,.0018402,.1943689,.0339361,-.0002461,.4101477,-.1296154,.4355788,.0000754,2.10e-14,.3869376,.1123042,.0036656,0,3,3,0,0,3
2,60,.152932,.3412062,-.0154809,.0028844,-.6007061,-.3212721,3.27e-16,6.46e-08,.0152133,.0149029,.064993,.0015788,3,3,2,2,1,3
3,60,.105875,.3195897,.0288339,-.0005073,-.2287019,-.0389679,1.04e-18,2.03e-29,2.06e-16,.383163,.0831803,.3735679,3,3,3,0,1,0
1,90,-.0016286,.1843136,.0269972,-.0003435,.2996763,-.0640543,.5087906,.0129351,1.06e-10,.1045969,.2841013,.050571,0,2,3,0,0,1
2,90,.1472464,.4138102,-.0381765,.0039461,-.0641492,-.3020714,6.97e-26,2.69e-10,1.14e-09,5.00e-06,.8163334,.0000608,3,3,3,3,0,3
3,90,.1033428,.2791801,.0199388,-.0008692,-.0286123,-.0055276,7.99e-22,4.78e-25,5.92e-11,.0783601,.7553329,.8877473,3,3,3,1,0,0
1,120,-.0040116,.3103434,.0159313,-.0003179,-.0710878,-.0384044,.2484431,.0005472,.0013336,.0856631,.7835838,.1860425,0,3,3,1,0,0
2,120,.1179889,.3438108,-.0336311,.0040055,.4508853,-.2701735,4.99e-15,.0000529,3.63e-06,.0000108,.1358002,.0010924,3,3,3,3,0,3
3,120,.1016596,.2729728,.0124052,-.0003388,.0682193,-.0363368,1.59e-23,3.49e-23,.000012,.4866074,.3775161,.3751965,3,3,3,0,0,0
1,150,-.0022696,.4380138,.0071252,-.0003548,-.4479219,-.0068345,.2452641,1.24e-34,1.11e-06,.0162198,.0051357,.7553484,0,3,3,2,3,0
2,150,.0633427,.4860205,-.0372151,.0031422,.7431397,-.209292,.0002401,3.64e-06,8.98e-07,.0017558,.0319363,.0244371,3,3,3,3,2,2
3,150,.0873005,.2838447,.0109856,-.0007475,.0768426,-.0061617,4.48e-21,9.97e-25,.0001063,.0644185,.1966941,.8547761,3,3,3,1,0,0
1,180,-.0012445,.4439365,.0046686,-.0002322,-.4508978,-.0010903,.5016033,0,.0001536,.053904,.0007205,.95116,0,3,3,1,3,0
2,180,.018255,.5867192,-.0354602,.0024348,.9293695,-.1674048,.2914693,1.40e-07,2.29e-06,.0111079,.0060681,.066671,0,3,3,2,3,1
3,180,.0865261,.2960693,.0064605,-.0006256,.1023781,-.0070524,2.39e-21,3.73e-25,.0240668,.0291519,.0849541,.7469534,3,3,2,2,1,0
