gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,-.0265041,-.8810702,.0693111,.00092,0,0,.9236237,.0364814,.0447456,.5902258,,,0,2,2,0,0,0
2,10,-.0446095,.0185289,.0022518,.0001392,-3808.344,-283.0276,.8266579,.9235263,.9010258,.8737954,4.23e-14,8.99e-21,0,0,0,0,3,3
3,10,.129229,.0238167,-.0004608,-.0004078,-2207.542,0,.3186339,.8196394,.9567088,.3526589,1.44e-25,,0,0,0,0,3,0
1,20,-.336191,-.9064073,.0627702,.0002752,0,0,.4854226,.0674305,.1061213,.8682731,,,0,1,0,0,0,0
2,20,.0302538,-.0387437,.0038516,-.0000722,-2441.851,-176.3184,.9135796,.8647376,.8246475,.9205767,7.29e-08,4.78e-13,0,0,0,0,3,3
3,20,.2823892,.0349556,-.000685,-.0004372,-2329.859,0,.1737366,.7497216,.9264886,.2798698,3.38e-20,,0,0,0,0,3,0
1,30,.1563843,-.5905487,.042015,.0004538,0,0,.7758533,.2091043,.3028958,.7785755,,,0,0,0,0,0,0
2,30,-.4829601,-.2869599,.0139414,-.0005462,-535.8708,-39.97452,.3077898,.2894826,.4610533,.4182347,.2227814,.0820684,0,0,0,0,0,1
3,30,.4707679,.0364654,-.0008915,-.0004116,-2323.802,0,.1951318,.4274636,.8717211,.2654366,1.14e-14,,0,0,0,0,3,0
1,60,-.3383052,.418549,-.0310938,.0001313,0,0,.5286469,.5107694,.5527734,.8982779,,,0,0,0,0,0,0
2,60,-.7284454,-.0604648,.0024332,-.0002337,135.7195,7.934237,.4391265,.8207911,.8826978,.6559845,.7509454,.6817758,0,0,0,0,0,0
3,60,.9199951,.0731537,-.0032138,-.000274,-2030.798,0,.1456931,.6371279,.6918719,.2951172,3.46e-14,,0,0,0,0,3,0
1,90,-.3902576,.5545027,-.0395699,.0003495,0,0,.4797397,.5099558,.5347017,.6288502,,,0,0,0,0,0,0
2,90,-.1240264,-.0020785,.0000122,-.0000314,39.18396,13.61535,.9017723,.9937112,.9994189,.9379047,.8941067,.2890218,0,0,0,0,0,0
3,90,.7189516,.073953,-.0034312,-.0000918,-1354.126,0,.237996,.0039327,.2957601,.5775302,1.12e-13,,0,3,0,0,3,0
1,120,1.046747,.1466436,-.007558,.0005265,0,0,.6405939,.9139481,.9393362,.5140873,,,0,0,0,0,0,0
2,120,-.9174429,.1094394,-.0082317,.0000931,197.2252,15.97342,.2565205,.6498048,.6154671,.7337177,.3289127,.0869841,0,0,0,0,0,1
3,120,1.26906,.0971932,-.0053058,-.0001282,-980.8984,0,.0034477,.5412439,.5927311,.3057005,2.20e-18,,3,0,0,0,3,0
1,150,-1.500875,.5160269,-.0303726,.0001756,0,0,.5210463,.7342848,.7724507,.8337007,,,0,0,0,0,0,0
2,150,.1829154,.0003177,.0003539,.0001116,-126.9359,-4.372524,.8058059,.9987422,.978339,.6357745,.4998094,.6549756,0,0,0,0,0,0
3,150,1.001269,-.0822291,.0045679,-.0000717,-421.4577,0,.0019051,.6886874,.7226226,.5106506,8.17e-15,,3,0,0,0,3,0
1,180,-1.96046,1.247871,-.0773297,.0001397,0,0,.2258678,.3791378,.3991154,.8498361,,,0,0,0,0,0,0
2,180,.48419,.0724657,-.0041735,.0001331,-291.3293,-18.87362,.5232913,.6721647,.6904296,.5233563,.2007465,.0967632,0,0,0,0,0,1
3,180,.6297654,-.1878006,.0100613,-.0000648,22.60087,0,.037685,.346752,.3926868,.5393222,.4601864,,2,0,0,0,0,0
