gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0881756,-.0368861,-.0520042,-.003155,-52.37465,4.966246,.0001119,.6595176,.0014268,.1212678,7.79e-06,.0065894,3,0,3,0,3,3
2,10,-.0240267,-.1753791,.0152344,-.0102122,-.3244947,-.0108462,.277943,.1283409,.4688083,.0010649,.6109062,.9390582,0,0,0,3,0,0
3,10,.0338592,-.1002524,.0602192,-.0031183,-2.537061,.5267775,.0074046,.0002732,3.38e-09,.0015439,1.19e-07,.0035749,3,3,3,3,3,3
1,20,.1713562,.038095,-.1261259,-.0008507,-44.70691,3.381949,.0035267,.7115646,.0007654,.7689886,.0000239,.0693606,3,0,3,0,3,1
2,20,-.0000364,-.0055558,-.001121,-.0080974,-.8655373,.1114312,.9993607,.9723923,.9730473,.0041616,.1171064,.3431373,0,0,0,3,0,0
3,20,.0307697,-.0683976,.0469296,-.0019185,-2.402799,.2984569,.000575,.0013794,9.82e-10,.0034946,4.12e-13,.0182011,3,3,3,3,3,2
1,30,.1367336,.0175139,-.1016733,-.00325,-37.39404,3.351036,.0010191,.8696954,5.81e-06,.0468738,.0000115,.0146262,3,0,3,2,3,2
2,30,.0042586,.1451346,-.0561528,.0023959,.501206,-.1919693,.8839284,.471307,.2229098,.6996838,.4553321,.3270145,0,0,0,0,0,0
3,30,.0527739,-.0468512,.024084,-.0018248,-2.132057,.2181414,2.84e-09,.0155661,.000296,.0008633,1.31e-14,.0382562,3,2,3,3,3,2
1,60,.0701821,.1429518,-.0728829,-.0013244,-20.44588,2.073841,1.75e-09,.231591,1.21e-08,.2654438,1.28e-06,.0035403,3,0,3,0,3,3
2,60,.0155317,.1352628,-.0104416,.0055164,-.5331311,-.171955,.8640294,.406281,.8428475,.2379733,.4271861,.2133391,0,0,0,0,0,0
3,60,.0664144,.0047405,.0008094,-.0013488,-1.696328,.1365704,1.12e-14,.8088601,.8906795,.0018748,2.52e-15,.109518,3,0,0,3,3,0
1,90,.028732,-.1338369,-.0245454,-.0013219,-15.35684,1.9575,4.56e-06,.3210566,.0407909,.0880099,1.87e-07,.0002254,3,0,2,1,3,3
2,90,.0683645,-.0395753,-.0563181,.0036029,-.2537422,-.0989631,.4239001,.6251049,.4132707,.3059082,.4498925,.2523344,0,0,0,0,0,0
3,90,.0715921,.0487706,-.0133401,-.0005489,-1.258228,.0552734,2.38e-22,.0082724,.0047723,.0872484,4.04e-15,.3954766,3,3,3,1,3,0
1,120,.0186275,-.0517598,-.0230448,-.0007807,-11.89779,1.536615,.0000123,.6415296,.0186674,.1368038,7.41e-08,.000109,3,0,2,0,3,3
2,120,.0182085,-.3326313,.0013096,-.0002104,-.1163079,-.0015508,.8650892,.1025029,.9896601,.8585457,.3061312,.9667333,0,0,0,0,0,0
3,120,.0648794,.0545172,-.0125622,-.0001046,-1.204719,.0361094,5.32e-21,.0435056,.0043647,.7418633,2.32e-14,.5883086,3,2,3,0,3,0
1,150,.0263239,.1364115,-.0388885,-.0006049,-9.794211,1.253396,1.23e-10,.1791631,7.93e-06,.1912746,5.81e-07,.0002072,3,0,3,0,3,3
2,150,.0546169,-.3514902,-.0275102,-.0003161,-.1232845,.0092322,.6376186,.0000422,.7921712,.6675575,.1169456,.7407655,0,3,0,0,0,0
3,150,.0642718,.0878162,-.0166109,.0000712,-1.226411,.0558072,6.97e-21,.0004346,.0001159,.8366624,7.23e-15,.4413473,3,3,3,0,3,0
1,180,.0346961,.1886884,-.044395,-.0002925,-5.921531,.5447393,5.93e-17,.0663789,7.54e-08,.4680324,.0000965,.0521826,3,1,3,0,3,1
2,180,.0718093,-.4368902,-.0356079,-.0002012,-.2043271,.0235369,.0178324,.0176979,.2556949,.7978276,.035101,.3775837,2,2,0,0,2,0
3,180,.0587655,.1120321,-.0162604,.0002948,-1.224288,.0353656,3.13e-16,.0000914,.0000908,.3770507,2.46e-14,.6152494,3,3,3,0,3,0
