gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.117116,.1182429,.0404801,-.0034136,-1.31745,-.1340504,1.05e-07,.0005421,4.19e-10,.0000215,3.37e-07,.0360076,3,3,3,3,3,2
2,10,.2325098,.2005248,-.0340005,-.0090466,-2.723418,.2106069,9.34e-21,.0020011,.0018126,.0121596,6.71e-13,.2578467,3,3,3,2,3,0
3,10,.1078857,.0918957,.0208247,-.0021006,-.2359823,-.1375979,6.22e-07,.0002068,.0073966,.4487551,.1851778,.1060516,3,3,3,0,0,0
1,20,.0857266,.1025431,.0376585,-.0023623,-.9512036,-.1480323,9.06e-12,.0012839,3.25e-16,.0000534,4.41e-11,.0003172,3,3,3,3,3,3
2,20,.1974607,.1711014,-.0326267,-.0079644,-1.887599,.120766,1.40e-35,.00087,.0000105,.0000429,1.29e-15,.2195536,3,3,3,3,3,0
3,20,.0927346,.1066468,.0108225,-.0019529,.0608726,-.1129686,1.43e-08,1.72e-06,.0655748,.2367087,.6131454,.0319745,3,3,1,0,0,2
1,30,.0618327,.0928827,.0359037,-.0012033,-.7165546,-.151145,1.08e-10,.0062063,5.02e-19,.0013698,2.72e-09,3.83e-06,3,3,3,3,3,3
2,30,.179286,.1965851,-.040716,-.0061172,-1.270952,.0900346,0,.0000117,6.32e-11,.000055,3.94e-11,.2763216,3,3,3,3,3,0
3,30,.1003638,.1065083,.0009008,-.0008946,.0831803,-.1136285,6.67e-11,.0000235,.8503085,.5045946,.4444739,.0077988,3,3,0,0,0,3
1,60,.0287392,.1451538,.0284743,3.64e-06,-.4562081,-.1371388,4.10e-07,2.04e-07,2.98e-23,.983274,8.39e-10,2.96e-10,3,3,3,0,3,3
2,60,.1650152,.2081436,-.049093,-.005106,-.8403508,.1272772,2.68e-30,.0003781,3.22e-13,.0000485,9.72e-13,.0098948,3,3,3,3,3,3
3,60,.1202017,.000516,-.0052273,.000758,-.078676,-.1312769,1.13e-21,.9830504,.1570586,.38032,.2948549,3.55e-06,3,0,0,0,0,3
1,90,.0185227,.0932889,.0265003,.0002565,-.3463218,-.1170121,.0003882,.035358,3.17e-14,.0365798,5.92e-09,4.05e-11,3,2,3,2,3,3
2,90,.1482227,.3528459,-.0631649,-.0038182,-.7232604,.1279589,1.57e-30,4.59e-07,3.89e-14,.0004939,5.74e-17,.0018797,3,3,3,3,3,3
3,90,.1164628,-.0946668,-.0016665,.0014362,-.1237412,-.1108373,5.33e-27,.0000501,.5816317,.0304667,.0202401,1.03e-07,3,3,0,2,2,3
1,120,.0152781,.1473601,.0193403,.0003307,-.2976368,-.1045326,.0023419,.0004841,1.19e-06,.0015675,1.80e-10,1.59e-11,3,3,3,3,3,3
2,120,.1431629,.2720169,-.0563461,-.0036048,-.4708034,.1434559,2.55e-22,.0027684,9.51e-10,.002478,2.16e-12,.0001565,3,3,3,3,3,3
3,120,.1043473,-.1393088,.0034605,.0012951,-.1657838,-.0849762,1.75e-29,9.62e-10,.1843874,.0178063,.0001377,2.09e-07,3,3,0,2,3,3
1,150,.0152292,.1677222,.0148762,.0003901,-.2829371,-.0893958,.0006237,4.26e-14,4.96e-09,.0000466,4.97e-11,1.58e-10,3,3,3,3,3,3
2,150,.1265822,.2703084,-.0518078,-.0035848,-.3060797,.1263783,3.06e-13,.0206125,3.53e-08,.0019081,1.14e-06,.000672,3,2,3,3,3,3
3,150,.102907,-.1313175,.0007094,.0013827,-.1818747,-.0746818,3.06e-32,1.25e-08,.7764432,.0012966,6.89e-07,1.09e-08,3,3,0,3,3,3
1,180,.0154411,.1614324,.0128906,.0004435,-.2603847,-.0784026,.0006433,7.35e-14,3.96e-07,6.57e-07,1.03e-10,8.54e-10,3,3,3,3,3,3
2,180,.127661,.2161463,-.0448099,-.0042254,-.5093242,.1432662,1.07e-11,.083494,3.66e-07,.0000525,3.74e-08,.0042155,3,1,3,3,3,3
3,180,.0951297,-.1219216,-.0008073,.0013728,-.1497293,-.0661083,1.31e-36,3.76e-10,.7255961,.0001762,6.14e-07,1.33e-09,3,3,0,3,3,3
