gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1745927,.6042153,.0465233,-.0013733,-1.833768,.1847886,.0000763,9.26e-33,.0000164,.2130808,.1348281,.3162018,3,3,3,0,0,0
2,10,.1132971,.6239275,.0445829,.0072515,-.1814591,-.4557061,.0098275,8.80e-26,.0116396,.0540338,.880671,.1016836,3,3,2,1,0,0
3,10,.0388888,.8504761,.005734,.0011045,.3909074,-.0563504,.3823428,0,.6756251,.7551418,.595638,.7094651,0,3,0,0,0,0
1,20,.1386862,.5727958,.0421067,-.0004926,-1.173264,.0740425,6.04e-07,1.10e-27,1.89e-06,.5636749,.2328579,.5939259,3,3,3,0,0,0
2,20,.0885054,.5109429,.0574438,.0026641,-.2377056,-.1841577,.0000803,3.29e-26,5.79e-08,.2304434,.7254663,.2447987,3,3,3,0,0,0
3,20,-.0195541,.7668783,.0129247,.0019336,1.056251,-.0726326,.5144585,0,.1599256,.4104126,.0409131,.4705741,0,3,0,0,2,0
1,30,.1142422,.4226842,.0416396,-.0006288,-.0064271,.0613282,6.89e-08,.000042,7.55e-08,.3117673,.9935494,.5458283,3,3,3,0,0,0
2,30,.0543549,.4861305,.0767543,-.0015779,-1.181265,.0832473,.0031667,5.59e-28,1.41e-15,.3490588,.0247598,.508314,3,3,3,0,2,0
3,30,-.0535584,.7241433,.0229244,.0017701,1.053025,-.0714846,.0236446,0,.0008384,.3010002,.0106625,.3393867,2,3,3,0,2,0
1,60,.0204918,.4343118,.0533951,-.0010556,-.1524404,.0954095,.1288768,2.53e-17,3.21e-21,.0086051,.7416777,.1324049,0,3,3,3,0,0
2,60,.0305045,.5703707,.0650903,-.0034762,-1.772862,.2498615,.0020705,1.33e-34,1.27e-25,.0000785,1.15e-08,.0001095,3,3,3,3,3,3
3,60,-.0546602,.766022,.0335133,-.0005044,.3163963,.0159125,4.31e-06,0,8.02e-19,.5141789,.0753354,.630891,3,3,3,0,1,0
1,90,.0054256,.2283323,.0621877,-.0006202,.0160667,.0486169,.3542911,.0119702,1.16e-24,.0157443,.9678123,.2154747,0,2,3,2,0,0
2,90,.0398096,.6047643,.0455254,-.0031751,-1.534396,.2449154,8.10e-09,4.47e-36,5.16e-20,1.12e-07,1.62e-11,6.05e-08,3,3,3,3,3,3
3,90,-.0203077,.7515104,.0248062,.0000302,.1293877,.0011114,.0261719,0,1.85e-17,.9516,.2665313,.9588125,2,3,3,0,0,0
1,120,.0003611,.3039139,.0556416,-.0005952,-.4539015,.0559682,.9570231,.0005428,1.17e-18,.0003031,.0649955,.0212527,0,3,3,3,1,2
2,120,.0430274,.5475589,.0395034,-.0024729,-1.279806,.2164034,8.11e-09,1.39e-29,5.61e-20,5.95e-08,4.76e-11,1.17e-09,3,3,3,3,3,3
3,120,-.0060955,.7157083,.0205024,-8.69e-07,.110033,-.0020885,.4402312,0,1.72e-15,.9981785,.2012872,.8984059,0,3,3,0,0,0
1,150,.0060685,.3870765,.0462098,-.0005418,-.6789464,.0482015,.1853733,0,0,.0000256,.0000221,.010462,0,3,3,3,3,2
2,150,.0450284,.5892218,.0278144,-.0023217,-1.122998,.2161922,7.23e-08,3.59e-28,3.35e-13,4.87e-09,1.10e-11,1.91e-12,3,3,3,3,3,3
3,150,.0041221,.6908416,.0177601,-.0001269,.0556918,.0032996,.6127532,0,1.20e-12,.6950649,.4621366,.8130153,0,3,3,0,0,0
1,180,.0108869,.3798031,.0415644,-.0004824,-.7166311,.0479071,.0048573,0,0,.0000111,4.81e-07,.0035692,3,3,3,3,3,3
2,180,.0358351,.6507264,.0209976,-.0023571,-1.101856,.2220997,.0000642,3.18e-26,4.74e-08,1.44e-10,3.74e-12,2.09e-14,3,3,3,3,3,3
3,180,.0177362,.6820219,.0132291,.0002139,.0221495,-.0111963,.0346738,0,1.81e-07,.4390082,.7293186,.3445274,2,3,3,0,0,0
