gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,1.41e-18,1,2.78e-17,-3.52e-18,-1.50e-15,1.98e-16,.8611944,0,4.62e-26,7.72e-22,3.42e-20,7.24e-21,0,3,3,3,3,3
2,10,3.33e-18,1,-2.78e-17,-1.20e-19,2.27e-16,-4.10e-17,.9038053,0,4.42e-09,.8827496,.390591,.2651364,0,3,3,0,0,0
3,10,2.67e-17,1,-1.39e-17,3.11e-18,7.80e-17,-9.61e-17,.3364004,0,.0000172,.0031145,.6361054,.0048454,0,3,3,3,0,3
1,20,-5.23e-17,1,-6.94e-18,1.18e-18,9.72e-17,-6.36e-17,.0000341,0,.0000272,.0000134,.3959898,.0000211,3,3,3,3,0,3
2,20,3.93e-17,1,0,5.23e-18,2.71e-16,-2.24e-16,.1598649,0,1,2.08e-10,.2501706,7.64e-08,0,3,0,3,0,3
3,20,1.34e-18,1,0,-3.03e-18,-2.11e-16,9.56e-17,.8615806,0,1,6.55e-12,.0001821,3.56e-13,0,3,0,3,3,3
1,30,3.17e-17,1,1.39e-17,-2.26e-18,-8.06e-16,1.27e-16,2.45e-10,0,1.22e-25,1.44e-19,8.54e-22,6.61e-19,3,3,3,3,3,3
2,30,-2.35e-17,1,-2.78e-17,-1.32e-18,-4.66e-16,4.91e-17,.3710886,0,8.14e-09,.0993045,.0934086,.0533056,0,3,3,1,1,1
3,30,4.09e-17,1,0,-1.21e-18,-3.61e-16,3.64e-17,2.06e-07,0,1,.0000439,5.06e-10,.000294,3,3,0,3,3,3
1,60,1.05e-16,1,6.94e-18,-4.30e-18,-2.55e-15,2.53e-16,6.75e-11,0,.0027192,3.49e-18,5.69e-25,8.35e-20,3,3,3,3,3,3
2,60,-7.44e-18,1,0,2.60e-18,4.65e-16,-1.10e-16,.5290814,0,1,1.03e-10,.0058523,2.45e-09,0,3,0,3,3,3
3,60,2.02e-19,1,0,3.80e-19,2.47e-17,-1.20e-17,.8532419,0,1,1.01e-11,.0001441,4.02e-13,0,3,0,3,3,3
1,90,5.55e-17,1,1.39e-17,-1.91e-18,-9.90e-16,1.11e-16,1.48e-18,0,1.79e-25,3.08e-22,2.88e-27,1.32e-22,3,3,3,3,3,3
2,90,2.08e-18,1,0,-6.50e-19,-1.12e-16,2.79e-17,.3470713,0,1,2.61e-11,.0019632,2.39e-09,0,3,0,3,3,3
3,90,2.00e-17,1,-1.39e-17,-9.79e-19,6.61e-17,1.91e-17,.3320726,0,.0000841,.1250741,.4447941,.292762,0,3,3,0,0,0
1,120,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0
2,120,6.21e-19,1,0,6.64e-19,7.41e-17,-2.52e-17,.7591241,0,1,6.11e-13,.0049848,1.12e-10,0,3,0,3,3,3
3,120,1.04e-16,1,-2.78e-17,-2.98e-19,-1.01e-16,-9.56e-19,2.59e-11,0,6.66e-14,.4352005,.0183391,.9298896,3,3,3,0,2,0
1,150,1.50e-17,1,-1.39e-17,2.33e-19,-5.63e-17,-1.65e-17,.0001703,0,3.21e-24,.0283418,.1405179,.0032201,3,3,3,2,0,3
2,150,-1.95e-17,1,-2.78e-17,-2.41e-19,2.71e-17,6.99e-18,.0556605,0,.0000274,.6601616,.751391,.6548122,1,3,3,0,0,0
3,150,1.99e-16,1,-2.78e-17,-2.85e-18,-6.44e-16,8.31e-17,1.14e-18,0,4.45e-11,2.60e-07,1.71e-18,1.52e-07,3,3,3,3,3,3
1,180,-1.37e-18,1,-1.39e-17,1.03e-19,6.74e-17,-1.12e-17,.7120993,0,5.30e-23,.2185987,.0384595,.010563,0,3,3,0,2,2
2,180,-3.43e-17,1,-2.78e-17,-5.33e-19,-1.51e-16,2.65e-17,.0000494,0,3.87e-06,.0512382,.006133,.0086941,3,3,3,1,3,3
3,180,-3.30e-16,1,4.16e-17,8.30e-19,8.92e-16,-2.74e-17,3.78e-19,0,1.19e-12,.1591373,4.61e-18,.0876267,3,3,3,0,3,1
