gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,-.0683623,-.1656757,-.0877484,.0038683,-10.36968,-.3581058,.0000921,.0004205,6.29e-21,.0000383,.0000355,.3367416,3,3,3,3,3,0
2,10,-.1614182,-.0394453,-.1406073,.0048032,5.843526,-.3293269,.0000825,.4911545,8.59e-10,.171659,.1227291,.6325211,3,0,3,0,0,0
3,10,-.0891839,.008903,-.1448377,-.0012325,2.826829,-.0269059,.0008708,.8151839,6.66e-17,.6388086,1.44e-09,.7735415,3,0,3,0,3,0
1,20,-.0437654,-.1808801,-.0903581,.0038522,-11.6584,-.4787881,.0036183,.0001166,8.28e-26,9.83e-06,2.10e-07,.1598571,3,3,3,3,3,0
2,20,-.1033948,-.0481919,-.1494249,.0026843,7.265675,-.5279919,6.46e-07,.4713178,3.98e-19,.2175449,.0001405,.1113743,3,0,3,0,3,0
3,20,.0215716,-.0858849,-.189532,.0011213,2.089864,-.1334731,.3082811,.1197018,8.80e-24,.6551645,1.74e-07,.1271353,0,0,3,0,3,0
1,30,-.0116319,-.11865,-.1003874,.0037048,-11.93885,-.6242145,.3628209,.0040009,2.14e-33,2.97e-06,1.74e-09,.0399842,0,3,3,3,3,2
2,30,-.0769169,-.0479286,-.1462197,.0025137,7.501965,-.3774859,.0000105,.3800054,4.04e-22,.1574706,.0002369,.2052562,3,0,3,0,3,0
3,30,.0447918,-.1175727,-.196056,.0012671,2.031972,-.1146415,.0325878,.0921551,3.43e-30,.5421538,4.47e-08,.1075829,2,1,3,0,3,0
1,60,.0235467,.024431,-.1150545,.0018366,-8.576995,-.2823831,.0148199,.5995228,0,.0008616,1.77e-09,.1791139,2,0,3,3,3,0
2,60,-.032203,-.2645583,-.1071804,.0025759,5.519805,-.5909584,.0004971,.0782764,3.05e-19,.4130886,5.92e-07,.0241997,3,1,3,0,3,2
3,60,.0510628,-.12659,-.1474933,-.0021004,.7937602,.0343055,.0029744,.0471934,4.24e-18,.2191051,.0031181,.558814,3,2,3,0,3,0
1,90,.0163745,.0798668,-.1088339,.0008027,-5.982652,-.012783,.0376984,.0570752,0,.0928965,8.90e-08,.9404374,2,1,3,1,3,0
2,90,-.0502768,-.2386318,-.0739375,.0007327,2.813257,-.143236,1.80e-14,.1352572,6.90e-08,.6966235,.000294,.4520812,3,0,3,0,3,0
3,90,.0322864,-.2280095,-.1165868,.0009948,.6947976,-.0496868,.0007522,3.17e-06,2.53e-28,.1804141,4.32e-09,.0635061,3,3,3,0,3,1
1,120,.0015923,.1493889,-.1026753,.0006603,-3.721287,.0050744,.8062374,.0040775,0,.0808674,5.57e-06,.9690281,0,3,3,1,3,0
2,120,-.06037,-.2014412,-.0591925,.0010602,2.46419,-.1744095,1.35e-13,.1936527,4.20e-06,.1482667,4.56e-06,.0647233,3,0,3,0,3,1
3,120,.028429,-.2433056,-.0987039,.0008463,.4414896,-.030226,2.94e-06,8.83e-08,1.94e-37,.1999102,3.68e-06,.1815719,3,3,3,0,3,0
1,150,-.0022363,.1504629,-.0941889,.0008151,-2.858427,-.0878005,.7008106,.0457035,0,.0124055,.0002424,.4441526,0,2,3,2,3,0
2,150,-.0541548,-.3283598,-.0431235,.0011317,2.371733,-.1878012,4.15e-10,.0175024,.0000367,.0598903,.0000366,.1110925,3,2,3,1,3,0
3,150,.0296944,-.2261719,-.0898783,.000925,.2672253,-.023495,.0003578,.0000692,3.63e-24,.2512556,.0133834,.3865508,3,3,3,0,2,0
1,180,.0051793,.1244564,-.088309,.0007668,-2.674244,-.1455868,.37529,.1398723,1.48e-35,.0187338,.0012234,.2133175,0,0,3,2,3,0
2,180,-.0526958,-.409592,-.0317141,.0010279,2.651854,-.2261118,1.09e-06,.0694954,.0402136,.238064,.0014086,.215705,3,1,2,0,3,0
3,180,.0349928,-.1896665,-.0887798,.0013765,.1659041,-.035821,.0001407,.006371,8.30e-21,.1034628,.122344,.1972702,3,3,3,0,0,0
