gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.0842731,.2005925,.0899206,-.0023525,5.217713,.3115542,9.27e-06,.0000206,2.90e-16,.219297,.0032146,.3314753,3,3,3,0,3,0
2,10,.0681804,.1823945,.2078215,-.0018911,-4.995119,.0771241,3.39e-07,.0003771,1.38e-18,.5440416,.0001636,.710708,3,3,3,0,3,0
3,10,.0607954,.2093882,.1956778,-.0028949,-4.818349,.2468269,.0043501,8.84e-09,3.47e-24,.2603985,7.32e-09,.0623564,3,3,3,0,3,1
1,20,.0525062,.1897338,.0914224,-.0023019,4.501153,.3597762,.0000396,.0000818,1.32e-27,.0740485,.0000799,.0736753,3,3,3,1,3,1
2,20,.0390966,.2337176,.1854897,-.001726,-4.390942,.043103,.0004229,1.02e-06,6.09e-23,.4029055,1.94e-07,.7617311,3,3,3,0,3,0
3,20,-.0247275,.3369083,.1817924,-.0020901,-2.534795,.2056362,.1049934,1.95e-16,8.39e-34,.1756555,7.24e-07,.0114922,0,3,3,0,3,2
1,30,.0142246,.103015,.102264,-.0019707,4.233377,.2929155,.1605206,.0306161,8.17e-39,.0458689,1.63e-07,.052605,0,2,3,2,3,1
2,30,.0199857,.2646343,.1633027,-.002094,-3.775071,.0923212,.060423,1.94e-07,2.14e-23,.1909631,4.66e-07,.391316,1,3,3,0,3,0
3,30,-.0545454,.4006788,.1652494,-.0032349,-1.686509,.2824328,9.40e-06,1.50e-19,2.24e-36,.007014,.0001074,.0000377,3,3,3,3,3,3
1,60,.0014332,.092183,.0975538,-.0014652,2.182162,.1772165,.8209022,.0298713,0,.0085657,1.25e-06,.0385698,0,2,3,3,3,2
2,60,.0191568,.4217075,.1079988,-.0019391,-2.95466,.063813,.0007187,7.91e-17,2.38e-25,.0325474,3.40e-12,.339953,3,3,3,2,3,0
3,60,-.0397216,.5368189,.1095448,-.0020068,-1.048933,.1581085,1.52e-07,5.05e-27,1.02e-33,.0083834,.0000318,.0003988,3,3,3,3,3,3
1,90,.0063544,.0664867,.0838196,-.0009339,1.55965,.1507491,.2702971,.0938347,0,.0202856,.0000183,.0183392,0,1,3,2,3,2
2,90,.0238665,.6604204,.0483394,-.00036,-1.853684,-.0169667,1.77e-11,5.37e-12,.0000845,.6501324,6.71e-08,.8001964,3,3,3,0,3,0
3,90,-.015808,.6008825,.069879,-.0011224,-.6671066,.0797259,.0007105,2.15e-33,2.86e-25,.0116439,.000024,.0025019,3,3,3,2,3,3
1,120,.0139926,.1171158,.0694894,-.0008375,.8493888,.1387146,.0016226,.0096757,0,.0043629,.0013584,.0028772,3,3,3,3,3,3
2,120,.0285522,.6129317,.0346536,-.0005901,-1.451705,.0123781,4.97e-10,7.49e-08,.0017577,.2956215,1.30e-08,.7757819,3,3,3,0,3,0
3,120,-.0055782,.59161,.0500976,-.0009327,-.4160136,.0597078,.1539228,4.71e-37,3.22e-21,.003571,.0000933,.0015121,0,3,3,3,3,3
1,150,.0214361,.195479,.0550556,-.0006833,.2415671,.1056278,4.68e-09,6.72e-13,0,.0039446,.2322821,.006835,3,3,3,3,0,3
2,150,.0293508,.5957468,.0233955,-.0004719,-1.117569,.0133908,1.80e-09,1.17e-09,.0076016,.2997658,3.22e-08,.6671076,3,3,3,0,3,0
3,150,-.0032018,.5391008,.0441134,-.0009784,-.3326799,.0531693,.4247018,1.11e-34,1.81e-19,.0005069,.0004177,.0012272,0,3,3,3,3,3
1,180,.0230835,.2239988,.0473074,-.0005744,-.0960495,.0941773,6.76e-12,2.58e-17,0,.0041711,.5960788,.0048985,3,3,3,3,0,3
2,180,.0302829,.612484,.0144797,-.0006255,-1.002874,.0386459,4.64e-09,1.96e-11,.0545646,.0904472,2.88e-09,.1238687,3,3,1,1,3,0
3,180,-.0042142,.491934,.0398265,-.0007374,-.1615029,.0351578,.3628164,8.59e-26,1.60e-13,.006097,.0733309,.0321781,0,3,3,3,1,2
