gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.2044137,-.0100642,-.0007592,-.0088141,-1.283201,.3339266,1.41e-18,.7627012,.9101304,7.56e-07,5.83e-14,.0001655,3,0,0,3,3,3
2,10,.1061486,.1864911,.0080403,-.0146651,-1.098762,.0252572,1.38e-07,.1050778,.7605953,.1097604,3.55e-08,.8057506,3,0,0,0,3,0
3,10,-.0882244,.064788,.1996635,-.0199091,-.8191192,.0511169,.000112,.0555367,1.04e-30,3.19e-07,1.55e-25,.1649269,3,1,3,3,3,0
1,20,.1710113,-.0668556,.0035551,-.0072544,-.7867557,.2211405,1.04e-16,.0370328,.5950884,1.06e-06,3.89e-11,.0014759,3,2,0,3,3,3
2,20,.1040446,.0387943,.0109789,-.0203396,-.9331177,.1293426,1.67e-14,.7127714,.6232013,.0009313,2.33e-10,.0607877,3,0,0,3,3,1
3,20,-.0594079,.0630215,.1476869,-.0145767,-.5215487,.0381475,.0030475,.0672053,9.01e-27,8.25e-07,1.12e-20,.1709838,3,1,3,3,3,0
1,30,.1783647,-.101992,-.0013253,-.0056977,-.6162217,.1829976,2.76e-20,.0003584,.8196279,.000014,9.13e-09,.0022164,3,3,0,3,3,3
2,30,.0867491,-.0971886,.0292322,-.0207382,-.8083324,.1062271,8.73e-14,.3577279,.1617615,.0001173,7.88e-12,.1706062,3,0,0,3,3,0
3,30,-.0440753,.0625452,.1191394,-.0125065,-.3640965,.0423539,.0090803,.0791264,8.53e-27,6.52e-07,7.32e-17,.0765105,3,1,3,3,3,1
1,60,.1923599,-.1118393,-.0140552,-.0046318,-.3649223,.1457563,7.27e-25,.0011591,.011213,.0000124,6.76e-06,.0018154,3,3,2,3,3,3
2,60,.0813346,-.0851107,.0008158,-.0154648,-.4690849,.1391927,2.89e-14,.4157174,.9630624,1.94e-07,1.56e-18,1.19e-06,3,0,0,3,3,3
3,60,-.0182413,-.0366729,.0864096,-.0076725,-.220344,.0244082,.1040613,.3636903,3.26e-26,.0000185,1.42e-11,.132975,0,0,3,3,3,0
1,90,.1916131,-.0514632,-.0238172,-.0036787,-.2504827,.1204454,6.29e-27,.1515745,.0000152,.0000388,.0002732,.0016268,3,0,3,3,3,3
2,90,.0623958,-.0892919,.0031198,-.0136587,-.3618146,.1308074,5.86e-10,.4120306,.8415288,4.61e-10,3.04e-18,2.46e-08,3,0,0,3,3,3
3,90,-.0027926,-.2570046,.0848533,-.004638,-.2174093,.0100383,.7563622,9.88e-10,2.86e-31,.0006044,1.28e-16,.4178004,0,3,3,3,3,0
1,120,.1744046,-.1031165,-.018815,-.0032319,-.1832333,.0917817,6.02e-30,.1067376,.0008139,.0000488,.0042803,.0058183,3,0,3,3,3,3
2,120,.0297684,-.1631354,.0267137,-.0141354,-.310001,.1220373,.0019985,.1028306,.0422302,1.38e-15,3.85e-19,4.92e-10,3,0,2,3,3,3
3,120,-.0142419,-.3730495,.0892944,-.002584,-.1858872,.0011394,.0840851,1.34e-19,1.30e-35,.0200484,2.24e-18,.9118455,1,3,3,2,3,0
1,150,.1601129,-.1877234,-.0118535,-.0031332,-.1136945,.0828984,2.50e-31,6.26e-07,.0076519,.0000179,.0245816,.0078296,3,3,3,3,2,3
2,150,-.0004219,-.152101,.0418192,-.0131689,-.2919322,.1080586,.96429,.1505879,.0003158,2.49e-20,3.01e-19,3.13e-11,0,0,3,3,3,3
3,150,-.0115352,-.407668,.0830666,-.0016911,-.164054,-.0044214,.1314315,1.72e-25,1.10e-33,.0700138,7.54e-20,.6244939,0,3,3,1,3,0
1,180,.1329248,-.1759161,-.006006,-.0028195,-.0724712,.0623938,6.19e-26,2.68e-07,.122635,.0000366,.118176,.039591,3,3,0,3,0,2
2,180,.0019736,-.2679217,.0465107,-.0125893,-.2649717,.1034316,.8586352,.0107161,.0000461,9.38e-23,2.02e-16,5.96e-12,0,2,3,3,3,3
3,180,-.0222303,-.4713157,.0868519,-.0012679,-.150323,-.0046933,.0044467,6.00e-34,5.96e-33,.1001198,4.97e-21,.5427856,3,3,3,0,3,0
